artists,artist_id
MAMAMOO,fb588f59-af1a-493a-9508-ed487caa2a11
VROMANCE,9246bfcb-1ada-4b54-a4b4-cdac26f2cd1e
Whee In,3651544b-372b-436e-99a0-ffc43f477a1c
ONEUS,c010eb84-2de1-40b2-b267-40de6002daab
Secret,0247fe23-a092-4131-9d58-ba4b0181a2ff
Solar,8377538d-c3c9-4588-a9e5-29a7de6d9cd1
Moon Byul,1478adcd-e96c-441b-b5db-89d66ff456f7
HWASA,9c750319-8267-493a-aaaf-305e1c6bcc21
ONEWE,720f9030-9b10-4cfa-9a1b-16f80c774cc9
B.A.P,cec282f3-95d2-4d2a-860a-78ecd0af9da1
소율,4791eb36-13bc-4108-9e2e-f1298a6471fc
PURPLE KISS,0a7ef947-cb11-4bf0-89e3-23b9a950f04d
MAMAMOO+,0777faa3-4a8e-4616-829e-58d91a9a4254
기욱,7d4e09bb-2151-4a9e-a521-c78369bdc696
수안,2981e3a6-f00a-44a6-a681-261d5c2af833
김보아,43650e15-b88b-40bd-b45a-e617d45f11be
