artists,artist_id
I.O.I,9df2184b-1e49-4717-a5f5-54ca1c38bcb4
Jessi,04b67fdc-8fdb-47e0-8307-d260abbc93f8
케이시,53885b2a-c460-4718-9bef-06acb9cbae2d
Ailee,cecc42fb-9657-4b54-ad2f-7b73eefaef12
Soulights,486db2c0-6625-4ede-b028-b17d1ae620ae
Wanna One,08306695-0943-4f91-be93-a39ce7a7804f
LUNA,9f350d47-fdd0-49e8-a705-6cbddd1d1f17
하니,d0b1d8ef-fe57-4c10-b467-41caf43646be
Solar,8377538d-c3c9-4588-a9e5-29a7de6d9cd1
휘성,17b33b34-a40b-4348-addd-fd806af9b37e
Yiruma,841db5c8-7072-4b89-9bdb-0a0bd0e9d357
Lucky J,a6afce8f-21f6-4a3c-8d33-f1857392b3fa
