artists,artist_id
우주미키,c06af430-a040-47ae-a3fd-947e98a913b0
Weki Meki,246d970d-f3a7-4811-a3a5-121383ae8926
MOONBIN & SANHA,31d5ed14-5c67-4db9-84b0-2ef79b8be05a
HELLOVENUS,dfa88d06-1e44-4916-b070-840c70bdbc4a
ASTRO,5098186e-721e-4a01-b50f-1b274e01715e
Alice,f6de138a-d608-495a-a6ab-a9cdc91acd53
5urprise,3a2d8146-7501-456d-bdd1-f4d61d216e97
진진,6b3ff422-1786-409a-ade5-d3e7b131f717
SUPERBEE,99b006a2-1ffb-4307-9723-e17c51dffd7d
myunDo,ed25c6e5-ba7e-48e0-848e-303615cf713d
Lime,3310d123-601d-43da-8199-c2171b2e82d2
Jero,cd489ebe-aeed-4cbf-9af2-10d492b038e1
Bily Acoustie,f1075eb7-b5c2-4d6a-bc73-558cbb24d21b
윤산하,6d9f8681-f2c2-4451-b512-78d48f2ab092
Red Velvet,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee
차은우,7052bd1f-539d-4f61-80eb-c77a2b7cb38d
LUN8,1689d50f-cd03-43ce-a275-ce7616dafa7f
