Year,Song,Artist,Failed Reason
1998,Outro (When We Bounce),지누션,No suitable video
1997,태권V (Taekwon V),지누션,No suitable video
1997,Celebrate,지누션,No suitable video
1997,좋았어 (Good),S.E.S.,No suitable video
1998,떠날꺼야 (I'm Leaving),S.E.S.,No suitable video
1998,뭐가 나 (What’s Up),1TYM,No suitable video
1998,기적 (Miracle),S.E.S.,No suitable video
1998,약속해줘 (Just Let It Go),Shinhwa,No suitable video
1998,끝없는 이야기 (Endless Story),S.E.S.,No suitable video
1997,학원별곡 (School Byeolgok),Sechskies,No suitable video
1998,마음으로부터 (From The Heart),S.E.S.,Every channel is None or video duration is not between 60 and 600 seconds
1998,마음으로부터 (From The Heart),S.E.S.,No suitable video
1998,아름다운 아픔 (Beautiful Pain),S.E.S.,No suitable video
1998,기억해 (Remember),S.E.S.,No suitable video
1998,Off Da Hook,지누션,No suitable video
1998,천사들의 늪 (Trapped),Shinhwa,No suitable video
1998,"하나 둘 셋 넷 (1, 2, 3, 4)",1TYM,No suitable video
1998,슬픈 손길 (Sad Touch),S.E.S.,No suitable video
1999,Waiting for You,S.E.S.,No suitable video
1998,Mission Impossible,지누션,No suitable video
1999,문 (Wolf),H.O.T.,No suitable video
1999,오직 너뿐인 나 (Only You),S.E.S.,No suitable video
1999,세상의 중심에서 (Center of the World),S.E.S.,No suitable video
1999,끝없는 사랑 (Endless Love),Click-B,No suitable video
1999,첫 느낌 (First Impression),S.E.S.,No suitable video
1999,흑백논리 (Black and White Logic),YG Family,Every channel is None or video duration is not between 60 and 600 seconds
1999,흑백논리 (Black and White Logic),YG Family,No suitable video
1999,Movin',YG Family,No suitable video
1999,이별에 대처하는 우리의 자세 (Our Attitude Towards Separation),Click-B,Every channel is None or video duration is not between 60 and 600 seconds
1999,이별에 대처하는 우리의 자세 (Our Attitude Towards Separation),Click-B,No suitable video
1999,자유선언 (Declaration of Freedom),Click-B,No suitable video
1999,Outro,YG Family,Every channel is None or video duration is not between 60 and 600 seconds
1999,Outro,YG Family,No suitable video
1999,파티 (Party),YG Family,No suitable video
1999,Freestyle,YG Family,Every channel is None or video duration is not between 60 and 600 seconds
1999,Freestyle,YG Family,No suitable video
1999,한 폭의 그림 (A Piece of Picture),S.E.S.,No suitable video
1999,타이타닉 (Titanic),H.O.T.,No suitable video
1999,사랑하는 너에게 (To My Beloved),Sechskies,No suitable video
1999,거짓말 같은 이별 (A Farewell Like a Lie),Click-B,No suitable video
1999,독립선언 (Independence Declaration),Click-B,No suitable video
1999,널 기억하며 (Remembering You),Click-B,No suitable video
2000,Take Control,H.O.T.,No suitable video
2000,불행은 절대 넘어지지 않는다 (Misfortune Never Falls),Click-B,Every channel is None or video duration is not between 60 and 600 seconds
2000,불행은 절대 넘어지지 않는다 (Misfortune Never Falls),Click-B,No suitable video
1999,원 (Won),H.O.T.,No suitable video
1999,포트리스 (Fortress),H.O.T.,No suitable video
2000,H.O.T. (Highfive of Teenagers),H.O.T.,No suitable video
2000,손 (Hands),Click-B,No suitable video
2000,떠나간 후에 (After You Left),Click-B,No suitable video
2000,감싸 안으며 (Show Me Your Love),S.E.S.,No suitable video
2000,삼색화 (Three Colors),Shinhwa,No suitable video
2000,미친듯이 사랑한날 (The Day I Loved Like Crazy),Click-B,Every channel is None or video duration is not between 60 and 600 seconds
2000,미친듯이 사랑한날 (The Day I Loved Like Crazy),Click-B,No suitable video
2000,어린 남자 (Young Men),1TYM,No suitable video
2000,신비 (Mystery),H.O.T.,No suitable video
2000,비밀 (Secret),H.O.T.,No suitable video
2001,취중진담 (Drunken Truth),Click-B,No suitable video
2001,보내야 하는데 (I Have to Let You Go),Click-B,No suitable video
2001,말해줘 (Tell Me),Click-B,No suitable video
2001,A-Ha,Eun Jiwon,No suitable video
2001,은빛향기 (Silver Scent),Click-B,No suitable video
2001,당신은 모르실 거야 (You Wouldn't Know),Fin.K.L,No suitable video
2001,환희 (Joy),Click-B,No suitable video
2002,Shine We Are!,BoA,No suitable video
2002,다시 (Again),g.o.d,No suitable video
2002,Someday (with J-Walk),KIM JAE-DUCK,No suitable video
2002,Perfect Man,Shinhwa,No suitable video
2002,다 버려! (Throw Everything Away),YG Family,Every channel is None or video duration is not between 60 and 600 seconds
2002,다 버려! (Throw Everything Away),YG Family,No suitable video
2002,No.1,BoA,No suitable video
2002,환희 (Joy) (Remake),Click-B,No suitable video
2002,주사위 (Dice),YG Family,No suitable video
2002,와준다면 (If You Come),YG Family,No suitable video
2002,We Will Rock You (Remake),Click-B,No suitable video
2002,This Is Love,S.E.S.,No suitable video
2002,To Be Continued...,S.E.S.,No suitable video
2002,가난한 사랑 (Poor Love),YG Family,No suitable video
2002,힙합경찰 (Hip Hop Police),YG Family,No suitable video
2002,Suddenly (with J-Walk),KIM JAE-DUCK,No suitable video
2002,안녕이라고 말하지 마 (Don't Say Goodbye),Click-B,No suitable video
2002,온누리에 (In the World),YG Family,No suitable video
2002,Milky Way,BoA,No suitable video
2003,With Me,SE7EN,No suitable video
2003,I'll Do Well,SE7EN,No suitable video
2003,Let Me Love You,SE7EN,No suitable video
2003,나 (Me),Rain,No suitable video
2003,Hold the Line,SE7EN,No suitable video
2003,My Girl,SE7EN,No suitable video
2003,난 (Nan),Ock Joo-hyun,No suitable video
2003,I Hope It's You,SE7EN,No suitable video
2003,Baby I Like You Like That,SE7EN,No suitable video
2003,One to Ten,SE7EN,No suitable video
2003,굿바이 (Goodbye),Click-B,No suitable video
2003,Atlantis Princess,BoA,No suitable video
2003,널 보낸 후 (After Sending You Away),Click-B,Every channel is None or video duration is not between 60 and 600 seconds
2003,널 보낸 후 (After Sending You Away),Click-B,No suitable video
2003,AnyMotion (with Eric),Lee Hyori,No suitable video
2004,Hikari (光),SE7EN,No suitable video
2003,10 Minutes,Lee Hyori,No suitable video
2004,Brand New,Shinhwa,No suitable video
2004,In Or Out,Sandara Park,No suitable video
2004,I Believe (믿어요),TVXQ,No suitable video
2004,그때 그사람 (That Man),Ock Joo-hyun,No suitable video
2004,Push It To The Limit,지누션,No suitable video
2004,Passion,SE7EN,No suitable video
2004,From Da Old School,지누션,No suitable video
2004,Smile In Your Heart,Sandara Park,No suitable video
2004,"Hop, Step, Jump",지누션,No suitable video
2004,Sabi Ko Na Nga Ba,Sandara Park,No suitable video
2005,Rising Sun (순수),TVXQ,No suitable video
2005,"한번 더, OK? (One More Time, OK?)",천상지희 더 그레이스,No suitable video
2005,Start Line,SE7EN,No suitable video
2005,약속했던 그때에 (Always There...),TVXQ,No suitable video
2005,Always There,TVXQ,No suitable video
2006,빛을 찾아서 (Finding the Light),YG Family,No suitable video
2006,"2, 3, To the 4",YG Family,No suitable video
2006,Party People,YG Family,No suitable video
2006,무작정 (Unconditionally),YG Family,No suitable video
2006,천국 (Heaven),YG Family,No suitable video
2006,Aitai,SE7EN,No suitable video
2006,Come Back To Me Part 2,SE7EN,No suitable video
2006,초우 (First Rain),TraxX,No suitable video
2006,Your Day Of Arrival,Brown Eyed Girls,No suitable video
2006,잡아줘 (Let You Go),TraxX,No suitable video
2006,Everlasting,BoA,No suitable video
2006,La La La,BigBang,No suitable video
2006,Run,YG Family,No suitable video
2006,이별후애 (Love After Parting) (Rock Version),Click-B,No suitable video
2006,Me Girl,BigBang,No suitable video
2006,This Love,G-Dragon,No suitable video
2006,This Love,BigBang,No suitable video
2006,Everyday (feat. Big Tone),Brown Eyed Girls,No suitable video
2006,Asu wa Kuru Kara,TVXQ,No suitable video
2006,Dirty Cash,BigBang,No suitable video
2006,Hikari,SE7EN,No suitable video
2006,Begin,TVXQ,No suitable video
2006,"Heart, Mind and Soul",TVXQ,No suitable video
2006,Once In A Lifetime,Shinhwa,No suitable video
2006,착각 (Delusion),YG Family,No suitable video
2007,다시 만난 세계 (Into the New World),소녀시대,No suitable video
2007,Lovin' You,TVXQ,No suitable video
2007,Shine,TVXQ,No suitable video
2007,I Got Fooled By You,Brown Eyed Girls,No suitable video
2007,Hypnosis,Brown Eyed Girls,No suitable video
2007,Why Of All Things,Brown Eyed Girls,No suitable video
2007,Complete,소녀시대,No suitable video
2007,Cheerful Sensibility,FT아일랜드 (FTISLAND),No suitable video
2007,Honey,소녀시대,No suitable video
2007,Choosey Lover,TVXQ,No suitable video
2007,Baby Baby,소녀시대,No suitable video
