Year,Label,Artist,Song
1996,SM Entertainment,H.O.T.,널 사랑한 만큼 (As Much As I Loved You)
1996,SM Entertainment,H.O.T.,About 여자 (About Women)
1996,SM Entertainment,H.O.T.,개성시대 (X Generation)
1996,SM Entertainment,H.O.T.,너는 Fast 나는 Slow (Fast Love)
1996,SM Entertainment,H.O.T.,오늘도 짜증나는 날이네 (The Cranky Day)
1996,SM Entertainment,H.O.T.,내가 필요할 때 (By Your Side)
1996,SM Entertainment,H.O.T.,노을 속에 비친 그대 모습 (You Belong to Me)
1996,SM Entertainment,H.O.T.,전사의 후예 (Warrior’s Descendant)
1996,SM Entertainment,H.O.T.,Candy
1997,SM Entertainment,H.O.T.,12번째 생일 (Lost 12th Birthday)
1997,SM Entertainment,H.O.T.,열등감 (The End of My Inferiority Complex)
1997,SM Entertainment,H.O.T.,자유롭게 날 수 있도록 (Free to Fly)
1997,SM Entertainment,H.O.T.,행복 (Full of Happiness)
1997,SM Entertainment,H.O.T.,늑대와 양 (Wolf and Sheep)
1997,SM Entertainment,H.O.T.,We Are The Future
1997,SM Entertainment,H.O.T.,너와 나 (You & I)
1997,YG Entertainment,지누션,Intro
1997,YG Entertainment,지누션,Gasoline
1997,YG Entertainment,지누션,Give & Take
1997,YG Entertainment,지누션,Young Nation
1997,YG Entertainment,지누션,불러줘 (Call Me)
1997,YG Entertainment,지누션,I Will
1997,YG Entertainment,지누션,Show Me Love
1997,YG Entertainment,지누션,Celebrate
1997,YG Entertainment,지누션,태권V (Taekwon V)
1997,YG Entertainment,지누션,Outro
1997,DSP Media,Sechskies,무모한 사랑 (Reckless Love)
1997,DSP Media,Sechskies,연정 (Heartbreak)
1997,DSP Media,Sechskies,기사도 (Chivalry)
1997,SM Entertainment,H.O.T.,Tragedy
1997,DSP Media,Sechskies,사나이 가는 길 (Pomsaeng Pomsa)
1997,DSP Media,Sechskies,학원별곡 (School Byeolgok)
1997,SM Entertainment,S.E.S.,"Oh, My Love"
1997,SM Entertainment,S.E.S.,달리기 (Running)
1997,SM Entertainment,S.E.S.,좋았어 (Good)
1997,SM Entertainment,S.E.S.,궁금해 (Curious)
1997,SM Entertainment,S.E.S.,편지 (Letter)
1997,SM Entertainment,S.E.S.,너를 사랑해 (I Love You)
1997,SM Entertainment,S.E.S.,"Oh, My Darling"
1997,SM Entertainment,S.E.S.,완전한 사랑 (Complete Love)
1997,SM Entertainment,S.E.S.,I'm Your Girl
1998,SM Entertainment,S.E.S.,기적 (Miracle)
1998,SM Entertainment,S.E.S.,기억해 (Remember)
1998,SM Entertainment,S.E.S.,친구 (Friend)
1998,SM Entertainment,S.E.S.,끝없는 이야기 (Endless Story)
1998,SM Entertainment,H.O.T.,이 세상에 버려진 모든 아이들을 위하여 (In I)
1998,SM Entertainment,S.E.S.,아름다운 아픔 (Beautiful Pain)
1998,SM Entertainment,Shinhwa,해결사 (The Solver)
1998,DSP Media,Fin.K.L,내 남자친구에게 (To My Boyfriend)
1998,DSP Media,Fin.K.L,Blue Rain
1998,DSP Media,Sechskies,기억해 줄래 (Remember Me)
1998,DSP Media,Sechskies,폼생폼사 (Form is Emptiness)
