title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
7Days,199000.0,(G)I‐DLE,2,,,KR,2024-01-29,,(G)I‐DLE
Abracadabra,182000.0,(G)I‐DLE,Abracadabra,,,KR,2024-03-08,,(G)I‐DLE
All Night,146000.0,(G)I‐DLE,I feel,,,,2023-05-15,,(G)I‐DLE
Allergy,180000.0,(G)I‐DLE,Allergy,,,,2023-05-10,,(G)I‐DLE
ALREADY,201000.0,(G)I‐DLE,I NEVER DIE,,,KR,2022-03-14,,(G)I‐DLE
Blow Your Mind,169000.0,(G)I‐DLE,I made,,,KR,2019-02-26,,(G)I‐DLE
Change,204000.0,(G)I‐DLE,I love,,,KR,2022-10-17,,(G)I‐DLE
DAHLIA,190000.0,(G)I‐DLE,I burn,,,KR,2021-01-11,,(G)I‐DLE
DARK (X‐file),165000.0,(G)I‐DLE,I love,,,,2022-10-17,,(G)I‐DLE
Doll,154000.0,(G)I‐DLE,2,,,KR,2024-01-29,,(G)I‐DLE
DON'T TEXT ME,216000.0,(G)I‐DLE,I am,,,KR,2018-05-02,,(G)I‐DLE
DUMDi DUMDi,210000.0,(G)I‐DLE,Oh my god,,,JP,2020-08-26,,(G)I‐DLE
ESCAPE,209000.0,(G)I‐DLE,I NEVER DIE,,,KR,2022-03-14,,(G)I‐DLE
Eyes Roll,198000.0,(G)I‐DLE,HEAT,,,,2023-10-05,,(G)I‐DLE
Flip It,177000.0,(G)I‐DLE,HEAT,,,,2023-10-05,,(G)I‐DLE
For You,226000.0,(G)I‐DLE,LATATA,,,JP,2019-07-29,,(G)I‐DLE
HANN,205000.0,(G)I‐DLE,LATATA,,,JP,2019-07-29,,(G)I‐DLE
Help Me,238000.0,(G)I‐DLE,"Her Private Life (Original Television Soundtrack), Pt. 1",,,US,2019-04-11,,(G)I‐DLE
HWAA,197320.0,(G)I‐DLE,HWAA,,,AF,2021-01-27,,(G)I‐DLE
I DO,190113.0,(G)I‐DLE,I DO,,,,2023-07-13,,(G)I‐DLE
I Want That,214000.0,(G)I‐DLE,I Want That,,,,2023-10-05,,(G)I‐DLE
