title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
ARRIBA,217485.0,ATEEZ,THE WORLD EP. FIN: WILL,,,KR,2023-12-01,,ATEEZ
AURORA Official MV (Performance ver.),207000.0,ATEEZ,AURORA Official MV (Performance ver.),,,XW,2019-07-07,,ATEEZ
All About You,176000.0,ATEEZ,ZERO : FEVER Part.3,,,XW,2021-09-13,,ATEEZ
Answer,219760.0,ATEEZ,TREASURE EPILOGUE : Action to Answer,,,XW,2020-01-06,,ATEEZ
Answer (Japanese Ver.),220000.0,ATEEZ,Treasure EP. Map to Answer,,,XW,2020-02-12,,ATEEZ
Answer (Japanese Ver.) Official Music Video,273000.0,ATEEZ,Answer (Japanese Ver.) Official Music Video,,,XW,2020-01-28,,ATEEZ
Answer Official MV,273000.0,ATEEZ,Answer Official MV,,,XW,2020-01-06,,ATEEZ
Answer: Ode to Joy,296000.0,ATEEZ,Round 3: NO LIMIT Part 2 (Episodes 8-9),,,XW,2021-05-27,,ATEEZ
Answer: Ode to Joy,,ATEEZ,Round 3: NO LIMIT Part 2 (Episodes 8-9),,,XW,2021-05-27,,ATEEZ
Answer: Ode to Joy,267000.0,"ATEEZ, LA POEM",ZERO : FEVER Epilogue,,,KR,2021-12-10,,ATEEZ
Aurora,204360.0,ATEEZ,TREASURE EP.3: One To All,,,KR,2019-06-10,,ATEEZ
Aurora (Japanese Version),209000.0,ATEEZ,TREASURE EP. EXTRA: Shift The Map,,,XW,2019-12-04,,ATEEZ
BOUNCY (K‐HOT CHILLI PEPPERS),187311.0,ATEEZ,THE WORLD EP. 2: OUTLAW,,,KR,2023-06-16,,ATEEZ
Be With You,222000.0,ATEEZ,ZERO : FEVER Epilogue,,,KR,2021-12-10,,ATEEZ
Beginning of the End,112000.0,ATEEZ,TREASURE EP.FIN: All To Action,,,US,2019-10-08,,ATEEZ
Better,216000.0,ATEEZ,Treasure EP. Map to Answer,,,XW,2020-02-12,,ATEEZ
Better (Korean Ver.),215000.0,ATEEZ,ZERO : FEVER Epilogue,,,KR,2021-12-10,,ATEEZ
Blind,199000.0,ATEEZ,GOLDEN HOUR : Part.1 - EP,,,KR,2024-05-31,,ATEEZ
Blue Summer,211000.0,ATEEZ,Dreamers,,,JP,2021-07-28,,ATEEZ
Celebrate,197000.0,ATEEZ,ZERO : FEVER Part.2,,,,2021-03-01,,ATEEZ
Crescent,46800.0,ATEEZ,TREASURE EP.3: One To All,,,KR,2019-06-10,,ATEEZ
Crescent Part 2,54018.0,ATEEZ,THE WORLD EP. FIN: WILL,,,KR,2023-12-01,,ATEEZ
Cyberpunk,224000.0,ATEEZ,The World EP.1 : Movement,,,KR,2022-07-29,,ATEEZ
Cyberpunk - Japanese Version,223886.0,ATEEZ,THE WORLD EP.PARADIGM,,,XW,2022-11-30,,ATEEZ
DIAMOND,206213.0,ATEEZ,Limitless,,,,2023-03-22,,ATEEZ
DIAMOND - Instrumental,204266.0,ATEEZ,Limitless,,,,2023-03-22,,ATEEZ
DJANGO,191923.0,ATEEZ,THE WORLD EP. 2: OUTLAW,,,KR,2023-06-16,,ATEEZ
Dancing Like Butterfly Wings,182132.0,ATEEZ,TREASURE EP.3: One To All,,,KR,2019-06-10,,ATEEZ
Dazzling Light,189000.0,ATEEZ,TREASURE EP.FIN: All To Action,,,US,2019-10-08,,ATEEZ
Dear Diary : 2016.07.29,154000.0,ATEEZ,ZERO : FEVER Part.1,,,XW,2020-07-29,,ATEEZ
Declaration,81373.0,ATEEZ,Treasure EP. Map to Answer,,,XW,2020-02-12,,ATEEZ
Deja Vu,196000.0,ATEEZ,ZERO : FEVER Part.3,,,XW,2021-09-13,,ATEEZ
Deja Vu (Japanese Ver.),197000.0,ATEEZ,Beyond : Zero,,,JP,2022-05-25,,ATEEZ
Deja Vu Official MV,227000.0,ATEEZ,Deja Vu Official MV,,,XW,2021-09-13,,ATEEZ
Deja Vu Performance Video (Vampire ver.),222000.0,ATEEZ,Deja Vu Performance Video (Vampire ver.),,,XW,2021-10-31,,ATEEZ
Desire,234509.0,ATEEZ,TREASURE EP.2: Zero to One,,,XW,2019-01-16,,ATEEZ
Don't Stop,190000.0,ATEEZ,Don't Stop,,,XW,2022-01-31,,ATEEZ
Don't Stop Official Music Video,249000.0,ATEEZ,Don't Stop Official Music Video,,,XW,2022-02-04,,ATEEZ
Dreamers,213000.0,ATEEZ,Dreamers,,,JP,2021-07-28,,ATEEZ
Dreamers (Inst.),213000.0,ATEEZ,Dreamers,,,JP,2021-07-28,,ATEEZ
Dreamers Music Video,243000.0,ATEEZ,Dreamers Music Video,,,XW,2021-07-28,,ATEEZ
Dune,195484.0,ATEEZ,THE WORLD EP. 2: OUTLAW,,,KR,2023-06-16,,ATEEZ
Emergency,178471.0,ATEEZ,THE WORLD EP. FIN: WILL,,,KR,2023-12-01,,ATEEZ
Empty Box,214000.0,ATEEZ,GOLDEN HOUR : Part.1 - EP,,,KR,2024-05-31,,ATEEZ
End of the Beginning,29000.0,ATEEZ,TREASURE EP.FIN: All To Action,,,US,2019-10-08,,ATEEZ
Eternal Sunshine,209000.0,ATEEZ,ZERO : FEVER Part.3,,,XW,2021-09-13,,ATEEZ
Eternal Sunshine Official MV,241000.0,ATEEZ,Eternal Sunshine Official MV,,,XW,2021-10-03,,ATEEZ
FEVER,205000.0,ATEEZ,ZERO : FEVER Part.1,,,XW,2020-07-29,,ATEEZ
FIN : WILL,183409.0,ATEEZ,THE WORLD EP. FIN: WILL,,,KR,2023-12-01,,ATEEZ
Feeling Like I Do,197000.0,ATEEZ,ZERO : FEVER Part.3,,,XW,2021-09-13,,ATEEZ
Fireworks (I'm The One) (Japanese Ver.),209000.0,ATEEZ,Beyond : Zero,,,JP,2022-05-25,,ATEEZ
Fireworks (I'm The One) Official MV,234000.0,ATEEZ,Fireworks (I'm The One) Official MV,,,XW,2021-03-01,,ATEEZ
From,,ATEEZ,From,,,KR,2018-07-02,,ATEEZ
From,191000.0,ATEEZ,TREASURE EP.2: Zero to One,,,KR,2019-01-16,,ATEEZ
Golden Hour,84000.0,ATEEZ,GOLDEN HOUR : Part.1 - EP,,,KR,2024-05-31,,ATEEZ
Good Lil Boy,206000.0,ATEEZ,ZERO : FEVER Part.1,,,XW,2020-07-29,,ATEEZ
Guerilla,207000.0,ATEEZ,The World EP.1 : Movement,,,KR,2022-07-29,,ATEEZ
Guerrilla - Flag Version,215438.0,ATEEZ,THE WORLD EP.PARADIGM,,,XW,2022-11-30,,ATEEZ
Guerrilla Official MV,257000.0,ATEEZ,Guerrilla Official MV,,,XW,2022-07-29,,ATEEZ
"HALA HALA (Hearts Awakened, Live Alive)",202098.0,ATEEZ,TREASURE EP.2: Zero to One,,,XW,2019-01-16,,ATEEZ
