recording_id,title,release_date,query_artist_name,retrieved_artist_name
0cc58bb9-ec59-48ed-8764-e11b3b19eec0,Pause 03,2009-07-23,Apollo 18,Apollo 18
12eeccdd-7a27-4e4c-afae-5c9870a76ba3,End,2009-02-12,Apollo 18,Apollo 18
1985f58c-e706-41a5-b8ce-1e1d24bc4a18,Sonic Boom,2011-11-24,Apollo 18,Apollo 18
26c478a5-6eb6-4efa-adb0-cb7d97b16f85,Pause 04,2010-01-28,Apollo 18,Apollo 18
36162cb2-e452-4c38-9c21-d3e11404bbab,Orbis,2009-07-23,Apollo 18,Apollo 18
366f5243-7d6d-401d-bd90-977c5457e697,Manic Depressive,2009-07-23,Apollo 18,Apollo 18
39af1e5c-bd77-41df-8cf8-2ac123d108a7,Warm,2009-02-12,Apollo 18,Apollo 18
485df995-04f3-4715-a9fe-cf579a2704ff,Pause 01,2009-02-12,Apollo 18,Apollo 18
4afe78b6-6018-424a-97a7-a9612cff9e4b,Corpse Flower,2011-11-24,Apollo 18,Apollo 18
4bdfabc4-e2a6-46cd-baee-b4628e40e9d0,Pause 00,2010-01-19,Apollo 18,Apollo 18
5c635dfe-8a3d-46c8-947a-c5c5dbd8f356,End,2010-01-19,Apollo 18,Apollo 18
6971c11f-a523-4c11-93c2-8c4d719c96ee,Remit,2010-01-19,Apollo 18,Apollo 18
714360e7-457c-42d7-a8b7-b5d4b441f737,Lygerastia,2010-01-28,Apollo 18,Apollo 18
7d3ebc7b-e0d1-4a83-bffb-c12e5b79bf37,High Stepper,2009-07-23,Apollo 18,Apollo 18
80090933-f900-4b45-bbc7-0ab851731de0,FLT,2009-07-23,Apollo 18,Apollo 18
82393e3e-ce24-447a-bc8b-d178d7567669,Deadend,2011-11-24,Apollo 18,Apollo 18
8506ec53-d781-4386-bb32-1cfe552b6383,[untitled],2009-02-12,Apollo 18,Apollo 18
85d842af-6d2b-40c0-9d7b-9874fba477dc,FoRest,2009-07-23,Apollo 18,Apollo 18
872e7fca-7c81-446e-8ca1-6487cf6ea744,Lucy,2010-01-28,Apollo 18,Apollo 18
8e0884da-9c67-4677-850b-256dfa8eafcc,Emit,2010-01-19,Apollo 18,Apollo 18
8eb03675-5f8f-4708-8cbb-ffb7e3fcd02f,Pause 01,2010-01-19,Apollo 18,Apollo 18
8fa29436-2820-47da-a497-416715c13cb3,Mur,2011-11-24,Apollo 18,Apollo 18
90405fb0-00b2-43ce-bf30-6b419a56cd0f,Esuap,2010-01-28,Apollo 18,Apollo 18
92c5ab75-759b-4e0a-868c-b5923ef79016,Discharge,2010-01-19,Apollo 18,Apollo 18
92e6555e-3a62-448f-8100-b6275ad58dea,Lame,2010-01-19,Apollo 18,Apollo 18
94dc83bc-dd21-470c-b583-653bad3d230a,Naraka,2010-01-28,Apollo 18,Apollo 18
ab6a5f46-b656-4bf4-a849-b34452024f9a,606,2009-07-23,Apollo 18,Apollo 18
ab8f1b5d-66d9-4ebd-9124-3705bb39bc0f,Discusting,2009-07-23,Apollo 18,Apollo 18
beb0d3eb-cf43-4dc5-a584-a676a184a417,Magnolia,2009-07-23,Apollo 18,Apollo 18
cec68803-3c2e-4fb6-b284-682a816be478,Pause 02,2009-07-23,Apollo 18,Apollo 18
dc17eadc-3d64-4ee4-8eef-e7f54ac9a8e4,Warm,2010-01-19,Apollo 18,Apollo 18
e4018fb9-93ea-4555-924d-a753c72bb830,Iridescent Clouds,2009-07-23,Apollo 18,Apollo 18
e57b4dc8-c701-49f1-83dc-e4829f824d5a,Discharge,2009-02-12,Apollo 18,Apollo 18
e5ea27de-63fc-404d-ae8b-6f130bcfca07,Pause 05,2010-01-28,Apollo 18,Apollo 18
ec49a23c-936d-4b07-8cb5-5b8ce36c0259,Pause 00,2009-02-12,Apollo 18,Apollo 18
f9225843-026e-4805-acfa-cb6b80c286b0,Trampoline,2009-07-23,Apollo 18,Apollo 18
fb878d1d-bfb7-4049-9abb-ccc8cac16134,Song A,2010-01-28,Apollo 18,Apollo 18
fda62c9e-3fe4-461f-89b2-25222945d718,Time,2010-01-19,Apollo 18,Apollo 18
