recording_id,title,release_date,query_artist_name,retrieved_artist_name
029188a5-a48d-45e3-9654-30c35bc76aea,Asa Nisi Masa,1994,As One,As One
0544ae2d-8b78-41f3-98f7-5f983d2121d7,Eclectricity,1997-02-10,As One,As One
09f1834d-7167-4cfb-9cc3-2645cb635aba,A Short Track About Love,1996-05,As One,As One
0b949a40-d0cf-4ce6-b6f0-6496b060e22d,Cocoon,2005-05-30,As One,As One
0b984e66-0890-4678-b4ac-358173cece45,Contours,2001-11-27,As One,As One
18658731-8f3b-463c-abc8-dedc3ae2d149,Asa Nisi Masa,1994,As One,As One
18c8a66f-580d-4fb9-8ccb-2debd97aa67c,Amalia,2011-06,As One,As One
1feeaed4-234e-4141-8d9d-8b00534d97af,Dance of the Uighurs,1994,As One,As One
2348537e-1ad5-41eb-8eae-5cb2cd2cb366,Goodbye Mr Schulze,2023-05-05,As One,As One
2bb7f0c2-ffe7-4927-98e3-bce5c3d7e17d,"Brown, Blue, Brown On Blue",1997,As One,As One
2e0dea44-af5f-4321-95fc-41eeda515a6f,Circle Suite [Edit],2002,As One,As One
30873560-9491-42bd-a288-fd960621d7c5,An Hysteric Bonding,2005-05-30,As One,As One
310ec4b2-9238-4cdd-b1cf-a502b450b893,House of Eternity,2001-11-27,As One,As One
317becfd-572d-4ff5-bf50-cf59941ca136,Destination Other,1997-02-10,As One,As One
341f673f-2677-4ad4-b74d-7022d7a20c4c,Amalia,2001-11-27,As One,As One
3452a50d-262c-4cc2-8b76-786a3faebc05,Dhyana,1995-11-06,As One,As One
3bc05cd2-0dc4-413d-bdee-7effee72d79f,Destination Other,2018-12-17,As One,As One
3c4145eb-1e68-4b51-8861-fdd7dbde55a8,AMO,2023-05-05,As One,As One
3c5f9611-69f7-47f3-9be3-7d71a3e1e9a9,Chiaro,1997-05,As One,As One
3d732e64-a478-4c18-a1ff-e498ca118ef8,Amalia,2003,As One,As One
3fa98fe2-c2cc-494d-a469-4e678d5615b1,Amalia,1991,As One,As One
407ef33b-d296-4273-9da0-59ddac987b39,Breathing Chords,2005-05-30,As One,As One
