title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
4 Letters,181000.0,"B.I, James Reid",Love or Loved Part.2,,,KR,2023-11-10,,B.I.
ANTHEM (2016 iKONCERT SHOWTIME TOUR IN SEOUL LIVE),208000.0,"B.I, BOBBY",2016 iKONCERT SHOWTIME IN SEOUL,,,JP,2016-06-10,,B.I.
ANTHEM REMIX (CHOICE37 Ver.),208000.0,"B.I, BOBBY",WELCOME BACK -COMPLETE EDITION-,,,JP,2016-03-30,,B.I.
ANTHEM REMIX (CHOICE37 Ver.) -KR Ver.-,208000.0,"B.I, BOBBY",WELCOME BACK -COMPLETE EDITION-,,,JP,2016-03-30,,B.I.
Alive,174000.0,B.I,COSMOS,,,XW,2021-11-11,,B.I.
All shook up,184000.0,"B.I, AGNEZ MO",Love or Loved Part.2,,,KR,2023-11-10,,B.I.
Alone,182768.0,"B.I, TYTAN",Love or Loved Part.2,,,KR,2023-11-10,,B.I.
BE I (2016 iKONCERT SHOWTIME TOUR IN SEOUL LIVE),201000.0,B.I,2016 iKONCERT SHOWTIME IN SEOUL,,,JP,2016-06-10,,B.I.
BE I / B.I (iKONCERT 2016 SHOWTIME TOUR IN JAPAN),201827.0,B.I,iKONCERT 2016 SHOWTIME TOUR IN JAPAN,,,JP,2016-06-22,,B.I.
BTBT,219550.0,"B.I, Soulja Boy, DeVita",BTBT,,,,2022-05-13,,B.I.
Be I,184000.0,B.I,"쇼미더머니 3, Part 1",,,KR,2014-08-08,,B.I.
COSMOS,217000.0,B.I,COSMOS,,,XW,2021-11-11,,B.I.
Die for love,198137.0,"B.I, Jessi",TO DIE FOR,,,KR,2023-06-01,,B.I.
Elevator,170000.0,"B.I, ちゃんみな",ただいま,,,XW,2024-03-13,,B.I.
Endless summer,157564.0,B.I,Love or Loved Part.1,,,KR,2022-11-18,,B.I.
Flame,178000.0,B.I,COSMOS,,,XW,2021-11-11,,B.I.
Flow Away,224000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
Help me,200000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
Keep me up,206660.0,B.I,Love or Loved Part.1,,,KR,2022-11-18,,B.I.
Loved,156541.0,B.I,Loved,,,,2023-10-27,,B.I.
Lover,183000.0,B.I,COSMOS,,,XW,2021-11-11,,B.I.
MICHELANGELO,188056.0,B.I,TO DIE FOR,,,KR,2023-06-01,,B.I.
Middle with you,178000.0,B.I,Love or Loved Part.1,,,KR,2022-11-18,,B.I.
NANANA,194000.0,"B.I, SKY‐HI",ただいま,,,XW,2024-03-13,,B.I.
NERD,187000.0,"B.I, Colde",COSMOS,,,XW,2021-11-11,,B.I.
NUMB,226000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
Remember me,,B.I,Midnight Blue (LOVE STREAMING),,,XW,2021-03-19,,B.I.
S.O.S,169000.0,B.I,Love or Loved Part.2,,,KR,2023-11-10,,B.I.
STAY,176000.0,"B.I, Tablo",WATERFALL,,,XW,2021-06-01,,B.I.
TO DIE,141089.0,B.I,TO DIE FOR,,,KR,2023-06-01,,B.I.
Tangerine,198586.0,B.I,Love or Loved Part.1,,,KR,2022-11-18,,B.I.
Tasty,131000.0,B.I,Tasty,,,KR,2024-05-20,,B.I.
Truth,157037.0,B.I,TO DIE FOR,,,KR,2023-06-01,,B.I.
WATERFALL,165000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
Wish you were here,201000.0,B.I,ただいま,,,XW,2024-03-13,,B.I.
さよなら,193000.0,B.I,ただいま,,,XW,2024-03-13,,B.I.
怖い,189000.0,B.I,ただいま,,,XW,2024-03-13,,B.I.
개가트닌생 (Beautiful Life),187326.0,"B.I, Crying Nut",TO DIE FOR,,,KR,2023-06-01,,B.I.
겁도 없이 (Dare to Love),175716.0,"B.I, BIG Naughty",TO DIE FOR,,,KR,2023-06-01,,B.I.
구르믄 (Cloud Thought),196149.0,B.I,TO DIE FOR,,,KR,2023-06-01,,B.I.
그땐 내가 (Then),191000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
긴 꿈 (Daydream),194000.0,"B.I, LEE HI",WATERFALL,,,XW,2021-06-01,,B.I.
깊은 밤의 위로 (Midnight Blue),,B.I,Midnight Blue (LOVE STREAMING),,,XW,2021-03-19,,B.I.
꿈결 (Illusion),198000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
내 걱정 (Blossom),,B.I,Midnight Blue (LOVE STREAMING),,,XW,2021-03-19,,B.I.
다음 생 (Re-Birth),203000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
망가진 장난감의 섬 (The Island Misfit of Toys),203143.0,B.I,TO DIE FOR,,,KR,2023-06-01,,B.I.
비 온 뒤 흐림 (GRAY),202000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
역겹겠지만 (Remember me),219000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
열아홉 (NINETEEN),200000.0,B.I,COSMOS,,,XW,2021-11-11,,B.I.
자장가,197240.0,"B.I, CHUU",자장가,,,KR,2022-06-27,,B.I.
친구해요 (Buddy Buddy),204000.0,B.I,COSMOS,,,XW,2021-11-11,,B.I.
해변 (illa illa),205000.0,B.I,WATERFALL,,,XW,2021-06-01,,B.I.
해일 (Wave),170046.0,"B.I, Kid Milli, Lil Cherry",TO DIE FOR,,,KR,2023-06-01,,B.I.
