title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
BATTER UP,199000,BABYMONSTER,BATTER UP,,,KR,2023-11-27,,BABYMONSTER
BATTER UP,188000,BABYMONSTER,BATTER UP,,,XW,2023-11-27,,BABYMONSTER
BATTER UP (7 ver.),188000,BABYMONSTER,BABYMONS7ER,,,XW,2024-04-01,,BABYMONSTER
DREAM,194000,BABYMONSTER,DREAM,,,XW,2023-05-13,,BABYMONSTER
DREAM,183000,BABYMONSTER,BABYMONS7ER,,,XW,2024-04-01,,BABYMONSTER
LIKE THAT,168000,BABYMONSTER,BABYMONS7ER,,,XW,2024-04-01,,BABYMONSTER
MONSTERS (intro),44000,BABYMONSTER,BABYMONS7ER,,,XW,2024-04-01,,BABYMONSTER
SHEESH,170000,BABYMONSTER,BABYMONS7ER,,,XW,2024-04-01,,BABYMONSTER
Stuck in the Middle,246000,BABYMONSTER,Stuck in the Middle,,,XW,2024-02-01,,BABYMONSTER
Stuck in the Middle (7 ver.),246000,BABYMONSTER,BABYMONS7ER,,,XW,2024-04-01,,BABYMONSTER
Stuck in the Middle (remix),199000,BABYMONSTER,BABYMONS7ER,,,XW,2024-04-01,,BABYMONSTER
