title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Bambi (BRLLNT remix),171940,BAEKHYUN,"iScreaM, Vol.8 : Bambi Remixes",,,XW,2021-04-23,,BAEKHYUN
Ice Queen,216000,BAEKHYUN,City Lights,,,KR,2019-07-10,,BAEKHYUN
Love Scene,217000,BAEKHYUN,Bambi,,,KR,2021-03-30,,BAEKHYUN
UN Village,236000,BAEKHYUN,City Lights,,,KR,2019-07-10,,BAEKHYUN
Cry for Love,210000,BAEKHYUN,Bambi,,,KR,2021-03-30,,BAEKHYUN
All I Got,240000,BAEKHYUN,Bambi,,,KR,2021-03-30,,BAEKHYUN
Candy,227000,BAEKHYUN,Delight,,,KR,2020-05-25,,BAEKHYUN
인형,271000,"BAEKHYUN, 도영",Rewind : Blossom,,,XW,2021-03-26,,BAEKHYUN
놀이공원 (Amusement Park),256000,BAEKHYUN,Amusement Park,,,XW,2020-12-21,,BAEKHYUN
Underwater,199000,BAEKHYUN,Delight,,,KR,2020-05-25,,BAEKHYUN
바래다줄게 (Take You Home) (inst.),235000,BAEKHYUN,바래다줄게 (Take You Home),,,KR,2017-04-14,,BAEKHYUN
나인가요,248000,BAEKHYUN,홍천기 OST,,,KR,2021-10-26,,BAEKHYUN
Stars,254000,BAEKHYUN,BAEKHYUN,,,XW,2021-01-21,,BAEKHYUN
Bambi,213000,BAEKHYUN,Bambi,,,KR,2021-03-30,,BAEKHYUN
Drown,222000,BAEKHYUN,BAEKHYUN,,,XW,2021-01-21,,BAEKHYUN
Get You Alone,246000,BAEKHYUN,BAEKHYUN,,,XW,2021-01-21,,BAEKHYUN
R U Ridin’?,175000,BAEKHYUN,Delight,,,KR,2020-05-25,,BAEKHYUN
두근거려 (Beautiful),224000,BAEKHYUN,우리 옆집에 EXO가 산다 OST,,,KR,2015-04-22,,BAEKHYUN
Garden In The Air,197520,BAEKHYUN,Our Beloved BoA #1 - SM STATION,,,XW,2020-07-31,,BAEKHYUN
Poppin’,208000,BAEKHYUN,Delight,,,KR,2020-05-25,,BAEKHYUN
YOUNG (inst.),229000,"BAEKHYUN, LOCO",YOUNG,,,KR,2018-08-31,,BAEKHYUN
Diamond,238000,BAEKHYUN,City Lights,,,KR,2019-07-10,,BAEKHYUN
Privacy,187000,BAEKHYUN,Bambi,,,KR,2021-03-30,,BAEKHYUN
Bungee,207000,BAEKHYUN,Delight,,,KR,2020-05-25,,BAEKHYUN
Betcha,201000,BAEKHYUN,City Lights,,,KR,2019-07-10,,BAEKHYUN
Ghost,204000,BAEKHYUN,Delight,,,KR,2020-05-25,,BAEKHYUN
Bambi (h4rdy remix),240004,BAEKHYUN,"iScreaM, Vol.8 : Bambi Remixes",,,XW,2021-04-23,,BAEKHYUN
Addicted,228000,BAEKHYUN,BAEKHYUN,,,XW,2021-01-21,,BAEKHYUN
Love Again,205000,BAEKHYUN,Delight,,,KR,2020-05-25,,BAEKHYUN
YOUNG,229000,"BAEKHYUN, LOCO",YOUNG,,,KR,2018-08-31,,BAEKHYUN
WHIPPIN’,231000,BAEKHYUN,BAEKHYUN,,,XW,2021-01-21,,BAEKHYUN
너를 사랑하고 있어,193000,BAEKHYUN,낭만닥터 김사부 2 OST,,,KR,2020-02-25,,BAEKHYUN
Disappeared,198000,BAEKHYUN,BAEKHYUN,,,XW,2021-01-21,,BAEKHYUN
바래다줄게 (Take You Home),235000,BAEKHYUN,바래다줄게 (Take You Home),,,KR,2017-04-14,,BAEKHYUN
Garden In The Air (Instrumental),197520,BAEKHYUN,Our Beloved BoA #1 - SM STATION,,,XW,2020-07-31,,BAEKHYUN
happy,232000,BAEKHYUN,브람스를 좋아하세요? OST,,,KR,2020-10-19,,BAEKHYUN
Psycho,206000,BAEKHYUN,City Lights,,,KR,2019-07-10,,BAEKHYUN
Stay Up,207000,"BAEKHYUN, Beenzino",City Lights,,,KR,2019-07-10,,BAEKHYUN
