title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
#TBM,251000.0,BEAST,#TBM,,,JP,2015-08-11,,BEAST
#TBM,252000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
12시 30분,234000.0,BEAST,Time,,,KR,2014-10-20,,BEAST
2011.5.13 - 15 HI-TOUCH EVENT DOCUMENT,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
ADRENALINE,225000.0,BEAST,ADRENALINE,,,JP,2014-05-28,,BEAST
ADRENALINE (MUSIC VIDEO),,BEAST,ADRENALINE,,,JP,2014-05-28,,BEAST
All is in U,207000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
B.I.B,259000.0,BEAST,ADRENALINE,,,JP,2014-05-28,,BEAST
Baby it's you (두준&기광 Duet),,BEAST,Highlight,,,KR,2016-07-04,,BEAST
Back to You,187000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
Bad Girl,193000.0,BEAST,Beast Is The B2ST,,,KR,2009-10-14,,BEAST
Bad Girl,192000.0,BEAST,Bad Girl,,,KR,2009-10-14,,BEAST
BAD GIRL,193000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
BAD GIRL,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Bad Girl (Instrumental),191000.0,BEAST,Bad Girl (Japanese Ver.),,,JP,2011-06-15,,BEAST
BAD GIRL (Japanese version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
BAD GIRL (Japanese version) (Music video),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Bad Girl (Korean Version) (Genki Rockets Remix),236000.0,BEAST,Bad Girl (Japanese Ver.),,,JP,2011-06-15,,BEAST
BAD GIRL (MUSIC VIDEO),,BEAST,BEAST -JAPAN PREMIUM EDITION-,,,JP,2010-11-24,,BEAST
Be Alright,236000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
BEAST IN TOKYO,,BEAST,BEAST -JAPAN PREMIUM EDITION-,,,JP,2010-11-24,,BEAST
Beast Is The B2ST,91000.0,BEAST,Beast Is The B2ST,,,KR,2009-10-14,,BEAST
BEAST IS THE B2ST,91000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
Beautiful,216000.0,BEAST,Lights Go on Again,,,XW,2010-11-09,,BEAST
BEAUTIFUL,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
BEAUTIFUL (Korean version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Black Paradise,223000.0,BEAST,"아이리스 Ⅱ IRIS Ⅱ (Original TV Series Soundtrack), Pt. 3",,,XW,2013-02-27,,BEAST
Black Paradise (Inst.),223000.0,BEAST,"아이리스 Ⅱ IRIS Ⅱ (Original TV Series Soundtrack), Pt. 3",,,XW,2013-02-27,,BEAST
Break Down,215000.0,BEAST,Mastermind,,,XW,2010-09-28,,BEAST
Butterfly,,BEAST,Highlight,,,KR,2016-07-04,,BEAST
CAN'T WAIT TO LOVE YOU,204000.0,BEAST,CAN’T WAIT TO LOVE YOU,,,JP,2015-05-21,,BEAST
CAN'T WAIT TO LOVE YOU,204000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
Crazy,198000.0,BEAST,주유소 습격사건 2,,,KR,2010-01-20,,BEAST
"Dance Practice Video: ""Soom"", ""SHOCK"", ""Fact / Fiction""",,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Dance With U,196000.0,BEAST,Good Luck,,,AU,2014-06-13,,BEAST
DOCUMENTARY,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Dream Girl,229000.0,BEAST,Midnight Sun,,,XW,2012-07-19,,BEAST
Drive,192000.0,BEAST,Time,,,KR,2014-10-20,,BEAST
Easy,219666.0,BEAST,Shock of the New Era,,,KR,2010-03-01,,BEAST
EASY,219000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
EASY,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Easy (Sincere Version),222000.0,BEAST,Bad Girl (Japanese Ver.),,,JP,2011-06-15,,BEAST
Encore,201000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
Fiction,235000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
FICTION (Japanese version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Fiction (Orchestra version),255000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
FICTION (Orchestra version) (Japanese version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Found you (준형 Solo),,BEAST,Highlight,,,KR,2016-07-04,,BEAST
Freeze,213000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
Good Luck,202364.0,BEAST,Good Luck,,,AU,2014-06-13,,BEAST
GUESS WHO?,187000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
HANDS UP,208000.0,BEAST,HANDS UP,,,JP,2015-04-06,,BEAST
HANDS UP,210000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
History,220000.0,BEAST,Good Luck,,,AU,2014-06-13,,BEAST
How To Love,238000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
I Think I Love You (Korean Ver.),,BEAST,Ordinary,,,KR,2015-07-27,,BEAST
I'll give you my all (동운 Solo),,BEAST,Highlight,,,KR,2016-07-04,,BEAST
I'm Sorry,194000.0,BEAST,Lights Go on Again,,,XW,2010-11-09,,BEAST
I'm Sorry,228000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
Intro,88000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
Just Before Shock,125053.0,BEAST,Shock of the New Era,,,KR,2010-03-01,,BEAST
JUST BEFORE SHOCK,124000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
Lightless,204000.0,BEAST,Lights Go on Again,,,XW,2010-11-09,,BEAST
Lightless (unplugged version),205000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
Lights Go on Again,107213.0,BEAST,Lights Go on Again,,,XW,2010-11-09,,BEAST
Lights Go on Again,214000.0,BEAST,Lights Go On Again,,,KR,2010-11-09,,BEAST
Lights Go On Again,215000.0,BEAST,My Story,,,KR,2010-12-21,,BEAST
Mastermind,95000.0,BEAST,Mastermind,,,XW,2010-09-28,,BEAST
Midnight (별 헤는 밤),234000.0,BEAST,Midnight Sun,,,XW,2012-07-19,,BEAST
Mun I Dad Hi Myeon,205693.0,BEAST,My Story,,,,2010-12-30,,BEAST
Mystery,210000.0,BEAST,Beast Is The B2ST,,,KR,2009-10-14,,BEAST
MYSTERY,210000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
MYSTERY,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Mystery (80KIDZ Remix),265000.0,BEAST,Bad Girl (Japanese Ver.),,,JP,2011-06-15,,BEAST
MYSTERY (Japanese version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Oasis,227000.0,BEAST,Beast Is The B2ST,,,KR,2009-10-14,,BEAST
OASIS,227000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
OASIS,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Oh Honey,,BEAST,Ordinary,,,KR,2015-07-27,,BEAST
ONE,179000.0,BEAST,ONE,,,JP,2015-03-17,,BEAST
ONE,180000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
One Day,226000.0,BEAST,キミはどう?,,,JP,2014-11-14,,BEAST
One Day (Korean Ver.),,BEAST,Ordinary,,,KR,2015-07-27,,BEAST
One Day -Instrumental-,229000.0,BEAST,キミはどう?,,,JP,2014-11-14,,BEAST
Only One,214000.0,BEAST,Only One,,,JP,2015-09-30,,BEAST
Only One,215000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
Sad Movie,198000.0,BEAST,Sad Movie / クリスマスキャロルの頃には,,,JP,2013-12-18,,BEAST
Sad Movie (Instrumental),198000.0,BEAST,Sad Movie / クリスマスキャロルの頃には,,,JP,2013-12-18,,BEAST
Sad Movie (Korean Ver.),198000.0,BEAST,Good Luck,,,AU,2014-06-13,,BEAST
Saigo no Hitokoto,233000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
Shadow (그림자),216000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
Shock,226000.0,BEAST,Shock of the New Era,,,KR,2010-03-01,,BEAST
SHOCK,226000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
SHOCK,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
SHOCK (Japanese version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
SHOCK (Japanese version) (Music video),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
SHOCK (MUSIC VIDEO),,BEAST,BEAST -JAPAN PREMIUM EDITION-,,,JP,2010-11-24,,BEAST
So Hot,189000.0,BEAST,Time,,,KR,2014-10-20,,BEAST
Special,198840.0,BEAST,Shock of the New Era,,,KR,2010-03-01,,BEAST
SPECIAL,198000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
SPECIAL,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
Special (FIREWORK DJs Remix),235000.0,BEAST,Bad Girl (Japanese Ver.),,,JP,2011-06-15,,BEAST
STAY FOREVER YOUNG,199000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
The Fact,139000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
THIS IS MY LIFE,231000.0,BEAST,THIS IS MY LIFE,,,JP,2015-06-22,,BEAST
THIS IS MY LIFE,231000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
V.I. U (VERY IMPORTANT U) (Korean version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
V.I.U (Very Important U),186000.0,BEAST,Mastermind,,,XW,2010-09-28,,BEAST
Virus,205000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
VIRUS (Korean version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
We Up,197000.0,BEAST,Good Luck,,,AU,2014-06-13,,BEAST
When I…,,BEAST,Highlight,,,KR,2016-07-04,,BEAST
YeY,215000.0,BEAST,YeY,,,JP,2015-08-31,,BEAST
YeY -Japanese Ver.-,214000.0,BEAST,GUESS WHO?,,,JP,2016-03-09,,BEAST
You,231000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
YOU (Korean version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
まだ,221000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
イロルチュルアラッソ ~わかってた~,213000.0,BEAST,MIDNIGHT SUN -JAPAN EDITION-,,,JP,2012-09-25,,BEAST
キミはどう?,204000.0,BEAST,キミはどう?,,,JP,2014-11-14,,BEAST
キミはどう? -Instrumental-,204000.0,BEAST,キミはどう?,,,JP,2014-11-14,,BEAST
クリスマスキャロルの頃には,258000.0,BEAST,Sad Movie / クリスマスキャロルの頃には,,,JP,2013-12-18,,BEAST
スム (Korean version),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
スム (숨),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
ピガ オヌン ナレン (Korean version) ~雨が降る日には~,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
ムジゲ (Korean version) ~虹~,,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
僕の彼女をよろしく (SAY NO),194000.0,BEAST,BEAST -JAPAN EDITION-,,,JP,2010-11-24,,BEAST
拳をぎゅっと握って (주먹을 꽉 쥐고),,BEAST,SO BEAST,,,JP,2011-08-10,,BEAST
가까이 (Stay),206000.0,BEAST,Time,,,KR,2014-10-20,,BEAST
가져가,,BEAST,Ordinary,,,KR,2015-07-27,,BEAST
괜찮겠니,221000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
궁금해,,BEAST,Highlight,,,KR,2016-07-04,,BEAST
그곳에서,,BEAST,Ordinary,,,KR,2015-07-27,,BEAST
나와 (요섭 Solo),,BEAST,Highlight,,,KR,2016-07-04,,BEAST
내 여자친구를 부탁해 (Say No),194000.0,BEAST,Shock of the New Era,,,KR,2010-03-01,,BEAST
내가 아니야,207000.0,BEAST,Midnight Sun,,,XW,2012-07-19,,BEAST
너는 나빠,203000.0,BEAST,"Hard To Love, How To Love",,,XW,2013-07-19,,BEAST
눈을 감아도,207000.0,BEAST,Time,,,KR,2014-10-20,,BEAST
니가 보고 싶어지면,216000.0,BEAST,Midnight Sun,,,XW,2012-07-19,,BEAST
니가 쉬는 날,199000.0,BEAST,Midnight Sun,,,XW,2012-07-19,,BEAST
니가 제일 좋아,202000.0,BEAST,Lights Go on Again,,,XW,2010-11-09,,BEAST
리본 (Ribbon),,BEAST,Highlight,,,KR,2016-07-04,,BEAST
리본 (Ribbon) (Inst.),,BEAST,Highlight,,,KR,2016-07-04,,BEAST
미운 사람,187872.0,BEAST,미운사람 (빅 OST),,,,2012-06-11,,BEAST
미운 사람 (Inst.),187872.0,BEAST,미운사람 (빅 OST),,,,2012-06-11,,BEAST
불러보지만,230000.0,BEAST,Fiction and Fact,,,KR,2011-05-17,,BEAST
비가 오는 날엔,225000.0,BEAST,비가 오는 날엔,,,KR,2011-05-12,,BEAST
숨 (Soom),211000.0,BEAST,Mastermind,,,XW,2010-09-28,,BEAST
스위트 룸,,BEAST,Ordinary,,,KR,2015-07-27,,BEAST
아름다운 밤이야,218000.0,BEAST,Midnight Sun,,,XW,2012-07-19,,BEAST
아직은,221000.0,BEAST,Beast Is The B2ST,,,KR,2009-10-14,,BEAST
안을까 말까,213000.0,BEAST,Super Market the Half,,,KR,2011-04-29,,BEAST
연습 중,,BEAST,Highlight,,,KR,2016-07-04,,BEAST
예이 (YeY),,BEAST,Ordinary,,,KR,2015-07-27,,BEAST
이 밤 너의 곁으로,248000.0,BEAST,Good Luck,,,AU,2014-06-13,,BEAST
이럴 줄 알았어 (I Knew It),214000.0,BEAST,이럴 줄 알았어 (I Knew It),,,KR,2012-01-16,,BEAST
이젠 아니야,240000.0,BEAST,Good Luck,,,AU,2014-06-13,,BEAST
일하러 가야 돼,198000.0,BEAST,일하러 가야 돼,,,KR,2015-07-20,,BEAST
