title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
"1, 2, 3",206000.0,BTOB,THIS IS US,,,KR,2018-06-18,,BTOB
ABOUT TIME,225000.0,BTOB,Feel'eM,,,KR,2017-03-06,,BTOB
Anymore,224000.0,BTOB,Remember that,,,XW,2016-03-28,,BTOB
Back Door,,BTOB,Round 2: Re-Born (Episodes 4-5),,,XW,2021-04-29,,BTOB
Back Door,280000.0,BTOB,Back Door,,,XW,2021-04-29,,BTOB
Back Door,238000.0,BTOB,Back Door,,,XW,2021-06-27,,BTOB
Beyond the Time,323760.0,BTOB,24/7 (TWENTY FOUR/SEVEN),,,JP,2016-12-07,,BTOB
Beyond the time,322000.0,BTOB,L.U.V,,,JP,2016-06-15,,BTOB
Blowin’,276000.0,BTOB,夏色 MY GIRL,,,JP,2015-08-19,,BTOB
Blue Moon,241000.0,BTOB,THIS IS US,,,KR,2018-06-18,,BTOB
Blue Moon (Cinema Ver.),244000.0,BTOB,Blue Moon (Cinema Ver.),,,XW,2021-06-27,,BTOB
Blue Moon (Cinema Version),264000.0,BTOB,Round 3: NO LIMIT Part 2 (Episodes 8-9),,,XW,2021-05-27,,BTOB
Blue Moon (Cinema Version),321000.0,BTOB,Blue Moon (Cinema Version),,,XW,2021-05-27,,BTOB
Born to Beat,85000.0,BTOB,Born to Beat,,,US,2012-04-03,,BTOB
Brand New Days ~どんな未来を~,249000.0,BTOB,Brand new days,,,XW,2017-08-30,,BTOB
Call me,196000.0,BTOB,THIS IS US,,,KR,2018-06-18,,BTOB
Catch Me,214000.0,BTOB,Thriller,,,XW,2013-09-09,,BTOB
Christmas Time ～君だけを～,320295.0,BTOB,24/7 (TWENTY FOUR/SEVEN),,,JP,2016-12-07,,BTOB
Cold,215917.0,BTOB,Sugar Man2 Part.13,,,XW,2018-04-16,,BTOB
Complete (Intro),159000.0,BTOB,Complete,,,KR,2015-06-29,,BTOB
Crush On You,189000.0,BTOB,Brand new days,,,XW,2017-08-30,,BTOB
Day&Night,201000.0,BTOB,Wind and Wish,,,KR,2023-05-02,,BTOB
Day&Night LIVE CLIP,202000.0,BTOB,Day&Night LIVE CLIP,,,XW,2023-05-16,,BTOB
Dear Bride,298000.0,BTOB,Dear Bride,,,JP,2016-02-24,,BTOB
Dear Bride (Instrumental),298000.0,BTOB,Dear Bride,,,JP,2016-02-24,,BTOB
Dreamer,213786.0,BTOB,4U : OUTSIDE,,,,2021-08-30,,BTOB
Everything's Good - 일훈 Solo (Outro),245533.0,BTOB,Complete,,,KR,2015-06-29,,BTOB
Evidence,220000.0,BTOB,夏色 MY GIRL,,,JP,2015-08-19,,BTOB
Father,222000.0,BTOB,Born to Beat,,,US,2012-05-23,,BTOB
Finale (Show And Prove) (Japanese ver.),240000.0,BTOB,Outsider,,,JP,2021-10-27,,BTOB
Finale (Show And Prove) (피날레),,BTOB,Finale (Show And Prove) (피날레),,,XW,2021-06-27,,BTOB
Finale : 우리들의 콘서트,240000.0,BTOB,Brother Act.,,,KR,2017-10-16,,BTOB
Fly Away,218000.0,BTOB,Brother Act.,,,KR,2017-10-16,,BTOB
Friend,219000.0,BTOB,Friend,,,KR,2018-10-23,,BTOB
Further Rise,250000.0,BTOB,Brand new days,,,XW,2017-08-30,,BTOB
Go for it,209000.0,BTOB,L.U.V,,,JP,2016-06-15,,BTOB
Guess Who’s Back,220525.0,BTOB,24/7 (TWENTY FOUR/SEVEN),,,JP,2016-12-07,,BTOB
Guitar (Stroke of Love),215000.0,BTOB,Brother Act.,,,KR,2017-10-16,,BTOB
HELLO MELLO,221826.0,BTOB,Beep Beep,,,KR,2014-02-17,,BTOB
Ha-Na-Bi,255022.0,BTOB,24/7 (TWENTY FOUR/SEVEN),,,JP,2016-12-07,,BTOB
Happening,201000.0,BTOB,Move,,,KR,2014-09-23,,BTOB
Heaven,211000.0,BTOB,Wind and Wish,,,KR,2023-05-02,,BTOB
Hello Mello (JPN ver.),222772.0,BTOB,24/7 (TWENTY FOUR/SEVEN),,,JP,2016-12-07,,BTOB
Higher,196000.0,BTOB,Be Together,,,XW,2022-02-21,,BTOB
IceBreaker,176000.0,BTOB,THIS IS US,,,KR,2018-06-18,,BTOB
Imagine,224000.0,BTOB,비밀 (Insane),,,KR,2012-03-21,,BTOB
Insane (Instrumental),218000.0,BTOB,Born to Beat,,,US,2012-05-23,,BTOB
Interlude : Brother Act.,139000.0,BTOB,Brother Act.,,,KR,2017-10-16,,BTOB
Interlude: Re,95000.0,BTOB,Be Together,,,XW,2022-02-21,,BTOB
Intro : 발자취 (The Trace),75000.0,BTOB,Be Together,,,XW,2022-02-21,,BTOB
Irresistible Lips,228000.0,BTOB,Born to Beat,,,US,2012-05-23,,BTOB
Irresistible Lips (Instrumental),227000.0,BTOB,Born to Beat,,,US,2012-05-23,,BTOB
JUMP!,245000.0,BTOB,L.U.V,,,JP,2016-06-15,,BTOB
Killing Me,215000.0,BTOB,Remember that,,,XW,2016-03-28,,BTOB
L.U.V,282000.0,BTOB,L.U.V,,,JP,2016-06-15,,BTOB
L.U.V (Instrumental),282000.0,BTOB,L.U.V,,,JP,2016-06-15,,BTOB
Last Day,218000.0,BTOB,I Mean,,,KR,2015-10-12,,BTOB
Like It,198000.0,BTOB,HOUR MOMENT,,,KR,2018-11-12,,BTOB
Lonely,236000.0,BTOB,Be Together,,,XW,2022-02-21,,BTOB
Love Virus,231000.0,"BTOB, 유성은",사랑병,,,KR,2012-07-12,,BTOB
MAGIC TIME,229000.0,BTOB,未来（あした）,,,JP,2015-03-25,,BTOB
MOVIE,223000.0,BTOB,Feel'eM,,,KR,2017-03-06,,BTOB
