title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
12월 27일 (On DECEMBER 27th),240000.0,BoA,07 WINTER SMTOWN,,,XW,2007-12-07,,BoA
1st Album LISTEN TO MY HEART (TV CM),,BoA,8 films & more,,,JP,2003-03-19,,BoA
2nd Album VALENTI (TV CM),,BoA,8 films & more,,,JP,2003-03-19,,BoA
Action,213000.0,BoA,Action,,,KR,2013-07-31,,BoA
Addiction (집착),245040.0,BoA,Girls On Top,,,XW,2005-06-24,,BoA
ADRENALINE,185053.0,BoA,Hurricane Venus,,,KR,2010-08-05,,BoA
After Midnight,181000.0,BoA,Forgive Me,,,KR,2022-11-22,,BoA
AGAIN,261293.0,BoA,Don’t Start Now / Jumping Into The World,,,XW,2001-01-03,,BoA
AGGRESSIVE,222000.0,BoA,THE FACE,,,JP,2008-02-27,,BoA
Ain't no sunshine (BoA THE LIVE),,BoA,MADE IN TWENTY (20),,,JP,2007-01-17,,BoA
All That Jazz,238000.0,BoA,BETTER,,,KR,2020-12-01,,BoA
Always,,BoA,精選輯: Best Single,,,CN,2005-12-16,,BoA
Amazing Kiss,273500.0,BoA,Amazing Kiss,,,XW,2001-07-25,,BoA
AMOR,233000.0,BoA,AMOR,,,,2018-12-26,,BoA
April 10th YOYOGI,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 16th OSAKA,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 17th OSAKA,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 1st RUN THROUGH,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 23rd NAGOYA,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 24th NAGOYA,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 2nd FUKUOKA OPENING DAY,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 7th YOYOGI,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
April 9th YOYOGI,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
Atlantis Princess,,BoA,Atlantis Princess,,,CN,2003,,BoA
Azalea,280146.0,BoA,No. 1,,,XW,2002-01-04,,BoA
B.I.O,259000.0,BoA,VALENTI,,,XW,2003-01-29,,BoA
Baby you..,200000.0,BoA,Tail of Hope,,,JP,2013-06-26,,BoA
Bad Drive,211000.0,BoA,Sweet Impact,,,JP,2007-04-25,,BoA
BAND INTRODUCE,,BoA,LIVE TOUR 2004 -LOVE & HONESTY-,,,JP,2004-07-07,,BoA
Be the one,227000.0,BoA,LOVE & HONESTY,,,JP,2004-01-15,,BoA
be with you.,316000.0,BoA,be with you.,,,JP,2008-02-20,,BoA
Beautiful Flowers,210000.0,BoA,LOVE LETTER,,,JP,2007-09-26,,BoA
Before you said goodbye to me,243933.0,BoA,抱きしめる,,,JP,2005-11-23,,BoA
Beside You,260000.0,BoA,Shine We Are!,,,XW,2003-03-12,,BoA
Best Friend,249000.0,BoA,THE FACE,,,JP,2008-02-27,,BoA
BEST HIT MEGA BLEND,296000.0,BoA,永遠 / UNIVERSE / Believe in LOVE,,,JP,2009-02-18,,BoA
BEST&USA DOCUMENT FILM,,BoA,BEST&USA,,,JP,2009-03-18,,BoA
Better,199000.0,BoA,BETTER,,,KR,2020-12-01,,BoA
Black,194000.0,BoA,Starry Night,,,KR,2019-12-11,,BoA
Blah,218770.0,BoA,Kiss My Lips,,,KR,2015-05-12,,BoA
BoA 10th film ～From the past to the present～,,BoA,Milestone,,,JP,2011-12-07,,BoA
BoA LIVE TOUR 2019 #mood Making Film,,BoA,LIVE TOUR 2019 -#mood-,,,JP,2020-02-19,,BoA
BoA TV -THE FACE of BoA-,,BoA,THE FACE,,,JP,2008-02-27,,BoA
BoA TV 2nd Season -Kissing You & Sparkling Music Clip Making-,,BoA,"Vivid -Kissing you,Sparkling,Joyful Smile-",,,TW,2008-06-10,,BoA
BRAVE,238000.0,BoA,THE FACE,,,JP,2008-02-27,,BoA
Breathe,193000.0,BoA,Forgive Me,,,KR,2022-11-22,,BoA
BUMP BUMP!,242000.0,"BoA, VERBAL",BUMP BUMP!,,,JP,2009-10-28,,BoA
