recording_id,title,release_date,query_artist_name,retrieved_artist_name
03785e18-c5e7-4a99-a941-7f340aadf9c0,추억 사랑만큼,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
046cf9a1-ea78-42c6-be5a-e8bf74035c0a,Interlude (The Sea),2007-11-07,Brown Eyed Soul,Brown Eyed Soul
05197b99-408e-4776-8571-72e7cbc983e5,Outro,2003-09-17,Brown Eyed Soul,Brown Eyed Soul
09be871e-1faf-46fc-a3d8-84a16e5f2ede,같은 시간 속의 너 (inst.),2015-05-05,Brown Eyed Soul,Brown Eyed Soul
0a0ef5ea-b5d2-4fc9-ad96-66b673369f1e,Never Forget,2010-11-25,Brown Eyed Soul,Brown Eyed Soul
0ac654e1-78d9-4ba6-a002-261b68490400,Intro (The Wind),2007-11-07,Brown Eyed Soul,Brown Eyed Soul
0f040393-32fb-4945-8722-a3ddb3df4c14,Nothing Better,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
138cf5cc-e972-406e-8de5-8ba095b45bc5,It's Alright,2005-10-26,Brown Eyed Soul,Brown Eyed Soul
154fdf29-7ff4-450f-b521-700fc90d3e04,Go,2003-09-17,Brown Eyed Soul,Brown Eyed Soul
15c9e135-9ee4-4606-9764-85b0dba3546c,Blowin My Mind,2010-11-25,Brown Eyed Soul,Brown Eyed Soul
1672522c-a477-45bd-b371-bda3bb7a07bb,바람인가요,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
168f4204-9747-423d-affe-392487ffa035,Blue Day,2003-09-17,Brown Eyed Soul,Brown Eyed Soul
16a54234-7464-49a4-9726-1ed8c748c193,해주길,2003-09-17,Brown Eyed Soul,Brown Eyed Soul
18cec39c-e101-45da-9428-9ad70b622439,Blowin' My Mind,2010-04,Brown Eyed Soul,Brown Eyed Soul
1e33986b-8c0d-4186-9b7c-374110378955,폭풍속의 주 (The Lord In The Storm),2007-11-07,Brown Eyed Soul,Brown Eyed Soul
22cc1fb1-7ef7-400c-9c92-4c5f165c72d3,그대,2010-11-25,Brown Eyed Soul,Brown Eyed Soul
2324bbcd-6b94-45dd-ba14-1bef35f28245,Philly Love Song,2014-04-01,Brown Eyed Soul,Brown Eyed Soul
2875f2f1-2936-49fe-bf62-633c751c7f20,비켜줄께 (Album Version),2010-04,Brown Eyed Soul,Brown Eyed Soul
2d058c48-953c-4f67-bc69-9209bfbc9f13,Interlude (The Rain),2007-11-07,Brown Eyed Soul,Brown Eyed Soul
30e5fdb9-fcac-42b9-9b9b-b7b6116411e3,Love Ballad (instrumental),2010-05-10,Brown Eyed Soul,Brown Eyed Soul
311c5e6c-5bb6-448f-b7b2-11dab830e6d3,Sweet Thing,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
3144a05f-285e-4fed-ba23-a6a2f99acd95,Round & Round,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
36f38989-db12-409c-b55d-b0b4480030ec,니 생각뿐 (inst.),2015-05-05,Brown Eyed Soul,Brown Eyed Soul
37839ed6-cfa1-4a66-8d10-ed743decdc07,오래도록 고맙도록,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
37e9a900-a560-4dff-9fb3-6dea50f9dffa,그대와 둘이,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
40550420-8484-4a3f-b159-1afe1f8a295c,With Chocolate,2010-11-25,Brown Eyed Soul,Brown Eyed Soul
4177c581-97d6-434e-ac66-f31d5e1f4d57,BES Theme,2014-04-01,Brown Eyed Soul,Brown Eyed Soul
42484e84-5773-4198-ae4d-07b26d68e11f,Hidden Track 1,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
42e7d9ad-f9c3-4d0b-8eb9-dc38b404d9a5,My Story,2007-11-07,Brown Eyed Soul,Brown Eyed Soul
44c44822-14d4-4f72-b3f2-4bbab205c305,Come With Me Girl,2015-05-05,Brown Eyed Soul,Brown Eyed Soul
466e4137-dbb4-438d-a319-79e750b35ecf,White Christmas,2004-11-23,Brown Eyed Soul,Brown Eyed Soul
