title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Freal Luv (Atik Remix),224571.0,"Far East Movement, CHANYEOL, Tinashe",Coolwater + Identity,,,JP,2018-11-30,,CHANYEOL
Tomorrow,145360.0,CHANYEOL,Tomorrow,,,XW,2021-04-06,,CHANYEOL
Freal Luv (DJ Drew Remix),259047.0,"Far East Movement, CHANYEOL, Tinashe",Coolwater + Identity,,,JP,2018-11-30,,CHANYEOL
ToYouProject - Sugarman Pt. 32 - If We Love Again,206386.0,"CHEN, CHANYEOL","투유 프로젝트 슈가맨, Pt. 32 : 다시 사랑한다면",,,XW,2016-05-25,,CHANYEOL
Faded,219000.0,"Devine Channel, Loopy, CHANYEOL",BYPRODUCT,,,XW,2020-09-03,,CHANYEOL
Rewind (Korean Ver.),212000.0,"周觅, CHANYEOL",Rewind,,,KR,2014-10-31,,CHANYEOL
SSFW (Japanese Version),219000.0,CHANYEOL,SSFW,,,US,2019-04-25,,CHANYEOL
Let Me Love You,211000.0,"정기고, CHANYEOL",Let Me Love You,,,KR,2017-02-23,,CHANYEOL
SSFW (Instrumental),219000.0,CHANYEOL,SSFW,,,US,2019-04-25,,CHANYEOL
돈 벌지마,196000.0,"Heize, CHANYEOL","Unpretty Rapstar, Vol. 2",,,KR,2015-12-02,,CHANYEOL
Bad Girl,194000.0,"HENRY, CHANYEOL",Fantastic,,,KR,2014-07-14,,CHANYEOL
그래도 돼 (Good Enough),,CHANYEOL,Good Enough,,,XW,2023-10-20,,CHANYEOL
어떤 말로도 (Confession),234000.0,"예성, CHANYEOL",Here I am,,,KR,2016-04-19,,CHANYEOL
Ocean View,187000.0,"로시, CHANYEOL",Ocean View,,,KR,2020-08-13,,CHANYEOL
SSFW,219000.0,CHANYEOL,SSFW,,,US,2019-04-25,,CHANYEOL
Freal Luv,190344.0,"Far East Movement, Marshmello, CHANYEOL, Tinashe",Freal Luv,,,NZ,2016-10-14,,CHANYEOL
Yours,235000.0,"Raiden, CHANYEOL, LEE HI, 창모",Yours,,,XW,2020-05-12,,CHANYEOL
Stay with Me,192000.0,"CHANYEOL, Punch",도깨비 OST Part 1,,,KR,2016-12-03,,CHANYEOL
We Young (inst.),181000.0,"CHANYEOL, SEHUN",We Young,,,KR,2018-09-14,,CHANYEOL
Go away go away,229000.0,"CHANYEOL, Punch",낭만닥터 김사부 2 OST,,,KR,2020-02-25,,CHANYEOL
Freal Luv (Rawtek Remix),262408.0,"Far East Movement, CHANYEOL, Tinashe",Coolwater + Identity,,,JP,2018-11-30,,CHANYEOL
We Young,181000.0,"CHANYEOL, SEHUN",We Young,,,KR,2018-09-14,,CHANYEOL
Freal Luv,,"Far East Movement, Marshmello, CHANYEOL, Tinashe","Promo Only: Club Video, February 2017",,,,2017-02,,CHANYEOL
Yours (Blinders remix),213846.0,"Raiden, CHANYEOL",Yours (Blinders remix),,,GB,2020-09-17,,CHANYEOL
SSFW (Chinese Version),219000.0,CHANYEOL,SSFW,,,US,2019-04-25,,CHANYEOL
Stay with Me (inst.),192000.0,"CHANYEOL, Punch",도깨비 OST Part 1,,,KR,2016-12-03,,CHANYEOL
Tomorrow (inst.),145347.0,CHANYEOL,Tomorrow,,,XW,2021-04-06,,CHANYEOL
Freal Luv (Awoltalk Remix),192317.0,"Far East Movement, CHANYEOL, Tinashe",Coolwater + Identity,,,JP,2018-11-30,,CHANYEOL
We Young (Chinese ver.),181000.0,"CHANYEOL, SEHUN",We Young,,,KR,2018-09-14,,CHANYEOL
