title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
여기 적어줘,149000.0,"CHUNG HA, pH‐1",My Friend,,,AF,2020-05-30,,CHUNG HA
Lemon,202000.0,"CHUNG HA, Colde",Querencia,,,KR,2021-02-15,,CHUNG HA
Offset,69000.0,CHUNG HA,Offset,,,KR,2018-01-17,,CHUNG HA
Good Night My Princess,232000.0,CHUNG HA,Bare&Rare Pt.1,,,KR,2022-07-11,,CHUNG HA
Stay Tonight,217000.0,CHUNG HA,Stay Tonight,,,AF,2020-04-27,,CHUNG HA
Why Don't You Know,198000.0,"CHUNG HA, 넉살",Hands on Me,,,KR,2017-06-07,,CHUNG HA
SIDE C {UNKNOWN},62000.0,CHUNG HA,Querencia,,,KR,2021-02-15,,CHUNG HA
Sparkling,191000.0,CHUNG HA,Sparkling,,,,2022-07-11,,CHUNG HA
"꽃, 바람 그리고 너",200000.0,"기희현, JEON SOMI, CHUNG HA, CHOI YOOJUNG","꽃, 바람 그리고 너",,,KR,2016-08-29,,CHUNG HA
Sparkling,187000.0,CHUNG HA,Sparkling,,,,2022,,CHUNG HA
BB,77000.0,CHUNG HA,Blooming Blue,,,KR,2018-07-18,,CHUNG HA
Drive,196000.0,CHUNG HA,Blooming Blue,,,KR,2018-07-18,,CHUNG HA
그 끝에 그대,224000.0,CHUNG HA,Hotel Del Luna OST,,,KR,2019-08-31,,CHUNG HA
When I Get Old,184732.0,"Christopher, CHUNG HA",When I Get Old,,,AF,2022-10-20,,CHUNG HA
With U,183000.0,"Samuel, CHUNG HA",SIXTEEN,,,KR,2017-08-02,,CHUNG HA
Make a Wish,185000.0,CHUNG HA,Hands on Me,,,KR,2017-06-07,,CHUNG HA
SIDE D {PLEASURES},64000.0,CHUNG HA,Querencia,,,KR,2021-02-15,,CHUNG HA
XXXX,168000.0,CHUNG HA,Bare&Rare Pt.1,,,KR,2022-07-11,,CHUNG HA
Louder,179000.0,CHUNG HA,Bare&Rare Pt.1,,,KR,2022-07-11,,CHUNG HA
Crazy Like You,175000.0,"CHUNG HA, BIBI",Bare&Rare Pt.1,,,KR,2022-07-11,,CHUNG HA
별하랑 (160504 + 170607),223000.0,CHUNG HA,Querencia,,,KR,2021-02-15,,CHUNG HA
Luce sicut stellae,192000.0,CHUNG HA,Querencia,,,KR,2021-02-15,,CHUNG HA
우주먼지,224000.0,CHUNG HA,Hands on Me,,,KR,2017-06-07,,CHUNG HA
Killing Me,164000.0,CHUNG HA,Killing Me,,,KR,2021-11-29,,CHUNG HA
Do It,213000.0,CHUNG HA,Offset,,,KR,2018-01-17,,CHUNG HA
나의 그대,221000.0,CHUNG HA,낭만닥터 김사부 2 OST,,,KR,2020-02-25,,CHUNG HA
Snapping,213000.0,CHUNG HA,Flourishing,,,KR,2019-06-24,,CHUNG HA
REMEDY,,"창모, CHUNG HA",Boyhood,,,KR,2020-02-17,,CHUNG HA
시간이 없어,214000.0,"기희현, CHUNG HA",YOLO,,,KR,2017-04-19,,CHUNG HA
Rainy Day (Antik remix ver.),219000.0,"휘성, CHUNG HA, 태일",우주속에서,,,KR,2018-10-11,,CHUNG HA
FAST,184000.0,"CHUNG HA, Mommy Son",FAST,,,XW,2019-09-08,,CHUNG HA
솔직히 지친다,222000.0,CHUNG HA,Everybody Has,,,XW,2020-02-29,,CHUNG HA
두근두근,210000.0,CHUNG HA,힘쎈여자 도봉순 OST,,,KR,2017-04-17,,CHUNG HA
Dream of You,193000.0,"CHUNG HA, R3HAB",Dream of You,,,AF,2020-11-26,,CHUNG HA
Bicycle,179000.0,CHUNG HA,Querencia,,,KR,2021-02-15,,CHUNG HA
짜증 나게 만들어,203000.0,CHUNG HA,Querencia,,,KR,2021-02-15,,CHUNG HA
Loveship,259000.0,"Paul Kim, CHUNG HA",Loveship,,,KR,2020-01-21,,CHUNG HA
Hands on Me,68000.0,CHUNG HA,Hands on Me,,,KR,2017-06-07,,CHUNG HA
Call It Love,241000.0,CHUNG HA,Flourishing,,,KR,2019-06-24,,CHUNG HA
Flourishing,195000.0,CHUNG HA,Flourishing,,,KR,2019-06-24,,CHUNG HA
Crazy Like You,175000.0,"CHUNG HA, BIBI","Bare&Rare, Pt. 1",,,AF,2022-07-11,,CHUNG HA
WHY DON'T WE,178000.0,"RAIN, CHUNG HA",PIECES by RAIN,,,XW,2021-03-03,,CHUNG HA
EENIE MEENIE,170000.0,"CHUNG HA, 김홍중",EENIE MEENIE,,,XW,2024-03-11,,CHUNG HA
Demente (Spanish version),163807.0,"CHUNG HA, Guaynaa",Demente (Spanish ver),,,KR,2021-03-17,,CHUNG HA
Chica,192000.0,CHUNG HA,Flourishing,,,KR,2019-06-24,,CHUNG HA
live,202000.0,"RAVI, CHUNG HA",live,,,KR,2019-02-18,,CHUNG HA
California Dream,179000.0,CHUNG HA,Bare&Rare Pt.1,,,KR,2022-07-11,,CHUNG HA
Love U,190000.0,CHUNG HA,Blooming Blue,,,KR,2018-07-18,,CHUNG HA
