title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Rockabye,159000.0,DAMI,Rockabye,,,XW,2020-11-04,,DAMI
Baby Don't Stop,,"YOOHYEON, DAMI",Crossroads: Part 2. Dystopia Concert,,,XW,2021-03-27,,DAMI
PING PONG,136000.0,"SIYEON, DAMI",PING PONG,,,XW,2021-12-08,,DAMI
Shadow (Slow ver.),213000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,DAMI
Full Moon,,"JI U, DAMI",Into the Night & Dystopia Concert,,,XW,2020-07-04,,DAMI
Beauty Full,202000.0,DAMI,Beauty Full,,,XW,2022-06-17,,DAMI
Shadow,214000.0,"SIYEON, DAMI",,,,,,,DAMI
Artist,,DAMI,Halloween Midnight Circus,,,KR,2021-10-30,,DAMI
Palette,197000.0,"YOOHYEON, DAMI",팔레트,,,XW,2021-12-31,,DAMI
잼잼,115000.0,"HANDONG, DAMI",잼잼,,,XW,2019-10-20,,DAMI
BUFFALO,180037.0,"선우정아, DAMI, 송은이, 유승우, 윤지영, 정세운, 15인의 소띠들",BUFFALO,,,AF,2021-07-25,,DAMI
Rainism,,DAMI,Dystopia: Seven Spirits Live Band Set,,,XW,2020-11-07,,DAMI
Shadow,212000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,DAMI
NDA,,"YOOHYEON, DAMI",,,,,,,DAMI
Shadow (inst),212000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,DAMI
Mood,145000.0,"YOOHYEON, DAMI",Mood,,,XW,2021-04-23,,DAMI
Beauty Full,,DAMI,Apocalypse: Broken Halloween World Tour,,,KR,2022-10-30,,DAMI
Havana,,"DAMI, SU A",,,,,,,DAMI
Beauty Full,183600.0,DAMI,[Apocalypse : Save us],,,KR,2022-04-12,,DAMI
Butterfly,211000.0,DAMI,Butterfly,,,XW,2021-06-29,,DAMI
Destiny,149000.0,DAMI,Destiny,,,KR,2023-09-23,,DAMI
Shadow (Slow ver.) (inst),213000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,DAMI
Once upon a time,95000.0,DAMI,Once upon a time,,,XW,2019-10-03,,DAMI
Shadow (Slow ver.) MV,210000.0,"SIYEON, DAMI",,,,,,,DAMI
