recording_id,title,release_date,query_artist_name,retrieved_artist_name
283e007b-7c91-40de-b5d7-d5d3c9172a50,"Love, Love, Love",2014-05-07,EXO-K,EXO-K
30c4caa0-b4b8-42c7-9705-d41833812cd0,MACHINE,2012-04-09,EXO-K,EXO-K
3966e987-81c6-4fc8-a0bf-2d8c39cd743c,너의 세상으로 Angel,2012-04-09,EXO-K,EXO-K
53948cd0-c304-4027-8563-91919982db10,What Is Love,2012-01-29,EXO-K,EXO-K
649f6c89-85fd-434d-9510-e39eae9b1a51,HISTORY,2012-03-09,EXO-K,EXO-K
6e970141-6855-49e7-bd81-1faadf412a9a,중독 (Overdose),2014-05-07,EXO-K,EXO-K
8062c509-e0b4-473b-93cb-fd6525590278,Run,2014-05-07,EXO-K,EXO-K
9ca4663d-c862-4385-8213-7cddf02bb8a5,두 개의 달이 뜨는 밤 Two Moons,2012-04-09,EXO-K,EXO-K
a73bfa94-cbcc-43d1-9759-5c56dadcc2ee,Thunder,2014-05-07,EXO-K,EXO-K
af8a191a-6047-490d-b499-7bb6939e680d,늑대와 미녀 (Wolf),2013-06-03,EXO-K,EXO-K
c12fbaac-e5dd-4e4e-814e-8bb692b35205,으르렁 (Growl),2013-08-05,EXO-K,EXO-K
d8efd317-9456-49e7-bbef-a5ad720f459b,마마 MAMA,2012-04-09,EXO-K,EXO-K
e3812f94-77d3-485f-af99-ba191ca8b419,월광 (Moonlight),2014-05-07,EXO-K,EXO-K
