title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
10억뷰 (1 Billion Views),209000,"EXO-SC, Moon Sujin",1 Billion Views,,,KR,2020-07-13,,EXO-SC
Nothin',196000,EXO-SC,1 Billion Views,,,KR,2020-07-13,,EXO-SC
On Me,175000,EXO-SC,1 Billion Views,,,KR,2020-07-13,,EXO-SC
Say It,201000,"EXO-SC, PENOMECO",1 Billion Views,,,KR,2020-07-13,,EXO-SC
What a life,203000,EXO-SC,What a life,,,KR,2019-07-22,,EXO-SC
夢 (몽),271000,EXO-SC,What a life,,,KR,2019-07-22,,EXO-SC
날개 (Fly Away),226000,"EXO-SC, 개코",1 Billion Views,,,KR,2020-07-13,,EXO-SC
로데오역 (Rodeo Station),221000,EXO-SC,1 Billion Views,,,KR,2020-07-13,,EXO-SC
롤러코스터,190000,EXO-SC,What a life,,,KR,2019-07-22,,EXO-SC
부르면 돼,187000,EXO-SC,What a life,,,KR,2019-07-22,,EXO-SC
선,159000,EXO-SC,What a life,,,KR,2019-07-22,,EXO-SC
시차적응 (Jet Lag),197000,EXO-SC,1 Billion Views,,,KR,2020-07-13,,EXO-SC
있어 희미하게,198000,"EXO-SC, 개코",What a life,,,KR,2019-07-22,,EXO-SC
척 (Telephone),196000,"EXO-SC, 10cm",Telephone,,,AF,2020-07-07,,EXO-SC
