title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1234,204000.0,FTISLAND,UNITED SHADOWS,,,JP,2017-04-12,,FTISLAND
1분 1초도,239000.0,FTISLAND,Colorful Sensibility,,,KR,2008-08-27,,FTISLAND
A light in the forest,257000.0,FTISLAND,UNITED SHADOWS,,,JP,2017-04-12,,FTISLAND
A Person Closer To Tears (눈물이 더 가까운 사람),313000.0,FTISLAND,The Refreshment,,,KR,2007-12-03,,FTISLAND
A Song for You,338000.0,FTISLAND,Prologue of FTISLAND -Soyogi-,,,JP,2008-06-07,,FTISLAND
All Of My Life,205160.0,FTISLAND,Sage,,,XW,2023-09-07,,FTISLAND
Always,227000.0,FTISLAND,20,,,JP,2012-05-16,,FTISLAND
Always Be Mine,339000.0,FTISLAND,Prologue of FTISLAND -Soyogi-,,,JP,2008-06-07,,FTISLAND
Always with you,211000.0,FTISLAND,THANKS TO,,,KR,2013-09-23,,FTISLAND
ANOTHER NEW WORLD,220000.0,FTISLAND,beautiful,,,JP,2014-01-22,,FTISLAND
AQUA,254000.0,FTISLAND,N.W.U,,,JP,2016-04-06,,FTISLAND
Baby Love,216000.0,FTISLAND,Beautiful Journey,,,KR,2010-08-25,,FTISLAND
BE FREE,213000.0,FTISLAND,NEW PAGE,,,JP,2014-05-28,,FTISLAND
Be Free,210000.0,FTISLAND,ALL ABOUT,,,KR,2014-10-02,,FTISLAND
BE FREE,212000.0,FTISLAND,10th Anniversary ALL TIME BEST / Yellow [2010–2020],,,XW,2020-05-20,,FTISLAND
BE FREE [ARENA TOUR 2014 -The Passion-] Multi Angle,,FTISLAND,To The Light,,,JP,2014-10-15,,FTISLAND
BE FREE [Music Video],237000.0,FTISLAND,NEW PAGE,,,JP,2014-05-28,,FTISLAND
BE FREE [Shooting of Solo Cut] (HONG GI),218000.0,FTISLAND,NEW PAGE,,,JP,2014-05-28,,FTISLAND
BE FREE [Shooting of Solo Cut] (JAE JIN),218000.0,FTISLAND,NEW PAGE,,,JP,2014-05-28,,FTISLAND
BE FREE [Shooting of Solo Cut] (JONG HOON),218000.0,FTISLAND,NEW PAGE,,,JP,2014-05-28,,FTISLAND
BE FREE [Shooting of Solo Cut] (MIN HWAN),218000.0,FTISLAND,NEW PAGE,,,JP,2014-05-28,,FTISLAND
BE FREE [Shooting of Solo Cut] (SEUNG HYUN),218000.0,FTISLAND,NEW PAGE,,,JP,2014-05-28,,FTISLAND
BEAT IT,200000.0,FTISLAND,You Are My Life,,,JP,2013-03-27,,FTISLAND
BEAT IT,199000.0,FTISLAND,RATED-FT,,,JP,2013-06-12,,FTISLAND
BEAT IT (Instrumental),198000.0,FTISLAND,You Are My Life,,,JP,2013-03-27,,FTISLAND
beautiful,294000.0,FTISLAND,beautiful,,,JP,2014-01-22,,FTISLAND
Beautiful,291000.0,FTISLAND,ALL ABOUT,,,KR,2014-10-02,,FTISLAND
beautiful,293000.0,FTISLAND,10th Anniversary ALL TIME BEST / Yellow [2010–2020],,,XW,2020-05-20,,FTISLAND
Beautiful,191586.0,FTISLAND,LOCK UP,,,XW,2021-12-10,,FTISLAND
beautiful (Instrumental),293000.0,FTISLAND,beautiful,,,JP,2014-01-22,,FTISLAND
Beautiful World,272000.0,FTISLAND,Polar Star,,,JP,2012-11-28,,FTISLAND
Beautiful World,269000.0,FTISLAND,RATED-FT,,,JP,2013-06-12,,FTISLAND
Beautiful World (Acoustic Live from「Polar Star」Release Event),,FTISLAND,You Are My Life,,,JP,2013-03-27,,FTISLAND
Beloved,270000.0,FTISLAND,TOP SECRET,,,JP,2012-08-08,,FTISLAND
Beloved,269000.0,FTISLAND,RATED-FT,,,JP,2013-06-12,,FTISLAND
Beloved,267000.0,FTISLAND,ALL ABOUT,,,KR,2014-10-02,,FTISLAND
Black Chocolate,206000.0,FTISLAND,RATED-FT,,,JP,2013-06-12,,FTISLAND
Black Chocolate,204000.0,FTISLAND,I WILL,,,KR,2015-03-23,,FTISLAND
Bones,196986.0,FTISLAND,LOCK UP,,,XW,2021-12-10,,FTISLAND
Boom Boom Boom,221000.0,FTISLAND,So today...,,,JP,2010-11-17,,FTISLAND
Boom Boom Boom,219000.0,FTISLAND,FIVE TREASURE ISLAND,,,JP,2011-05-18,,FTISLAND
Boom Boom Boom (Mezamashi Live 2012),,FTISLAND,Polar Star,,,JP,2012-11-28,,FTISLAND
