title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Hell's Party,70333.0,Glam,Turn Up the Bass Megamix 1993,,,NL,1993,,GLAM
Hell's Party,110106.0,Glam,"House Party: The Ultimate Megamix, Part IV",,,FR,1993,,GLAM
Hell's Party,242000.0,Glam,"Techno Trax, Volume 8",,,DE,1993,,GLAM
Hell's Party,110106.0,Glam,House Party VI: The Ultimate Megamix,,,NL,1993,,GLAM
Hell's Party,286000.0,Glam,"Techno Trax, Volume 8",,,DE,1993,,GLAM
Hell's Party,183000.0,Glam,Deejay Parade Volume 1,,,IT,1993,,GLAM
Hell's Party,,Glam,Radio 538 Presents Van Diepen's Dance Department,,,NL,1993,,GLAM
Hell's Party,369000.0,Glam,Roadkill! 1.07,,,US,1993,,GLAM
Hell's Party,225000.0,Glam,The Power Selection,,,IT,1993,,GLAM
Hell's Party,416000.0,Glam,Dance Mania 95,,,PT,1995,,GLAM
Hell's Party,175000.0,Glam,Dance 100 The Best Of The Best,,,NL,1998,,GLAM
Hell's Party,234000.0,Glam,Clubtrance 2,,,NL,1998,,GLAM
Hell's Party,324093.0,Glam,"The World of Rave Parades, Volume 2",,,US,2000-05-01,,GLAM
Hell's Party,395133.0,Glam,Bouncin' Back 2: The Anthems,,,GB,2003-01-27,,GLAM
Hell's Party,105000.0,Glam,ID&T Classics - The Megamixes II,,,NL,2005-03,,GLAM
Hell's Party,255000.0,Glam,House Classics Top 100,,,NL,2006,,GLAM
Hell's Party,328946.0,Glam,The Hitman and Her,,,GB,2006-11-20,,GLAM
Hell's Party,255000.0,Glam,History of Dance 14: The House Edition,,,NL,2006-12-01,,GLAM
Hell's Party (Bump (Club Mix)),487000.0,Glam,Hell's Party,,,GB,1993,,GLAM
Hell's Party (Bump House Dub),337000.0,Glam,Hell's Party,,,GB,1993,,GLAM
Hell's Party (Bump House Mix),,Glam,Hell's Party,,,US,1993,,GLAM
Hell's Party (Bump House dub),,Glam,Hell's Party,,,GB,1992,,GLAM
Hell's Party (Bump club mix),487000.0,Glam,Hell's Party,,,GB,1992,,GLAM
Hell's Party (Bump dub),,Glam,Hell's Party,,,GB,1992,,GLAM
Hell's Party (DJ Ricci & DFC Team mix),344626.0,Glam,"Art'core: Trippin' on Techno, Trance and Rave",,,US,1994,,GLAM
Hell's Party (DJ Ricci & DFC Team mix),225880.0,Glam,Rave Anthems: The Best Old Skool Rave & Warehouse Classics,,,GB,2001-11-26,,GLAM
Hell's Party (DJ Ricci & DFC Team mix),417000.0,Glam,Maquina Total (Lo + Duro de los 90),,,ES,2014-07-21,,GLAM
Hell's Party (DJ Ricci mix),,Glam,"Rave Master Mixers, Volume 3 & 4",,,FR,1993,,GLAM
Hell's Party (DJ Ricci mix),307360.0,Glam,Mega Dance 93,,,NL,1993-07,,GLAM
Hell's Party (DJ Ricci mix),360000.0,Glam,Hi-Nrg,,,AU,1994,,GLAM
Hell's Party (DJ Ricci mix),358000.0,Glam,"Italo House (The 12"" Mixes)",,,DE,1994,,GLAM
Hell's Party (Disco Ital Mix),322000.0,Glam,Hell's Party,,,GB,1993,,GLAM
Hell's Party (Disco Remix),320000.0,Glam,Hell's Party,,,US,1993,,GLAM
Hell's Party (Herbie's remix),,Glam,Hell's Party,,,GB,1992,,GLAM
Hell's Party (Herbies Remix),358000.0,Glam,Hell's Party,,,GB,1993,,GLAM
"Hell's Party (Original (7"" Edit))",210000.0,Glam,Hell's Party,,,GB,1993,,GLAM
"Hell's Party (Original 12"")",420000.0,Glam,Hell's Party,,,GB,1993,,GLAM
Hell's Party (Progressive Version),356000.0,Glam,Hell's Party,,,US,1993,,GLAM
Hell's Party (RJ Ricci & DFC Team mix),242960.0,Glam,"The 12"" Mixes",,,DE,1995,,GLAM
Hell's Party (Vincent De Moore radio edit),212280.0,Glam,"Wild, Volume 4",,,AU,1998,,GLAM
Hell's Party (disco Ital mix),,Glam,Hell's Party,,,GB,1992,,GLAM
Hell's Party (remix),226000.0,Glam,Trance Dance Compilation,,,IT,1993,,GLAM
Hells Party,292333.0,Glam,Turn Up the Bass 25,,,NL,1993,,GLAM
Hells Party,414960.0,Glam,Handraiser,,,US,1994,,GLAM
Hells Party,181333.0,Glam,The Ultimate Oldschool Top 100,,,NL,2005,,GLAM
Hells Party (DJ Ricci mix),190000.0,Glam,"A Retrospective of House 91'-95', Volume One",,,GB,1995-07-24,,GLAM
Hells Party (original club mix),237000.0,Glam,Italian House Collection 89-95,,,GB,1996,,GLAM
Hells Party (original mix),416000.0,Glam,"Classic Beats, V.13",,,GB,2001,,GLAM
Hell’s Party,37773.0,Glam,Dance Computer The Full 1993 Megamix 1,,,BE,1993,,GLAM
Hell’s Party,33400.0,Glam,Dance Computer: The Full 1993 Megamix 1,,,BE,1993,,GLAM
Hell’s Party,,Glam,Serious Beats: Summer Party Mix 93,,,BE,1993,,GLAM
Hell’s Party,208628.0,Glam,Braun MTV Eurochart: September 1993,,,NL,1993-09,,GLAM
Hell’s Party,133066.0,Glam,Hit Mix ’94,,,DE,1994,,GLAM
Hell’s Party,179546.0,Glam,Ministry of Sound: Rave Anthems 1990–1996,,,AU,2009-02-14,,GLAM
Hell’s Party (DJ Ricci & DFC Team mix),417000.0,Glam,Hell's Party,,,US,1993,,GLAM
Hell’s Party (DJ Ricci & DFC Team mix),239000.0,Glam,Serious Beats Vol. 8,,,BE,1993,,GLAM
Hell’s Party (DJ Ricci mix),358000.0,Glam,Hell's Party,,,US,1993,,GLAM
Hell’s Party (Dj Ricci & Dfc Team mix),416000.0,Glam,"DJ Selection 35: The Best of 90's, Volume 6",,,IT,2005-01-28,,GLAM
Hell’s Party (original club mix),209266.0,Glam,Hell's Party,,,GB,1992,,GLAM
Hell’s Party (original club mix),207000.0,Glam,No Repetitive Beats: Clause 58 Government Criminal Justice Bill,,,GB,1995-01-30,,GLAM
Hell’s Party (radio edit),242000.0,Glam,Blanco y Negro 83:13,,,ES,2013-11,,GLAM
Hell’s Party (remix),223000.0,Glam,Move the House 8,,,NL,1993,,GLAM
Hell’s Party (single cut),241000.0,Glam,Hell’s Party,,,DE,1993,,GLAM
Hell’s Party Remix (disco version),320000.0,Glam,Hell’s Party,,,DE,1993,,GLAM
More Than Ever,329840.0,Glam,"Italo 2000 Rarities, Volume 2",,,DE,1999-04-19,,GLAM
My Mother Said,160000.0,Glam,The Party Selection,,,IT,1992,,GLAM
My Mother Said (Cosmic Trance Mix),410000.0,Glam,Planet Love Vol. One - Early Transmissions 1991-1995,,,NL,2021-06,,GLAM
My Mother Said (Cosmic Trance Mix),410733.0,Glam,Planet Love Vol. 1 - Early Transmissions 1991-95,,,XW,2021-06-14,,GLAM
My Mother Said (Wild Techno remix),268533.0,Glam,Reactivate 6: Trance Europa,,,GB,1992,,GLAM
Sex Drive,199840.0,Glam,The Dance Cycle,,,CA,1994,,GLAM
Sex Drive,225666.0,Glam,"Satanika Compilation, Volume 3",,,IT,1994,,GLAM
Sex Drive,269266.0,"Glam, Pete Burns",Hi-Nrg,,,AU,1994,,GLAM
Sex Drive,268370.0,"Glam, Pete Burns",Energy Rush: Eurodance Hits 94,,,ZA,1994,,GLAM
Sex Drive,309840.0,"Glam, Pete Burns","Pronto Pronto, Volume 3",,,GB,1994,,GLAM
Sex Drive,192000.0,"Glam, Pete Burns","Deejay Parade, Volume 4",,,IT,1994,,GLAM
Sex Drive,152066.0,"Glam, Pete Burns","Les Nuits Trance, Volume 2",,,FR,1994,,GLAM
Sex Drive,212000.0,Glam,Yabba-Dabba-Dance!,,,NO,1994,,GLAM
Sex Drive,202000.0,"Glam, Pete Burns",Hot Hits Dance,,,IT,1994,,GLAM
Sex Drive,211106.0,Glam,538 Dance Smash Hits,,,NL,1994-06,,GLAM
Sex Drive,145000.0,"Glam, Pete Burns",Juliana’s Tokyo Legend,,,JP,1994-12-16,,GLAM
Sex Drive,275266.0,"Glam, Pete Burns",Euromix 3,,,CA,1996-10-30,,GLAM
Sex Drive,311946.0,"Glam, Pete Burns",Retro Disco,,,AU,1997-09-16,,GLAM
Sex Drive (A Cappella),93000.0,"Glam, Pete Burns",Sex Drive,,,XW,1994-01-01,,GLAM
Sex Drive (DJ Ricci hard mix),259000.0,"Glam, Pete Burns",Sex Drive,,,US,1994,,GLAM
Sex Drive (Dj Ricci Hard Mix),258000.0,"Glam, Pete Burns",Sex Drive,,,XW,1994-01-01,,GLAM
Sex Drive (Drivin' Instrumental Mix),264000.0,"Glam, Pete Burns",Sex Drive,,,XW,1994-01-01,,GLAM
Sex Drive (Glam Drivin' Mix),308000.0,"Glam, Pete Burns",Sex Drive,,,XW,1994-01-01,,GLAM
Sex Drive (Glam Drivin' mix),310000.0,"Glam, Pete Burns",Sex Drive,,,US,1994,,GLAM
Sex Drive (Glam Drivin' mix),308000.0,"Glam, Pete Burns",Wild: The Anthems,,,AU,1998,,GLAM
Sex Drive (Sexual Hard Mix),251000.0,"Glam, Pete Burns",Sex Drive,,,XW,1994-01-01,,GLAM
Sex Drive (Sexual Hard mix),253000.0,"Glam, Pete Burns",Invincible,,,GB,2020-11,,GLAM
Sex Drive (Sexual hard mix),252000.0,"Glam, Pete Burns",Sex Drive,,,US,1994,,GLAM
Sex Drive (a cappella),93960.0,"Glam, Pete Burns",Sex Drive,,,US,1994,,GLAM
Sex Drive (instrumental mix),265000.0,"Glam, Pete Burns",Sex Drive,,,US,1994,,GLAM
Sex Drive (single cut),268000.0,"Glam, Pete Burns",DJ Hits Vol. 12,,,BG,1994,,GLAM
Sex Drive (single cut),267000.0,"Glam, Pete Burns",Invincible,,,GB,2020-11,,GLAM
Sexdrive,271160.0,Glam,Club Europa,,,CA,1994,,GLAM
Sexdrive,271000.0,Glam,Club Europa,,,US,1994,,GLAM
Sexdrive,94400.0,Glam,"House Party 11: The Mellow Clubmix, the '94 Summer of Love Edition",,,NL,1994,,GLAM
Sexdrive (Parralox remix V2),326000.0,"Glam, Pete Burns",Sexdrive (Parralox remix V2),,,XW,2018-06-24,,GLAM
