title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Baby Steps,235000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
Dear Santa,238000,Girls' Generation-TTS,Dear Santa,,,KR,2015-11-29,,Girls' Generation-TTS
Dear Santa (English Ver.),238000,Girls' Generation-TTS,Dear Santa,,,KR,2015-11-29,,Girls' Generation-TTS
EYES,159000,Girls' Generation-TTS,Holler,,,KR,2014-09-12,,Girls' Generation-TTS
Holler,184000,Girls' Generation-TTS,Holler,,,KR,2014-09-12,,Girls' Generation-TTS
I Like the Way,191000,Girls' Generation-TTS,Dear Santa,,,KR,2015-11-29,,Girls' Generation-TTS
Library,242000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
Merry Christmas,223000,Girls' Generation-TTS,Dear Santa,,,KR,2015-11-29,,Girls' Generation-TTS
Message From Girls' Generation-TTS,459000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
OMG (Oh My God),204000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
Only U,218000,Girls' Generation-TTS,Holler,,,KR,2014-09-12,,Girls' Generation-TTS
Stay,212000,Girls' Generation-TTS,Holler,,,KR,2014-09-12,,Girls' Generation-TTS
Twinkle,206000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
겨울을 닮은 너 (Winter Story),202000,Girls' Generation-TTS,Dear Santa,,,KR,2015-11-29,,Girls' Generation-TTS
내가 네게 (Whisper),219000,Girls' Generation-TTS,Holler,,,KR,2014-09-12,,Girls' Generation-TTS
아드레날린 (Adrenaline),210000,Girls' Generation-TTS,Holler,,,KR,2014-09-12,,Girls' Generation-TTS
"안녕 (Good-bye, Hello)",231000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
처음이었죠 (Love Sick),205000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
첫눈처럼 (First Snow),193000,Girls' Generation-TTS,Dear Santa,,,KR,2015-11-29,,Girls' Generation-TTS
체크메이트 (Checkmate),206000,Girls' Generation-TTS,Twinkle,,,US,2012-04-29,,Girls' Generation-TTS
