title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
7989,213000.0,Girls’ Generation,Girls' Generation,,,KR,2007-11-01,,Girls’ Generation
ALL MY LOVE IS FOR YOU,223000.0,Girls’ Generation,Girls’ Generation 2 -Girls & Peace-,,,JP,2012-01-01,,Girls’ Generation
ALL MY LOVE IS FOR YOU (Music Video Look Back),,Girls’ Generation,THE BEST,,,JP,2014-07-23,,Girls’ Generation
ALL MY LOVE IS FOR YOU (Music Video) [Japanese ver.],248000.0,Girls’ Generation,THE BEST,,,JP,2014-07-23,,Girls’ Generation
ALL MY LOVE IS FOR YOU [Music Video],,Girls’ Generation,Oh!,,,JP,2012-09-26,,Girls’ Generation
All Night,222000.0,Girls’ Generation,Holiday Night,,,KR,2017-08-04,,Girls’ Generation
Animal,188000.0,Girls’ Generation,Girls’ Generation 2 -Girls & Peace-,,,JP,2012-01-01,,Girls’ Generation
Animal,188000.0,Girls’ Generation,BEST SELECTION NON STOP MIX,,,JP,2013-03-20,,Girls’ Generation
Baby Baby,192000.0,Girls’ Generation,Girls' Generation,,,KR,2007-11-01,,Girls’ Generation
BABY BABY,191000.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Girls’ Generation
Baby Maybe,204000.0,Girls’ Generation,I Got a Boy,,,KR,2013-01-01,,Girls’ Generation
BAD GIRL,224000.0,Girls’ Generation,GIRLS’ GENERATION,,,JP,2011-06-01,,Girls’ Generation
BAD GIRL,239000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,Girls’ Generation
BAD GIRL,275000.0,Girls’ Generation,BEST SELECTION NON STOP MIX,,,JP,2013-03-20,,Girls’ Generation
Bad Girl,292000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,Girls’ Generation
BAD GIRL (Music Video Look Back),,Girls’ Generation,THE BEST,,,JP,2014-07-23,,Girls’ Generation
BAD GIRL (Music Video) [Japanese ver.],246000.0,Girls’ Generation,THE BEST,,,JP,2014-07-23,,Girls’ Generation
BAD GIRL (The Cataracs remix),275000.0,"Girls’ Generation, DEV",Re:package Album “GIRLS' GENERATION” ~The Boys~,,,,2011-12-28,,Girls’ Generation
Be Happy,210000.0,Girls’ Generation,Run Devil Run: The 2nd Album Repackage,,,XW,2010-03-22,,Girls’ Generation
BEAUTIFUL GIRLS,238000.0,"Girls’ Generation, 유영진",Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Girls’ Generation
Beautiful Stranger,163000.0,Girls’ Generation,GIRLS’ GENERATION,,,JP,2011-06-01,,Girls’ Generation
Beautiful Stranger,210000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,Girls’ Generation
Beautiful Stranger,211000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,Girls’ Generation
BEEP BEEP,200000.0,Girls’ Generation,FLOWER POWER,,,JP,2012-11-21,,Girls’ Generation
BEEP BEEP (Music Video) [Japanese ver.],220000.0,Girls’ Generation,LOVE&PEACE,,,JP,2013-12-11,,Girls’ Generation
Beginning,183000.0,Girls’ Generation,다시 만난 세계 (Into the new world),,,KR,2007-08-02,,Girls’ Generation
BEGINNING,214880.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Girls’ Generation
Behind The Scenes Of Girls' Generation,,Girls’ Generation,Visual Dreams,,,KR,2011,,Girls’ Generation
blue jeans,207000.0,Girls’ Generation,LOVE&PEACE,,,JP,2013-12-11,,Girls’ Generation
BOOMERANG,171000.0,Girls’ Generation,Girls’ Generation 2 -Girls & Peace-,,,JP,2012-01-01,,Girls’ Generation
BOOMERANG,171000.0,Girls’ Generation,BEST SELECTION NON STOP MIX,,,JP,2013-03-20,,Girls’ Generation
BORN TO BE A LADY,236000.0,Girls’ Generation,GIRLS’ GENERATION,,,JP,2011-06-01,,Girls’ Generation
BORN TO BE A LADY,336000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,Girls’ Generation
Boys & Girls,226000.0,Girls’ Generation,Run Devil Run: The 2nd Album Repackage,,,XW,2010-03-22,,Girls’ Generation
Cabi Song,193000.0,"Girls’ Generation, 2PM",Cabi Song,,,KR,2010-05-20,,Girls’ Generation
Catch Me If You Can,225000.0,Girls’ Generation,Catch Me If You Can,,,KR,2015-04-10,,Girls’ Generation
Catch Me If You Can,229000.0,Girls’ Generation,Catch Me If You Can,,,JP,2015-04-22,,Girls’ Generation
Catch Me If You Can (Music Video),224000.0,Girls’ Generation,Catch Me If You Can,,,JP,2015-04-22,,Girls’ Generation
Catch Me If You Can (music video),262000.0,Girls’ Generation,Catch Me If You Can,,,JP,2015-04-22,,Girls’ Generation
Catch Me If You Can (without vocal tracks),226000.0,Girls’ Generation,Catch Me If You Can,,,JP,2015-04-22,,Girls’ Generation
Chain Reaction,186000.0,Girls’ Generation,THE BEST,,,JP,2014-08-06,,Girls’ Generation
Cheap Creeper,181426.0,Girls’ Generation,Make Your Move,,,US,2014-04-07,,Girls’ Generation
Check,206960.0,Girls’ Generation,PARTY,,,XW,2015-07-07,,Girls’ Generation
CHOCOLATE LOVE,223426.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Girls’ Generation
Chocolate Love (Retro Pop Ver.),221000.0,Girls’ Generation,Chocolate Love,,,KR,2009-10-07,,Girls’ Generation
Closer,238053.0,Girls’ Generation,FOREVER 1,,,KR,2022-08-05,,Girls’ Generation
Complete,237000.0,Girls’ Generation,Girls' Generation,,,KR,2007-11-01,,Girls’ Generation
COMPLETE,236000.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Girls’ Generation
Complete,329000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,Girls’ Generation
Complete,237000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,Girls’ Generation
Dancing Queen,215000.0,Girls’ Generation,Dancing Queen,,,XW,2012-12-21,,Girls’ Generation
Danny Boy,230000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,Girls’ Generation
Danny Boy,229000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,Girls’ Generation
Dear. Mom,245693.0,Girls’ Generation,Gee,,,KR,2009-01-05,,Girls’ Generation
DEAR. MOM,279733.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Girls’ Generation
Destiny,205906.0,Girls’ Generation,Gee,,,KR,2009-01-05,,Girls’ Generation
Devil's Cry,129000.0,Girls’ Generation,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,Girls’ Generation
Diamond,198000.0,Girls’ Generation,2011 SMTOWN Winter ’The Warmest Gift’,,,XW,2011-12-13,,Girls’ Generation
DIVINE,250000.0,Girls’ Generation,DIVINE,,,JP,2014-10-01,,Girls’ Generation
DIVINE,257000.0,Girls’ Generation,THE BEST (New Edition),,,JP,2014-10-15,,Girls’ Generation
DO THE CATWALK,241000.0,Girls’ Generation,GALAXY SUPERNOVA,,,JP,2013-09-18,,Girls’ Generation
Echo,211093.0,Girls’ Generation,Run Devil Run,,,KR,2010-03-22,,Girls’ Generation
Etude,193000.0,Girls’ Generation,Genie - The Second Mini Album,,,XW,2009-06-25,,Girls’ Generation
ETUDE,184040.0,Girls’ Generation,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Girls’ Generation
ETUDE,199000.0,Girls’ Generation,JAPAN FIRST TOUR GIRLS' GENERATION,,,JP,2011-12-14,,Girls’ Generation
Everyday Love,210000.0,Girls’ Generation,LOVE&PEACE,,,JP,2013-12-11,,Girls’ Generation
