recording_id,title,release_date,query_artist_name,retrieved_artist_name
00630d13-9400-4224-82ef-2687f0e372b2,Flip Flap,2022-08-03,Hangzoo,Hangzoo
231094af-4bef-4e92-983f-8bf34bd659ad,Cart (radio edit),2019-07-09,Hangzoo,Hangzoo
2b0c97f4-97e3-4772-ab2b-34044ee6c025,CODE CLEAR,2021-01-14,Hangzoo,Hangzoo
42915c5f-6c0e-40e6-bba6-ab40b69f9c06,"그녀는 (Feat. 정인, 최자 Of Dynamic Duo, 행주 & 지구인 Of 리듬파워)",2015-06-05,Hangzoo,Hangzoo
48ec8e93-209d-4b0f-82fd-0ce4e53b8c01,쿠키영상,2021-12-04,Hangzoo,Hangzoo
5750373b-0d13-4f11-b0ca-00f48a24432f,Cart,2019-07-09,Hangzoo,Hangzoo
5e19064b-6d7d-49f2-a379-47b1dabb3692,그녀는 (She),2015-08-12,Hangzoo,Hangzoo
67a53450-e139-48dc-91c7-8ae864c7d288,Skit 승차거부 (Passenger Refusal),2015-08-25,Hangzoo,Hangzoo
791306b0-b100-4483-b9c0-6f0a86c6fa7f,Skit 해태 타이거즈 (HAITAI Tigers),2015-08-25,Hangzoo,Hangzoo
7edd79d9-4da9-4421-bb25-c39297c45ce9,Time's Up,2014-04-07,Hangzoo,Hangzoo
7f0a350f-59ad-47ef-8117-cefe6eb35059,BestDriver,2015-08-25,Hangzoo,Hangzoo
8bb8a0af-2864-444f-93ec-6d29ba28dcaf,Promise (from A Drive_File 01),2020-03-15,Hangzoo,Hangzoo
8d4a20a5-7e72-4f27-a1cc-a940922e824e,Directors,2017-09-15,Hangzoo,Hangzoo
8fb3fcf5-bd3a-4088-aabc-8793dd6e1d59,KINGS' CYPHER,2020-07-27,Hangzoo,Hangzoo
9f230350-6068-44aa-b051-b0708a921e0b,일방통행 (One-Way),2015-08-25,Hangzoo,Hangzoo
ba5053ea-47d2-4252-b574-469fbc08bd23,싸워 (Fight),2015-08-25,Hangzoo,Hangzoo
bc9c845f-3909-4a07-b5e7-793682924d49,MAGMA,2019-09-21,Hangzoo,Hangzoo
c3989917-f419-4b8c-ac0c-899a79a17349,진입금지 (Do Not Enter),2015-08-25,Hangzoo,Hangzoo
c5e8655f-030f-4e39-8eb3-b1ab2947c27e,유능제강 (Judo Spirit),2015-08-25,Hangzoo,Hangzoo
cbc901d7-e785-4564-800e-ef6efe6780ab,복수의 칼 2 (Mr. Vengeance Part.2),2014-10-17,Hangzoo,Hangzoo
d449cb7e-6d49-4bab-b9aa-ed32b331682f,Tech Fleece Freestyle,2022-05-18,Hangzoo,Hangzoo
d5b27c40-11d4-4f59-80a1-8faec14525e4,에프킬라 (F.Killer),2015-08-25,Hangzoo,Hangzoo
d671c2af-7f1c-4ca6-b7a8-13d2d00aa640,119 REMIX,2018-12-02,Hangzoo,Hangzoo
e0dc778a-68fc-4abe-8129-addb20c37c4b,SOLOPLAY,2020-11-19,Hangzoo,Hangzoo
e3f6cd19-b084-4a76-be04-1292afb91398,거울 (Mirror),2015-08-25,Hangzoo,Hangzoo
