title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
All My Life,206093,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
Alone,183613,Highlight,AFTER SUNSET,,,XW,2022-11-07,,Highlight
BODY,192240,Highlight,Switch On,,,,2024-03-11,,Highlight
CALLING YOU,218000,Highlight,CALLING YOU,,,KR,2017-05-29,,Highlight
CAN YOU FEEL IT?,187000,Highlight,Can You Feel It?,,,XW,2017-03-20,,Highlight
CELEBRATE,189000,Highlight,Celebrate,,,US,2017-10-16,,Highlight
Classic,222626,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
DAYDREAM,193880,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
Disconnected,190826,Highlight,The Blowing,,,KR,2021-05-03,,Highlight
Don't Leave,188853,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
Feel Your Love (48.6Hertz),187626,Highlight,Switch On,,,,2024-03-11,,Highlight
Give You My All,165266,Highlight,Give You My All,,,XW,2023-10-16,,Highlight
How to Love,222506,Highlight,Switch On,,,,2024-03-11,,Highlight
I Don't Miss You,202413,Highlight,AFTER SUNSET,,,XW,2022-11-07,,Highlight
In My Head,167933,Highlight,Switch On,,,,2024-03-11,,Highlight
LOVE LIKE THIS,183000,Highlight,Celebrate,,,US,2017-10-16,,Highlight
Lovely Day,188106,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
Night Fog,158200,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
Our Eyes,207266,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
PAPER CUT,195786,Highlight,AFTER SUNSET,,,XW,2022-11-07,,Highlight
PLAY,186520,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
PRIVACY,182160,Highlight,AFTER SUNSET,,,XW,2022-11-07,,Highlight
S.I.L.Y (Say I Love You),183533,Highlight,AFTER SUNSET,,,XW,2022-11-07,,Highlight
SLEEP TIGHT,204000,Highlight,CALLING YOU,,,KR,2017-05-29,,Highlight
Seven Wonders,189600,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
Surf,197720,Highlight,The Blowing,,,KR,2021-05-03,,Highlight
Switch On,193186,Highlight,Switch On,,,,2024-03-11,,Highlight
TAKE ON ME,206000,Highlight,Celebrate,,,US,2017-10-16,,Highlight
WAVE,210400,Highlight,The Blowing,,,KR,2021-05-03,,Highlight
WHO AM I,210000,Highlight,Celebrate,,,US,2017-10-16,,Highlight
Whatever,198986,Highlight,DAYDREAM,,,XW,2022-03-21,,Highlight
내버려 둬,199000,Highlight,OUTRO,,,KR,2018-11-20,,Highlight
미안,221040,Highlight,The Blowing,,,KR,2021-05-03,,Highlight
바람,191000,Highlight,OUTRO,,,KR,2018-11-20,,Highlight
밤이야,188200,Highlight,The Blowing,,,KR,2021-05-03,,Highlight
불어온다,218253,Highlight,The Blowing,,,KR,2021-05-03,,Highlight
사랑했나봐,214000,Highlight,OUTRO,,,KR,2018-11-20,,Highlight
사랑했나봐 (inst.),214000,Highlight,OUTRO,,,KR,2018-11-20,,Highlight
시작,222000,Highlight,Can You Feel It?,,,XW,2017-03-20,,Highlight
아름답다,224000,Highlight,It's Still Beautiful,,,XW,2017-03-13,,Highlight
어쩔 수 없지 뭐,179000,Highlight,Celebrate,,,US,2017-10-16,,Highlight
어쩔 수 없지 뭐 (inst.),179000,Highlight,Celebrate,,,US,2017-10-16,,Highlight
얼굴 찌푸리지 말아요,196000,Highlight,Can You Feel It?,,,XW,2017-03-20,,Highlight
얼굴 찌푸리지 말아요 (inst.),196000,Highlight,Can You Feel It?,,,XW,2017-03-20,,Highlight
오늘같은 밤이면,205000,Highlight,OUTRO,,,KR,2018-11-20,,Highlight
위험해,254000,Highlight,Can You Feel It?,,,XW,2017-03-20,,Highlight
잘 지내줘,218000,Highlight,Take Care,,,US,2018-10-29,,Highlight
