title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
24時間,317000.0,INFINITE,24時間,,,JP,2015-04-29,,INFINITE
3분의 1,204000.0,INFINITE,Over The Top,,,KR,2011-07-21,,INFINITE
After Dark,210186.0,INFINITE,Air,,,XW,2017-05-24,,INFINITE
AIR,222000.0,INFINITE,INFINITE ONLY,,,KR,2016-09-19,,INFINITE
Amazing,207000.0,INFINITE,Over The Top,,,KR,2011-07-21,,INFINITE
Back,234000.0,INFINITE,Be Back,,,KR,2014-07-22,,INFINITE
Bad,216000.0,INFINITE,Reality,,,KR,2015-07-13,,INFINITE
Be Mine,206000.0,INFINITE,Be Mine,,,JP,2012-04-18,,INFINITE
Beautiful,206787.0,INFINITE,New Challenge,,,KR,2013-03-21,,INFINITE
Begin,90000.0,INFINITE,Top Seed,,,US,2018-01-08,,INFINITE
Betting,79000.0,INFINITE,Reality,,,KR,2015-07-13,,INFINITE
Between me&you,257000.0,INFINITE,For You,,,JP,2015-12-16,,INFINITE
BTD (Before The Dawn),184000.0,INFINITE,Evolution,,,KR,2011-01-06,,INFINITE
Can U Smile,195000.0,INFINITE,Evolution,,,KR,2011-01-06,,INFINITE
Can't Get Over You,310000.0,INFINITE,For You,,,JP,2015-12-16,,INFINITE
Cover Girl,197000.0,INFINITE,Paradise,,,KR,2011-09-26,,INFINITE
D.N.A,223000.0,INFINITE,BEST OF INFINITE,,,JP,2016-08-31,,INFINITE
Daydream (Sung Kyu solo),,INFINITE,INFINITE EFFECT ADVANCE LIVE,,,KR,2016-11-11,,INFINITE
Destiny,233000.0,INFINITE,Destiny,,,KR,2013-07-16,,INFINITE
Diamond,232000.0,INFINITE,Be Back,,,KR,2014-07-22,,INFINITE
Dilemma,260000.0,INFINITE,Dilemma,,,JP,2014-12-24,,INFINITE
Eternity,96000.0,INFINITE,INFINITE ONLY,,,KR,2016-09-19,,INFINITE
Find Me,197000.0,INFINITE,13egin,,,KR,2023-07-31,,INFINITE
Fly Again (Dong Woo solo),,INFINITE,INFINITE EFFECT ADVANCE LIVE,,,KR,2016-11-11,,INFINITE
Follow Me,207000.0,INFINITE,Season 2,,,KR,2014-05-21,,INFINITE
For You,194000.0,INFINITE,For You,,,JP,2015-12-16,,INFINITE
Hysterie,181000.0,INFINITE,Evolution,,,KR,2011-01-06,,INFINITE
I Got You,214000.0,INFINITE,13egin,,,KR,2023-07-31,,INFINITE
I Hate,219000.0,INFINITE,Top Seed,,,US,2018-01-08,,INFINITE
Inception,211000.0,INFINITE,Destiny,,,KR,2013-07-16,,INFINITE
INFINITE EFFECT ADVANCE Making Film,,INFINITE,INFINITE EFFECT ADVANCE LIVE,,,KR,2016-11-11,,INFINITE
Infinitize,56000.0,INFINITE,INFINITIZE,,,KR,2012-05-15,,INFINITE
INTRO,,INFINITE,INFINITE EFFECT ADVANCE LIVE,,,KR,2016-11-11,,INFINITE
Julia,211000.0,INFINITE,Over The Top,,,KR,2011-07-21,,INFINITE
