title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1+1,215000.0,KARA,Full Bloom,,,KR,2013-09-02,,KARA
2Me (Inst.),209000.0,KARA,We Online Part2,,,KR,2010-08-31,,KARA
2Me (MV ver.),209000.0,KARA,We Online Part2,,,KR,2010-08-31,,KARA
2Me (투미),209000.0,KARA,We Online Part2,,,KR,2010-08-31,,KARA
2Night,186000.0,KARA,Full Bloom,,,KR,2013-09-02,,KARA
AHA,199000.0,KARA,KARA BEST 2007-2010,,,JP,2010-09-29,,KARA
Aha,200000.0,KARA,Revolution,,,KR,2009-07-30,,KARA
Baby Boy,229000.0,KARA,KARA 1st,,,,2008-07-25,,KARA
Beautiful Night,205946.0,KARA,バイバイ ハッピーデイズ!,,,JP,2013-03-27,,KARA
Behind the Scenes of “WHEN I MOVE” Video Shooting,,KARA,MOVE AGAIN,,,JP,2022-12-21,,KARA
Binks,195026.0,KARA,Jumping,,,KR,2010-11-10,,KARA
Break It,195000.0,KARA,Blooming,,,,2007-03-29,,KARA
Break It,198000.0,KARA,KARA BEST 2007-2010,,,JP,2010-09-29,,KARA
Break It (Instrumental),197000.0,KARA,Blooming,,,,2007-03-29,,KARA
Burn,211373.0,KARA,Jumping,,,KR,2010-11-10,,KARA
Burn,211460.0,KARA,Hits! Hits!,,,,2012-05-01,,KARA
CUPID,205000.0,KARA,In Love,,,KR,2015-05-26,,KARA
Cupid,213000.0,KARA,Cupid,,,,2015-05-22,,KARA
DATE(MY BOY),205000.0,KARA,STEP,,,KR,2011-09-05,,KARA
Do it!　Do it!,238000.0,KARA,Super Girl,,,,2011-01-01,,KARA
Don't Hurry (Bonus Track),,KARA,マンマミーア！【初回盤C】,,,JP,2014-08-27,,KARA
Don't Be Shy,234000.0,KARA,Blooming,,,,2007-03-29,,KARA
Dreamlover,209000.0,KARA,In Love,,,KR,2015-05-26,,KARA
EY! OH! (Intro),64000.0,KARA,STEP,,,KR,2011-09-05,,KARA
Follow Me,190000.0,KARA,Full Bloom,,,KR,2013-09-02,,KARA
Forever Love,226000.0,KARA,Girl's Story,,,JP,2015-06-17,,KARA
GO GO サマー!,203653.0,KARA,GO GO サマー!,,,JP,2011-06-29,,KARA
GO GO サマー! (Instrumental),203506.0,KARA,GO GO サマー!,,,JP,2011-06-29,,KARA
GO GO サマー! 2012,204000.0,KARA,Kara Collection,,,JP,2012-09-05,,KARA
GO GO サマー! 2012,,KARA,ガールズ フォーエバー,,,JP,2012-11-14,,KARA
GO GO サマー! 2012 (instrumental),201000.0,KARA,Kara Collection,,,JP,2012-09-05,,KARA
