title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Rain,257000.0,KWON EUNBI,OPEN,,,XW,2021-08-24,,KWON EUNBI
Rain,257000.0,KWON EUNBI,OPEN,,,XW,2021-08-21,,KWON EUNBI
OPEN,58000.0,KWON EUNBI,OPEN,,,XW,2021-08-21,,KWON EUNBI
Beautiful Night,199000.0,KWON EUNBI,The Flash,,,KR,2023-08-02,,KWON EUNBI
Oh My Boy,183000.0,KWON EUNBI,Oh My Boy,,,XW,2022-06-28,,KWON EUNBI
TIME,199000.0,KWON EUNBI,Rookie Cops (Original Television Soundtrack) Pt. 4,,,,2022-02-23,,KWON EUNBI
Amigo (feat. BabySoul of Lovelyz),210000.0,KWON EUNBI,OPEN,,,XW,2021-08-21,,KWON EUNBI
Blue Eyes,198000.0,KWON EUNBI,OPEN,,,XW,2021-08-21,,KWON EUNBI
I'll Be Your Energy,191000.0,KWON EUNBI,EPIC SEVEN (Original Soundtrack) 'Energetic',,,XW,2022-01-18,,KWON EUNBI
Colors,219101.0,KWON EUNBI,Color,,,AF,2022-04-04,,KWON EUNBI
Comet,188920.0,KWON EUNBI,The Flash,,,KR,2023-08-02,,KWON EUNBI
The Flash,213533.0,KWON EUNBI,The Flash,,,KR,2023-08-02,,KWON EUNBI
Like Heaven,209440.0,KWON EUNBI,Like Heaven,,,,2023-10-24,,KWON EUNBI
TIME,,KWON EUNBI,너와 나의 경찰수업 OST Part.4,,,KR,2022-02-23,,KWON EUNBI
MIRROR,,KWON EUNBI,MIRROR,,,KR,2022-02-03,,KWON EUNBI
LIGHT KPOP Ctzen (Original Soundtrack),221000.0,KWON EUNBI,KPOP CTzen (Original Soundtrack),,,XW,2022-08-17,,KWON EUNBI
Glitch,224837.0,KWON EUNBI,Color,,,AF,2022-04-04,,KWON EUNBI
Underwater,171000.0,KWON EUNBI,Lethality,,,KR,2022-10-12,,KWON EUNBI
Amigo,210000.0,"KWON EUNBI, Lee Su Jeong",OPEN,,,XW,2021-08-24,,KWON EUNBI
MIRROR (inst.),,KWON EUNBI,MIRROR,,,KR,2022-02-03,,KWON EUNBI
I'll be your Energy (Inst.),,"KWON EUNBI, 高橋朱里",에픽세븐 OST 'Energetic',,,KR,2022-01-18,,KWON EUNBI
LIGHT KPOP Ctzen (Original Soundtrack) - Instrumental,221000.0,KWON EUNBI,KPOP CTzen (Original Soundtrack),,,XW,2022-08-17,,KWON EUNBI
WAVE,87000.0,KWON EUNBI,Lethality,,,KR,2022-10-12,,KWON EUNBI
I'll be your Energy,,"KWON EUNBI, 高橋朱里",에픽세븐 OST 'Energetic',,,KR,2022-01-18,,KWON EUNBI
The Colors of Light,82798.0,KWON EUNBI,Color,,,AF,2022-04-04,,KWON EUNBI
ESPER,193000.0,KWON EUNBI,ESPER,,,KR,2022-03-10,,KWON EUNBI
Simulation,191000.0,KWON EUNBI,Lethality,,,KR,2022-10-12,,KWON EUNBI
Eternity,203000.0,KWON EUNBI,OPEN,,,XW,2021-08-21,,KWON EUNBI
Like Heaven,209453.0,"KWON EUNBI, Paul Blanco",Like Heaven,,,,2023-10-24,,KWON EUNBI
I'll Be Your Energy - Instrumental,191000.0,KWON EUNBI,EPIC SEVEN (Original Soundtrack) 'Energetic',,,XW,2022-01-18,,KWON EUNBI
Oh My Boy (inst.),183000.0,KWON EUNBI,Oh My Boy,,,XW,2022-06-28,,KWON EUNBI
Eternity,203000.0,KWON EUNBI,OPEN,,,XW,2021-08-24,,KWON EUNBI
Blue Eyes,198000.0,KWON EUNBI,OPEN,,,XW,2021-08-24,,KWON EUNBI
Croquis,188000.0,KWON EUNBI,Lethality,,,KR,2022-10-12,,KWON EUNBI
OPEN,56000.0,KWON EUNBI,OPEN,,,XW,2021-08-24,,KWON EUNBI
Door,199000.0,KWON EUNBI,OPEN,,,XW,2021-08-21,,KWON EUNBI
TIME - Instrumental,199000.0,KWON EUNBI,Rookie Cops (Original Television Soundtrack) Pt. 4,,,,2022-02-23,,KWON EUNBI
Flash,199000.0,KWON EUNBI,Lethality,,,KR,2022-10-12,,KWON EUNBI
Magnetic,183067.0,KWON EUNBI,Color,,,AF,2022-04-04,,KWON EUNBI
OFF,192799.0,KWON EUNBI,Color,,,AF,2022-04-04,,KWON EUNBI
TIME (Inst.),,KWON EUNBI,너와 나의 경찰수업 OST Part.4,,,KR,2022-02-23,,KWON EUNBI
Hi,195000.0,KWON EUNBI,Lethality,,,KR,2022-10-12,,KWON EUNBI
Speed of Love,235350.0,KWON EUNBI,Color,,,AF,2022-04-04,,KWON EUNBI
ESPER,191000.0,KWON EUNBI,ESPER,,,XW,2022-03-10,,KWON EUNBI
Door,199000.0,KWON EUNBI,OPEN,,,XW,2021-08-24,,KWON EUNBI
