title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
撲殺天使ドクロちゃん - インスト,261120.0,Kei,テクノポップ☆アニメ,,,JP,2008-12-03,,Kei
Sayonara (SL Mix),,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
Come With Me (Electrik Pulse radio mix),193573.0,Kei,"100 Dance Workout Hits Techno, Electro, House, Trance Exercise and Aerobics Music",,,,,,Kei
Sa-Yo-Na-Ra (Secret Rough mix),172000.0,Kei,Buchiage♂Trance Presents Galser Trance,,,JP,2006-06-28,,Kei
撲殺天使ドクロちゃん,235760.0,Kei,テクノポップ☆アニメ,,,JP,2008-12-03,,Kei
Glitter (SP Show☆Hey? vs. Big Kiss Mix),,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
Get Wild,150000.0,Kei,姫トランス 4,,,JP,2010-01-27,,Kei
珍島物語,176000.0,Kei,演歌 Speed,,,JP,2013-05-29,,Kei
REALIZE(リアライズ)(CANON CRACKER REMIX),312000.0,Kei,ブチアゲ♂トランス・スペシャル,,,JP,2006-09-27,,Kei
撲殺天使ドクロちゃん - アカペラ,261176.0,Kei,テクノポップ☆アニメ,,,JP,2008-12-03,,Kei
うしろゆびさされ組,189000.0,"コントラバス子KEI, Kei",アニメイティーズ2 - Anime Hits in 80's Disco Style,,,JP,2012-11-28,,Kei
GLITTER,294000.0,Kei,ブチアゲ♂トランス・スペシャル,,,JP,2006-09-27,,Kei
Glitter,,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
居酒屋,181000.0,"Satsy, Kei",演歌 Speed,,,JP,2013-05-29,,Kei
タッチ,38000.0,Kei,アニメ★マニア,,,JP,2008-08-27,,Kei
鳥の詩,321626.0,"KM, Kei",テクノポップ☆アニメ,,,JP,2008-12-03,,Kei
か弱き十字架の愛,151747.0,Kei,武装神姫 BATTLEMASTERS Mk.2 ORIGINAL SOUNDTRACK,,,JP,2011-09-22,,Kei
ETERNAL BLAZE,127000.0,Kei,アニメイティーズ ANIME HITS in 80's DISCO STYLE,,,JP,2010-12-22,,Kei
Somebody's Voice,256000.0,Kei,姫トランス 4,,,JP,2010-01-27,,Kei
悲しみよこんにちは,134000.0,Kei,アニメイティーズ ANIME HITS in 80's DISCO STYLE,,,JP,2010-12-22,,Kei
Sayonara (DJ Ten Trance Mix),,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
Get Wild,,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
IRON FIST,,Kei,サンセイオリジナルソング アルバム2,,,JP,2018-05-09,,Kei
Sayonara (Album Version),,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
3年目の浮気,154000.0,"Satsy, Kei",演歌 Speed,,,JP,2013-05-29,,Kei
撲殺天使ドクロちゃん - フル,260516.0,Kei,テクノポップ☆アニメ,,,JP,2008-12-03,,Kei
はじめてのチュウ,161000.0,Kei,アニメイティーズ2 - Anime Hits in 80's Disco Style,,,JP,2012-11-28,,Kei
とまり木,125000.0,Kei,演歌 Speed,,,JP,2013-05-29,,Kei
B-Connected,335000.0,Kei,BALDR Vocal Collection,,,JP,2010-12-29,,Kei
Pride of Place,,Kei,サンセイオリジナルソング アルバム2,,,JP,2018-05-09,,Kei
タッチ,247000.0,Kei,アニメ★マニア,,,JP,2008-08-27,,Kei
God Knows...,241000.0,Kei,姫トラ Speed,,,JP,2008-07-30,,Kei
ムーンライト伝説,123000.0,Kei,アニメイティーズ ANIME HITS in 80's DISCO STYLE,,,JP,2010-12-22,,Kei
つぐない,167000.0,Kei,演歌 Speed,,,JP,2013-05-29,,Kei
愛・おぼえていますか,158000.0,Kei,アニメイティーズ ANIME HITS in 80's DISCO STYLE,,,JP,2010-12-22,,Kei
Glitter (Go-Euro Mix),,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
Precious Love,,Kei,Sayonara/Glitter,,,JP,2007-09-05,,Kei
