title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Another Dream (Kep1er ver.),201000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er
Attention,201000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er
Back to the City,200000.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er
Behind the Scenes (2023.5.20 国立代々木競技場 第一体育館 / 2023.6.11 神戸ワールド記念ホール ),,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er
Celebrate,201000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er
Cruise,199000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er
Curious,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
Daisy,176747.0,Kep1er,<FLY‐UP>,,,JP,2022-09-07,,Kep1er
Dear Diary,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
Don't Lose Your Smile,207000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er
Double Up!,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
Downtown,158000.0,Kep1er,TROUBLESHOOTER,,,KR,2022-10-13,,Kep1er
Dreams,202000.0,Kep1er,TROUBLESHOOTER,,,KR,2022-10-13,,Kep1er
"Flowers, Flutter, Your heart",,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
Galileo,188253.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er
Giddy,195000.0,Kep1er,Giddy,,,,2023-04-10,,Kep1er
Good Night,188000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er
Grand Prix,187000.0,Kep1er,Grand Prix,,,,2023-11-08,,Kep1er
Happy Ending,178173.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er
Highlight,213000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er
I do! Do you?,214827.0,Kep1er,I do! Do you?,,,,2023-02-22,,Kep1er
La Vie en Rose,361000.0,Kep1er,La Vie en Rose,,,XW,2022-09-15,,Kep1er
Last Carnival,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
LE VOYA9E,216000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er
Lion Tamer,182000.0,Kep1er,TROUBLESHOOTER,,,KR,2022-10-13,,Kep1er
Love on Lock,171373.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er
LVLY,199813.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er
MVSK,190000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er
O.O.O (Over & Over & Over) (Kep1er ver.),,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er
O.O.O (Over&Over&Over) (Kep1er ver.),247000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er
Pool Party (Rollin' right now),241000.0,Kep1er,<Queendom2> Part.2-2,,,XW,2022-04-22,,Kep1er
PROBLEM,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
PUSH BUTTON,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
RESCUE TAYO,149000.0,Kep1er,RESCUE TAYO,,,,2023-07-06,,Kep1er
Rewind,229000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er
See the Light,111000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er
Shine (Kep1er ver.),214000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er
Shooting Star,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er
Shut Down,185000.0,Kep1er,Shut Down,,,XW,2023-04-06,,Kep1er
Snake,,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er
Straight Line,165000.0,Kep1er,Straight Line,,,,2024-04-24,,Kep1er
Sugar,154000.0,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er
TAPE,171186.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er
The Door,181720.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er
THE GIRLS (Can't turn me down),238133.0,Kep1er,<Queendom2> FINAL,,,XW,2022-05-27,,Kep1er
tOgether fOrever,211533.0,Kep1er,<FLY‐BY>,,,,2023-03-15,,Kep1er
Tropical Light,182933.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er
U+Me=LOVE,,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er
Up!,192000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er
WA DA DA,183000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er
We Fresh,226000.0,Kep1er,We Fresh,,,,2022-10-13,,Kep1er
Why,181080.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er
Wing Wing,195000.0,Kep1er,Wing Wing,,,,2022-08-03,,Kep1er
「Kep1er Japan Debut Showcase Live＜FLY‐UP＞」,,Kep1er,<FLY‐BY>,,,JP,2023-03-15,,Kep1er
