title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Hold on,182000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
Hold on (inst.),182000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
MaMa Beat,197000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
MaMa Beat (inst.),197000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
Ready Set Go,210000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
Ready Set Go (inst.),210000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
못난놈이 웁니다,,LC9,우리가 사랑할수 있을까 OST Part 4,,,KR,2014-03-04,,LC9
못난놈이 웁니다 (inst.),,LC9,우리가 사랑할수 있을까 OST Part 4,,,KR,2014-03-04,,LC9
에덴의 동쪽,219000.0,LC9,에덴의 동쪽,,,KR,2014-07-29,,LC9
에덴의 동쪽 (inst.),219000.0,LC9,에덴의 동쪽,,,KR,2014-07-29,,LC9
전초전,272000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
전초전 (inst.),272000.0,LC9,SKIRMISH,,,KR,2013-05-09,,LC9
