title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
"1,2,3,4",214000.0,LEE HI,1.2.3.4,,,KR,2012-10-29,,LEE HI
20분 전 (20MIN),176000.0,LEE HI,24℃,,,KR,2019-05-30,,LEE HI
Because,257000.0,LEE HI,First Love,,,KR,2013-03-28,,LEE HI
Breathe,288974.0,LEE HI,SXSW 2018 Showcasing Artists,,,US,2018,,LEE HI
Bye,190000.0,LEE HI,4 ONLY,,,KR,2021-09-09,,LEE HI
Darling,235000.0,LEE HI,4 ONLY,,,KR,2021-09-09,,LEE HI
Dream,289000.0,LEE HI,"First Love, Pt. 1",,,US,2013-03-07,,LEE HI
For You,205000.0,"LEE HI, Crush",For You,,,XW,2020-12-16,,LEE HI
FXXK WIT US,217785.0,"LEE HI, Dok2",SEOULITE,,,KR,2016-03-09,,LEE HI
Hold My Hand,210240.0,LEE HI,"Now, We Are Breaking Up (Original Television Soundtrack), Pt. 2",,,XW,2021-11-14,,LEE HI
Hold My Hand (instrumental),210344.0,LEE HI,"Now, We Are Breaking Up (Original Television Soundtrack), Pt. 2",,,XW,2021-11-14,,LEE HI
HOLO,178520.0,LEE HI,HOLO,,,XW,2020-07-23,,LEE HI
If I Were You (Live),222000.0,"LEE HI, 2NE1",2014 YG FAMILY CONCERT IN SEOUL,,,AF,2014-11-28,,LEE HI
It's Over,234000.0,LEE HI,"First Love, Pt. 1",,,US,2013-03-07,,LEE HI
LOVE IS OVER,217000.0,LEE HI,24℃,,,KR,2019-05-30,,LEE HI
MISSING U,248000.0,LEE HI,SEOULITE,,,KR,2016-04-20,,LEE HI
MOMMAE (LeeHi Remix),122000.0,LEE HI,MOMMAE (LeeHi Remix),,,XW,2020-12-30,,LEE HI
MY STAR,221000.0,LEE HI,SEOULITE,,,KR,2016-04-20,,LEE HI
NO WAY,256000.0,"LEE HI, GSoul",24℃,,,KR,2019-05-30,,LEE HI
OFFICIAL,209000.0,"LEE HI, Incredible",SEOULITE,,,KR,2016-03-09,,LEE HI
Official (feat. Incredivle),209000.0,LEE HI,SEOULITE,,,XW,2016-04-23,,LEE HI
ONLY,240000.0,LEE HI,4 ONLY,,,KR,2021-09-09,,LEE HI
Rose,222000.0,LEE HI,First Love,,,KR,2013-03-28,,LEE HI
Special,236000.0,"LEE HI, JENNIE","First Love, Pt. 1",,,US,2013-03-07,,LEE HI
Turn it up (intro),107000.0,LEE HI,"First Love, Pt. 1",,,US,2013-03-07,,LEE HI
WORLD TOUR (비행),277000.0,"LEE HI, MINO",SEOULITE,,,KR,2016-03-09,,LEE HI
골목길,285000.0,"LEE HI, 성시경",골목길,,,KR,2023-12-12,,LEE HI
구원자,215000.0,"LEE HI, B.I",4 ONLY,,,KR,2021-09-09,,LEE HI
그 한마디,219000.0,LEE HI,Dear you (Romance 101 X LeeHi),,,XW,2021-03-14,,LEE HI
그 한마디 (inst.),219000.0,LEE HI,Dear you (Romance 101 X LeeHi),,,XW,2021-03-14,,LEE HI
그대가 해준 말,244000.0,LEE HI,그대가 해준 말,,,KR,2024-01-19,,LEE HI
그대의 의도,204000.0,LEE HI,4 ONLY,,,KR,2021-09-09,,LEE HI
나는 달라 (I'm Different),,LEE HI,SEOULITE,,,XW,2016-04-23,,LEE HI
내 사랑,220929.0,LEE HI,Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack),,,AF,2015-10-25,,LEE HI
내가 이상해,215000.0,LEE HI,First Love,,,KR,2013-03-28,,LEE HI
누구 없소 (NO ONE),194000.0,"LEE HI, B.I",24℃,,,KR,2019-05-30,,LEE HI
머리어깨무릎발,204000.0,"LEE HI, Wonstein",4 ONLY,,,KR,2021-09-09,,LEE HI
물타기,184000.0,LEE HI,4 ONLY,,,KR,2021-09-09,,LEE HI
바보,245000.0,LEE HI,First Love,,,KR,2013-03-28,,LEE HI
밤샘,220000.0,"LEE HI, Tablo",SEOULITE,,,KR,2016-04-20,,LEE HI
빤간 립스틱,187000.0,"LEE HI, 윤미래",4 ONLY,,,KR,2021-09-09,,LEE HI
손잡아 줘요,218827.0,LEE HI,SEOULITE,,,KR,2016-03-09,,LEE HI
스쳐 간다,199000.0,LEE HI,SEOULITE,,,KR,2016-04-20,,LEE HI
안봐도 비디오,220000.0,"LEE HI, BOBBY",SEOULITE,,,KR,2016-04-20,,LEE HI
안전지대,248000.0,LEE HI,4 ONLY,,,KR,2021-09-09,,LEE HI
어려워,223000.0,LEE HI,4 ONLY,,,KR,2021-09-09,,LEE HI
우린 어떠한 별보다 빛날 거야,229000.0,LEE HI,우린 어떠한 별보다 빛날 거야,,,KR,2022-03-14,,LEE HI
우린 어떠한 별보다 빛날 거야 (inst.),229000.0,LEE HI,우린 어떠한 별보다 빛날 거야,,,KR,2022-03-14,,LEE HI
짝사랑,232000.0,LEE HI,"First Love, Pt. 1",,,US,2013-03-07,,LEE HI
"한두 번 (1, 2)",202000.0,"LEE HI, 현석",24℃,,,KR,2019-05-30,,LEE HI
한숨,288915.0,LEE HI,SEOULITE,,,KR,2016-03-09,,LEE HI
허수아비,263359.0,LEE HI,허수아비,,,KR,2012-11-22,,LEE HI
홀로,178000.0,LEE HI,홀로,,,KR,2020-07-23,,LEE HI
희망고문,236000.0,LEE HI,SEOULITE,,,KR,2016-04-20,,LEE HI
