title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
향수병,274000,LEO,MUSE,,,KR,2019-06-17,,LEO
MUSE,196000,LEO,MUSE,,,KR,2019-06-17,,LEO
꿈,265000,LEO,CANVAS,,,KR,2018-07-31,,LEO
FEEL LOVE,226635,LEO,Space Project,,,XW,2019-02-19,,LEO
Touch & Sketch,195000,LEO,CANVAS,,,KR,2018-07-31,,LEO
FEEL LOVE (Instrumental),226635,LEO,Space Project,,,XW,2019-02-19,,LEO
나는 요즘,256000,LEO,CANVAS,,,KR,2018-07-31,,LEO
Losing Game,210240,LEO,Piano man Op. 9,,,XW,2022-08-23,,LEO
Beautiful Love,191853,LEO,Piano man Op. 9,,,XW,2022-08-23,,LEO
Der letzte Tanz,241000,LEO,Musical ELISABETH 2018,,,XW,2019-02-21,,LEO
Chilling,177573,LEO,Piano man Op. 9,,,XW,2022-08-23,,LEO
Free Tempo,194000,LEO,CANVAS,,,KR,2018-07-31,,LEO
Blossom Tears,217867,"LYN, LEO",Y.BIRD From Jellyfish With LYn X LEO,,,XW,2014-08-05,,LEO
I'm Still Here,197000,LEO,I'm Still Here,,,KR,2021-11-02,,LEO
Blue Rain,215213,LEO,Piano man Op. 9,,,XW,2022-08-23,,LEO
"December, The Night of Dreams",198280,LEO,"December, The Night of Dreams",,,XW,2019-12-01,,LEO
Blossom Tears (Inst.),217879,"LYN, LEO",Y.BIRD From Jellyfish With LYn X LEO,,,XW,2014-08-05,,LEO
So easy,199626,LEO,Piano man Op. 9,,,XW,2022-08-23,,LEO
Just That,222989,"Soo-Hyun Park, LEO",Just That,,,XW,2016-09-20,,LEO
다가오는 것들,225000,"LEO, 최자",MUSE,,,KR,2019-06-17,,LEO
타이트해,171000,LEO,MUSE,,,KR,2019-06-17,,LEO
the flower,343000,"LEO, Maximilian Hecker",the flower,,,XW,2019-06-05,,LEO
I Still (Instrumental),216077,LEO,"HAPPY ENDING ROMANCE (Original Television Soundtrack, Pt. 1)",,,,2022-11-25,,LEO
로맨티시즘 (Romanticism),188000,LEO,MUSE,,,KR,2019-06-17,,LEO
Gesture,212000,LEO,CANVAS,,,KR,2018-07-31,,LEO
Give me something,210000,LEO,CANVAS,,,KR,2018-07-31,,LEO
있는데 없는 너,248000,"LEO, 한해","You Are There, But Not There",,,XW,2018-10-02,,LEO
I Still,216077,LEO,"HAPPY ENDING ROMANCE (Original Television Soundtrack, Pt. 1)",,,,2022-11-25,,LEO
Cover Girl,179000,"LEO, ELLY",CANVAS,,,KR,2018-07-31,,LEO
All of me,240000,LEO,All of me,,,,2019-11-10,,LEO
