title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Child,211104,MARK,Child,,,KR,2022-02-04,,MARK
Young & Free,202000,"XIUMIN, MARK",Young & Free,,,KR,2017-07-07,,MARK
LIT,195000,"TAEYONG, MARK",Street Man Fighter Original Vol.4,,,XW,2022-09-20,,MARK
Child (Instrumental),211000,MARK,Child,,,KR,2022-02-04,,MARK
Lemonade Love (inst.),179000,"박재정, MARK",Lemonade Love,,,KR,2017-07-21,,MARK
What to Do,192267,"HENRY, MARK","Sweet Stranger and Me, Pt. 2 (Original Soundtrack)",,,XW,2016-10-26,,MARK
The Cure,220000,"강타, BoA, 유노윤호, TAEYEON, 이특, ONEW, SUHO, IRENE, TAEYONG, MARK, 乾坤, 카리나",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,MARK
Young & Free (inst.),202000,"XIUMIN, MARK",Young & Free,,,KR,2017-07-07,,MARK
HO,217000,"예성, MARK",Sensory Flows,,,XW,2023-01-25,,MARK
How We Do,223000,"XIUMIN, MARK",Brand New,,,KR,2022-09-26,,MARK
200 (Minhyung’s version),186026,MARK,200,,,XW,2024-05-16,,MARK
Dream Me (Instrumental),203664,"JOY, MARK","The Ghost Detective (Original Television Soundtrack), Pt. 6",,,XW,2018-10-18,,MARK
200,164586,MARK,200,,,XW,2024-05-16,,MARK
Drop (Feat. 슬기 SEULGI of Red Velvet),177000,MARK,School Rapper FINAL,,,XW,2017-04-01,,MARK
Golden Hour,199000,MARK,Golden Hour (SM STATION: NCT LAB),,,XW,2023-04-07,,MARK
Talk About,162384,MARK,Talk About,,,,,,MARK
Time Machine,207466,"도영, TAEYEON, MARK",YOUTH,,,,2024-04-22,,MARK
Golden Hour (Instrumental),199000,MARK,Golden Hour (SM STATION: NCT LAB),,,XW,2023-04-07,,MARK
Lemonade Love,179000,"박재정, MARK",Lemonade Love,,,KR,2017-07-21,,MARK
나라는 꿈 Dream Me,203664,"MARK, JOY","The Ghost Detective (Original Television Soundtrack), Pt. 6",,,XW,2018-10-18,,MARK
