recording_id,title,release_date,query_artist_name,retrieved_artist_name
028ed212-0798-495d-91bb-eff702c0dfeb,소원이지 (HOPE),2018-11-26,MINO,MINO
05eab100-d164-4434-830d-0d173140bfc1,탕!♡ (TANG!♡),2021-12-07,MINO,MINO
068eada5-61a3-4fbe-a45e-40c9557b08d1,ㅊ취했 (DRUNK TALK) (Feat. sogumm),2021-12-07,MINO,MINO
08a3fc29-4d16-45f8-a32d-2be6a5e198fe,DJ Time + Phone Number + HOT 뜨거 + High High (Live),2014-11-28,MINO,MINO
093d14a4-c6b6-4ecc-bad5-48b7bdb439ca,Wa,2020-10-30,MINO,MINO
0c6f0459-a681-419e-b661-22b00f4f2f4d,바른말 (LANGUAGE) (Feat. BOBBY),2021-12-07,MINO,MINO
1065fd1c-448a-48c7-aab6-c4841bf6c65d,Click / Han River View,2020-10-30,MINO,MINO
1306741e-a214-49ad-864c-fdb236bbfec8,LOSING U,2021-12-07,MINO,MINO
13ddbdc9-bf39-44b2-8159-a398a8b35290,ㅇ2 (O2),2018-11-26,MINO,MINO
15d108cf-bbb8-44d0-b9a8-526f1924959b,또또또,2019-08-14,MINO,MINO
199f3661-9dfb-4d8d-b02b-96a5b3d386d4,WORLD TOUR (비행),2016-03-09,MINO,MINO
24a8603f-bfa8-4b86-b53b-b008f47ff4fc,NOBODY,2019-12-02,MINO,MINO
286beaf8-493f-48e1-88b2-62d36a618929,Okay Dokey,,MINO,MINO
2ae9ea89-90e5-466b-8816-0fe6a3f47eeb,쉬어,2021-11-06,MINO,MINO
2daa2bbb-5bac-4f44-84d0-86c8c4f85d35,Promise,2019-08-02,MINO,MINO
2e0633f5-ea02-425a-8f45-0a08293deab2,"""Perfect Thumbnail"" (썸네일각)",2021-07-30,MINO,MINO
31fdd37e-110b-45c6-8ec1-e4474ea9d3e1,리무진,2021-11-20,MINO,MINO
36af3772-2cc2-446f-907c-be2cea35cbfe,문 (Inst.),2017-11-30,MINO,MINO
3d25c096-f2de-4245-baba-1244b550261d,BODY (-inst-),2016-12-28,MINO,MINO
3e03e1d6-5bad-4d07-9c5f-00c3a2614a2f,Doom Dada (Live),2014-11-28,MINO,MINO
3edbf799-6581-4d4f-9651-a719a7db2155,암 (AGREE),2018-11-26,MINO,MINO
409ad325-3af8-4a5d-96a6-3fbcb7c7c36f,뭐 (MUAH),2021-12-07,MINO,MINO
49944144-ac79-4868-909c-4cc3940aacd5,BETTER,2021-03-29,MINO,MINO
4af500fd-e53a-46ed-a0da-8c2ffb496ae3,Ok Man,2020-10-30,MINO,MINO
4d71271f-68b8-4ab7-8dcd-e99c14327f3a,걔 세 (I'm him),2014-08-12,MINO,MINO
4d82941d-966d-4126-86c2-bb731f45a1d0,또또또,2019-08-14,MINO,MINO
4f332050-f835-427c-aab0-4ca7971fbd32,어울려요 (her),2018-11-26,MINO,MINO
502dff6f-3c95-44b4-90c6-fdbda4bbe3f5,문,2017-11-30,MINO,MINO
513f7015-e8de-4fe6-b79a-15d6a7f11499,Daylight,2020-10-30,MINO,MINO
52399d4f-04ec-47c8-8ba4-27ec736addf5,궁금해 (QUESTION MARK),2021-12-07,MINO,MINO
52b16daf-ef2d-4803-b007-7509f96719e3,Lost In A Crowd,2020-10-30,MINO,MINO
5a99c32e-06fa-4d4f-a561-d0ae0ba3f621,몸,2016-09-08,MINO,MINO
6130d951-1766-4f14-9271-0ee20bce7a31,BODY,2016-12-28,MINO,MINO
6293b84d-82e2-439d-be47-45cc83973da9,흠 (UM...),2018-11-26,MINO,MINO
67840604-e30e-41c5-8610-5a2ff6ccfe58,UP,2017-09-14,MINO,MINO
743e7536-15b9-490f-a2d8-972c3acd44f3,Book Store,2020-10-30,MINO,MINO
75c2cd6a-aa2f-4302-ac08-1a6092726817,WHERE R U FROM,2018-07-20,MINO,MINO
8c0e5698-2cf3-4efa-ba24-acadd4f8b301,이별길에서 (SAD WALK) (Feat. sunwoojunga),2021-12-07,MINO,MINO
8c2ed8ad-54d5-4993-bc10-7692c48b008f,I Want To,2020-10-30,MINO,MINO
92e1ec4f-5997-4c44-bbdf-23d0843a3b66,Sunrise,2020-10-30,MINO,MINO
9308294e-9b80-4c8a-a89d-fcc4b5f538b4,겁,2015-08-22,MINO,MINO
960bc9a4-bcce-450a-b05e-67cb5dc1eed7,쏘아 (Shoot),2016-12-31,MINO,MINO
9804b1d4-b1da-4883-95ee-967e6648bb0f,KILL,2021-12-07,MINO,MINO
9baab396-38d5-4ca9-9870-abe2c918e6a4,노땡큐,2017-10-23,MINO,MINO
9c3549af-ce66-4b2b-9bc8-21616998bc83,불구경 (BOW-WOW),2018-11-26,MINO,MINO
9cd5e1cd-b4ff-40f7-bfe4-9a03e3daeae8,Strongerrr,2017-02-28,MINO,MINO
9f56ee4c-7661-47d8-9df4-faf6b893bb84,Hop In,2020-10-30,MINO,MINO
a0be210f-9b09-4a14-98d2-3a1402310433,겁,2015-08-22,MINO,MINO
a29d82af-5f63-4ae1-9988-e03742d16d9e,alchemy,2018,MINO,MINO
a330504c-7b21-433e-a4f7-97449f54ea82,Victim + 위하여,2015-05-29,MINO,MINO
b8cce439-351c-464f-84ec-865bb459e74b,WHERE R U FROM -JP ver.-,2018-08-08,MINO,MINO
b9606e03-3fc8-4745-b3d5-b788ea3e90a6,위로 해줄래 (LONELY),2018-11-26,MINO,MINO
b9d1175c-03e1-4cae-ae5e-ce20856e3852,BORN HATER,2014-10-21,MINO,MINO
bf0b6572-7358-402f-9b13-f336cb10970a,FEAR -KR ver.- (-inst-),2016-12-28,MINO,MINO
c2f05638-83e1-409b-ba15-6073f4bfed90,시발점 (TRIGGER),2018-11-26,MINO,MINO
c416145d-89a1-48cb-ae30-1f34e88a8c7a,이끼,2021-11-20,MINO,MINO
c8325d8c-94a0-4052-a05c-7604bc288042,Run Away,2020-10-30,MINO,MINO
cc9e54e6-fbad-4e6f-8b65-fac36e13c6f1,Okey Dokey,2015-05-29,MINO,MINO
