title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
#GFYL,201053.0,MONSTA X,PIECE,,,JP,2018-04-25,,MONSTA X
5:14 (Last Page),183000.0,MONSTA X,THE CLAN PART 2.5 : THE FINAL CHAPTER - BEAUTIFUL,,,KR,2017-03-21,,MONSTA X
AND,176000.0,MONSTA X,SHAPE OF LOVE,,,KR,2022-04-26,,MONSTA X
About Last Night,153253.0,MONSTA X,The Dreaming,,,US,2021,,MONSTA X
About Last Night,153000.0,MONSTA X,The Dreaming,,,XW,2021-12-10,,MONSTA X
Addicted,186000.0,MONSTA X,One Of a Kind,,,XW,2021-06-01,,MONSTA X
Alligator,193000.0,MONSTA X,Take.2 WE ARE HERE,,,KR,2019-02-18,,MONSTA X
Alligator (Japanese version),194000.0,MONSTA X,Alligator,,,,2019-06-12,,MONSTA X
Amen,236000.0,MONSTA X,RUSH,,,KR,2015-09-07,,MONSTA X
Aura,191320.0,MONSTA X,PIECE,,,JP,2018-04-25,,MONSTA X
Autobahn,197960.0,MONSTA X,NO LIMIT,,,AF,2021-11-19,,MONSTA X
BEASTMODE,195000.0,MONSTA X,FATAL LOVE,,,KR,2020-11-02,,MONSTA X
BEBE,225000.0,MONSTA X,One Of a Kind,,,XW,2021-06-01,,MONSTA X
BESIDE U,188031.0,"MONSTA X, Pitbull",ALL ABOUT LUV,,,AF,2020-02-14,,MONSTA X
BESIDE U (I.M RAP VER),212518.0,"MONSTA X, Pitbull",ALL ABOUT LUV,,,AF,2020-02-14,,MONSTA X
Be Quiet,182000.0,MONSTA X,THE CLAN PART.2 GUILTY,,,KR,2016-10-04,,MONSTA X
Beautiful (Japanese ver.) Music Video,,MONSTA X,Beautiful,,,JP,2017-08-23,,MONSTA X
Beautiful (Japanese ver.) Music Video メイキング映像,,MONSTA X,Beautiful,,,JP,2017-08-23,,MONSTA X
Beautiful -Japanese ver.-,203000.0,MONSTA X,Beautiful (Japanese ver.),,,JP,2017-08-02,,MONSTA X
Beautiful Liar,183120.0,MONSTA X,REASON,,,AF,2023-01-09,,MONSTA X
Beautiful Night,183000.0,MONSTA X,FANTASIA X,,,XW,2020-05-26,,MONSTA X
Because of U,183000.0,MONSTA X,THE CLAN PART.1 LOST,,,KR,2016-05-18,,MONSTA X
Better,139040.0,MONSTA X,The Dreaming,,,US,2021,,MONSTA X
Better,139000.0,MONSTA X,The Dreaming,,,XW,2021-12-10,,MONSTA X
Black Swan,206000.0,MONSTA X,LIVIN' IT UP,,,JP,2018-09-12,,MONSTA X
Blame Me,188186.0,MONSTA X,The Dreaming,,,US,2021,,MONSTA X
Blame Me,188000.0,MONSTA X,The Dreaming,,,XW,2021-12-10,,MONSTA X
Blind,192000.0,MONSTA X,THE CLAN PART.2 GUILTY,,,KR,2016-10-04,,MONSTA X
Blow Your Mind,130400.0,MONSTA X,The Dreaming,,,US,2021,,MONSTA X
Blow Your Mind,130000.0,MONSTA X,The Dreaming,,,XW,2021-12-10,,MONSTA X
Blue Moon,191000.0,MONSTA X,TRESPASS,,,KR,2015-05-14,,MONSTA X
Breathe,142000.0,MONSTA X,SHAPE OF LOVE,,,KR,2022-04-26,,MONSTA X
Broken Heart,227000.0,MONSTA X,RUSH,,,KR,2015-09-07,,MONSTA X
Burn It Up,216000.0,MONSTA X,FOLLOW - FIND YOU,,,,2019-10-28,,MONSTA X
Burning Up,200000.0,"MONSTA X, R3HAB",SHAPE OF LOVE,,,KR,2022-04-26,,MONSTA X
By My Side,223000.0,MONSTA X,Take.1 Are You There?,,,US,2018-10-22,,MONSTA X
Calm Down,187000.0,MONSTA X,THE CLAN PART 2.5 : THE FINAL CHAPTER - BEAUTIFUL,,,KR,2017-03-21,,MONSTA X
Carry On,219000.0,MONSTA X,Phenomenon,,,,2019-08-21,,MONSTA X
Chaotic,215000.0,MONSTA X,FANTASIA X,,,XW,2020-05-26,,MONSTA X
Crescendo,185360.0,MONSTA X,REASON,,,AF,2023-01-09,,MONSTA X
DRAMARAMA,186000.0,MONSTA X,THE CODE,,,KR,2017-11-07,,MONSTA X
Daydream,146227.0,MONSTA X,REASON,,,AF,2023-01-09,,MONSTA X
Deja Vu,216000.0,MONSTA X,THE CODE,,,KR,2017-11-07,,MONSTA X
Deny,173307.0,MONSTA X,REASON,,,AF,2023-01-09,,MONSTA X
Destroyer,235000.0,MONSTA X,The Connect : Dejavu,,,US,2018-03-26,,MONSTA X
Detox,221000.0,MONSTA X,Flavors of love,,,JP,2021-05-05,,MONSTA X
Diamond heart,229000.0,MONSTA X,Flavors of love,,,JP,2021-05-05,,MONSTA X
Disaster,220000.0,MONSTA X,FOLLOW - FIND YOU,,,,2019-10-28,,MONSTA X
Ex Girl,203000.0,"MONSTA X, Whee In",THE CLAN PART.1 LOST,,,KR,2016-05-18,,MONSTA X
FANTASIA,186000.0,MONSTA X,FANTASIA X,,,XW,2020-05-26,,MONSTA X
FANTASIA (Japanese ver.),186000.0,MONSTA X,Love Killa,,,XW,2020-12-16,,MONSTA X
FANTASIA -Japanese ver.- (Music Video Making),,MONSTA X,Flavors of love,,,JP,2021-05-05,,MONSTA X
FANTASIA -Japanese ver.- (Music Video),,MONSTA X,Flavors of love,,,JP,2021-05-05,,MONSTA X
FLOW,216000.0,MONSTA X,FANTASIA X,,,XW,2020-05-26,,MONSTA X
Fighter,218000.0,MONSTA X,THE CLAN PART.2 GUILTY,,,KR,2016-10-04,,MONSTA X
Find You,218000.0,MONSTA X,FOLLOW - FIND YOU,,,,2019-10-28,,MONSTA X
Flash Back,207000.0,MONSTA X,Shoot Out (Japanese Version.),,,JP,2019-03-27,,MONSTA X
Flavors of MONSTA X 〜Member Talk Session〜,1587000.0,MONSTA X,Flavors of love,,,JP,2021-05-05,,MONSTA X
Flavors of love,197000.0,MONSTA X,Flavors of love,,,JP,2021-05-05,,MONSTA X
