title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Fantastic,202000,NARSHA,Narsha,,,XW,2010-07-08,,NARSHA
맘마미아 (preview),27000,NARSHA,Narsha,,,XW,2010-07-08,,NARSHA
삐리빠빠 (instrumental),207000,NARSHA,Narsha,,,XW,2010-07-08,,NARSHA
I’m in Love,241000,NARSHA,Narsha,,,XW,2010-07-08,,NARSHA
BLUSH,180186,"NARSHA, Babylon",BLUSH,,,XW,2023-11-18,,NARSHA
삐리빠빠,207000,NARSHA,Narsha,,,XW,2010-07-08,,NARSHA
Tonight (English version),216000,"미료, NARSHA",오늘밤 (Tonight),,,KR,2013-11-11,,NARSHA
Dominican Incident,233917,"Lewis Parker, NARSHA, Truth",Home Grown Hip Hop,,,,2007-12-12,,NARSHA
BLUSH (inst.),180186,NARSHA,BLUSH,,,XW,2023-11-18,,NARSHA
오늘밤 (Tonight),216000,"미료, NARSHA",오늘밤 (Tonight),,,KR,2013-11-11,,NARSHA
Radio Star,232000,NARSHA,Narsha,,,XW,2010-07-08,,NARSHA
Queen B,211000,NARSHA,Narsha,,,XW,2010-07-08,,NARSHA
맘마미아,199369,"NARSHA, Sunny Hill",맘마미아,,,US,2010-08-20,,NARSHA
Leggo,214000,"미료, NARSHA",MIRYO AKA JOHONEY,,,KR,2012-02-01,,NARSHA
삐리빠빠 (East4A Club vocal mix),217524,NARSHA,맘마미아,,,US,2010-08-20,,NARSHA
오늘밤 (Tonight) (instrumental),216000,"미료, NARSHA",오늘밤 (Tonight),,,KR,2013-11-11,,NARSHA
GAME,185000,"NARSHA, Verbal Jint",GAME,,,KR,2023-12-09,,NARSHA
지랄,224000,"Humming Urban Stereo, NARSHA",REFORM,,,KR,2014-05-21,,NARSHA
그대만 모르죠,249000,NARSHA,대조영,,,KR,2007-07-25,,NARSHA
