title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
"1, 2, 3",181000.0,NCT DREAM,We Go Up,,,KR,2018-09-02,,NCT DREAM
119,239000.0,NCT DREAM,We Boom,,,KR,2019-07-26,,NCT DREAM
7 Days,197000.0,NCT DREAM,Reload,,,XW,2020-04-29,,NCT DREAM
ANL,225000.0,NCT DREAM,Hot Sauce,,,XW,2021-05-10,,NCT DREAM
Arcade,207000.0,NCT DREAM,Glitch Mode,,,,2022-03-28,,NCT DREAM
Be There For You,223000.0,NCT DREAM,Hot Sauce,,,XW,2021-05-10,,NCT DREAM
Beatbox,205133.0,NCT DREAM,Beatbox,,,KR,2022-05-30,,NCT DREAM
Best Friend,204000.0,NCT DREAM,We Boom,,,KR,2019-07-26,,NCT DREAM
Better Than Gold,200000.0,NCT DREAM,Glitch Mode,,,,2022-03-28,,NCT DREAM
BOOM,195000.0,NCT DREAM,We Boom,,,KR,2019-07-26,,NCT DREAM
BOX,170360.0,NCT DREAM,DREAM( )SCAPE,,,,2024-03-25,,NCT DREAM
Breathing,253240.0,NCT DREAM,DREAM( )SCAPE,,,,2024-03-25,,NCT DREAM
Broken Melodies,226000.0,NCT DREAM,Broken Melodies,,,,2023-06-19,,NCT DREAM
Bungee,208000.0,NCT DREAM,Hello Future,,,KR,2021-06-28,,NCT DREAM
Candy,217000.0,NCT DREAM,Candy,,,,2022-12-16,,NCT DREAM
Carat Cake,152493.0,NCT DREAM,DREAM( )SCAPE,,,,2024-03-25,,NCT DREAM
Chewing Gum,197000.0,NCT DREAM,Chewing Gum,,,XW,2016-08-27,,NCT DREAM
"Countdown (3, 2, 1)",214000.0,NCT DREAM,Hot Sauce,,,XW,2021-05-10,,NCT DREAM
Dear DREAM,189000.0,NCT DREAM,We Go Up,,,KR,2018-09-02,,NCT DREAM
Diggity,209000.0,NCT DREAM,Hot Sauce,,,XW,2021-05-10,,NCT DREAM
Dive Into You,192000.0,NCT DREAM,Hot Sauce,,,XW,2021-05-10,,NCT DREAM
Don't Need Your Love (Instrumental),,"NCT DREAM, HRVY",Don’t Need Your Love,,,XW,2019-06-06,,NCT DREAM
Don;t Need Your Love,201912.0,"NCT DREAM, HRVY",Don’t Need Your Love,,,XW,2019-06-06,,NCT DREAM
Dream Run,224000.0,NCT DREAM,We Boom,,,KR,2019-07-26,,NCT DREAM
Dreaming,190480.0,NCT DREAM,Universe,,,KR,2021-12-14,,NCT DREAM
Drippin',197000.0,NCT DREAM,We Go Up,,,KR,2018-09-02,,NCT DREAM
Drive,198000.0,NCT DREAM,Glitch Mode,,,,2022-03-28,,NCT DREAM
Fire Alarm,192000.0,NCT DREAM,Glitch Mode,,,,2022-03-28,,NCT DREAM
Fireflies (THE OFFICIAL SONG OF THE WORLD SCOUT FOUNDATION),200973.0,NCT DREAM,Fireflies (THE OFFICIAL SONG OF THE WORLD SCOUT FOUNDATION),,,US,2019-07-15,,NCT DREAM
Glitch Mode,207000.0,NCT DREAM,Glitch Mode,,,,2022-03-28,,NCT DREAM
GO,207000.0,NCT DREAM,NCT 2018 EMPATHY,,,KR,2018-03-14,,NCT DREAM
Graduation,237000.0,NCT DREAM,Candy,,,,2022-12-16,,NCT DREAM
Hello Future,220000.0,NCT DREAM,Hello Future,,,KR,2021-06-28,,NCT DREAM
Hot Sauce,195000.0,NCT DREAM,Hot Sauce,,,XW,2021-05-10,,NCT DREAM
icantfeelanything,132360.0,NCT DREAM,DREAM( )SCAPE,,,,2024-03-25,,NCT DREAM
Irreplaceable,204000.0,NCT DREAM,Hot Sauce,,,XW,2021-05-10,,NCT DREAM
