title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Afterlife,255839,NCT,Afterlife,,,XW,2020-07-17,,NCT
Afterlife (L.A.O.S remix),252000,NCT,Afterlife (L.A.O.S remix),,,XW,2022-02-04,,NCT
Along the Road,264828,"NCT, T & Sugah, Voicians","NCS Is Love, NCS Is Life, Vol. 1",,,XW,2016-07-28,,NCT
Astrophysical,221500,"NCT, Skyelle",Astrophysical,,,XW,2019-11-22,,NCT
Astrophysical (Franky Nuts remix),179200,"NCT, Skyelle",Astrophysical (Franky Nuts remix),,,XW,2022-01-31,,NCT
Astrophysical (Lexurus remix),260107,"NCT, Skyelle",Astrophysical (Lexurus remix),,,XW,2022-02-02,,NCT
Away From Here,223000,NCT,Viper Presents: Drum & Bass Summer Slammers 2017,,,XW,2017-06-30,,NCT
Bad,196000,"NCT, Franky Nuts, MC Coppa",Viper Presents: Bassrush 3.0,,,XW,2018-09-28,,NCT
Before I Go,223000,NCT,Astrophysical,,,XW,2020-07-24,,NCT
Before I Go (Blooom remix),215413,NCT,Before I Go (Blooom remix),,,XW,2022-02-04,,NCT
Choices,274312,"NCT, Jay Fonseca",EDM: Every Day Matters,,,US,2013-11-09,,NCT
Closure,320000,"NCT, Anna-Eva",The Future Sound of Holland,,,XW,2016-07-08,,NCT
Dancing in the Rain,245000,NCT,Astrophysical,,,XW,2020-07-24,,NCT
Don’t Need U,224618,NCT,Hospital Mixtape: Anaïs,,,XW,2023-08-25,,NCT
Electrify,265000,"NCT, T & Sugah",Astrophysical,,,XW,2020-07-24,,NCT
Electrify (Jack Mirror remix),248275,"NCT, T & Sugah",Electrify (Jack Mirror Remix),,,XW,2022-01-10,,NCT
Fearless,323657,NCT,Sepia,,,XW,2012-02-29,,NCT
Freedom,218892,"NCT, Charlotte Haining",Freedom / Your Love,,,XW,2015-07-20,,NCT
Frozen in Time,368000,"NCT, Andreas Ort, Charline",Galaxy of Dreams,,,XW,2013-04-22,,NCT
Frozen in Time,174853,"NCT, Andreas Ort, Charline",Memoirs,,,XW,2015-05-01,,NCT
Give In,343533,"NCT, RAIGN",Viper Presents: Drum & Bass Annual 2017,,,XW,2017-01-06,,NCT
Go Back Home,225882,"NCT, Veela",Sepia,,,XW,2012-02-29,,NCT
Godlike,209698,"NCT, RIENK",Godlike,,,XW,2023-06-09,,NCT
Golden Hour,231724,"NCT, Deuce, Charger",Alchemy 2,,,XW,2016-10-14,,NCT
Hold On,209000,"NCT, James Burki",Hold On,,,,2020-10-29,,NCT
I Have a Dream,320358,NCT,Sepia,,,XW,2012-02-29,,NCT
I Miss You,319391,NCT,Loving Memories,,,XW,2012-11-22,,NCT
In The Sun Again,271742,"NCT, Laura Brehm",Say to Me,,,XW,2018-06-25,,NCT
In the Sun Again (instrumental),271743,NCT,Say to Me,,,XW,2018-06-25,,NCT
Longing for the Past,315429,NCT,Sepia,,,XW,2012-02-29,,NCT
Lost & Found,251376,"NCT, Dualistic",Astrophysical,,,XW,2020-07-24,,NCT
Lost & Found (Telomic remix),331717,"NCT, Dualistic",Lost & Found (Telomic remix),,,XW,2021-11-05,,NCT
Loving Memories,326148,NCT,Loving Memories,,,XW,2012-11-22,,NCT
Loving Memories (Lifecycle (NL) remix),255420,NCT,Loving Memories,,,XW,2012-11-22,,NCT
Move On,226206,NCT,Move On,,,XW,2017-03-10,,NCT
New Horizon,240000,NCT,Astrophysical,,,XW,2020-07-24,,NCT
New Horizon (SØL remix),209000,NCT,New Horizon (Solomon France remix),,,XW,2022-02-04,,NCT
Now or Never,216000,NCT,Astrophysical,,,XW,2020-07-24,,NCT
Now or Never (Elodin remix),209000,NCT,Now or Never (Elodin remix),,,XW,2022-02-04,,NCT
Overcome,274883,"NCT, The Outsiders, Ida Yli-Mäenpää",Overcome,,,XW,2020-02-17,,NCT
Overcome (Rameses B remix),279851,"NCT, The Outsiders, Ida Yli-Mäenpää",Overcome (Rameses B remix),,,XW,2021-11-05,,NCT
Rain Beyond the Sun,285000,"NCT, Changing Faces",Rain Beyond The Sun,,,,2013-09-04,,NCT
Scars,290000,NCT,Soul Sessions Vol. 3,,,XW,2017-12-08,,NCT
Serotonin,244483,NCT,Viper presents: Drum & Bass Summer Slammers 2016,,,US,2016-08-05,,NCT
Sinking Into You,384000,"NCT, Thallie Ann Seenyen",A Very Electric Winter,,,XW,2012-12-18,,NCT
Something Like,139536,NCT,Something Like,,,XW,2023-07-26,,NCT
Start Running,182500,"NCT, ReauBeau, Elle Hollis",Start Running,,,XW,2023-04-07,,NCT
Still Want You,308966,NCT,Sepia,,,XW,2012-02-29,,NCT
The Feeling,229000,"NCT, Futurebound",The Feeling,,,XW,2020-03-23,,NCT
The Feeling (Jon Void remix),250774,"NCT, Futurebound",The Feeling (Jon Void remix),,,XW,2022-01-31,,NCT
The Fire,195186,NCT,Rush Hour,,,XW,2017-10-02,,NCT
The Jazz in Me,220800,NCT,Sepia,,,XW,2012-02-29,,NCT
Toy Soldiers,312686,NCT,Sepia,,,XW,2012-02-29,,NCT
Your Love,245432,"NCT, Ayve",Freedom / Your Love,,,XW,2015-07-20,,NCT
Your Song,253000,"NCT, Genetics",Your Song,,,XW,2024-02-02,,NCT
