title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Always,178000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
"""Beauty""",204000.0,ONEW,Life goes on,,,,2022-06-28,,ONEW
夜明けの世界,278000.0,ONEW,Life goes on,,,,2022-06-28,,ONEW
Everything,414840.0,ONEW,Who sings? Vol.1,,,,2022-05-31,,ONEW
Caramel,191000.0,"ONEW, 기리보이",Circle,,,XW,2023-03-06,,ONEW
뜨거운 안녕,170000.0,ONEW,The 2nd Concert Album 'SHINee WORLD Ⅱ In SEOUL',,,KR,2014-04-02,,ONEW
Paradise,192000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
Knock On My Door,145746.0,ONEW,Knock On My Door,,,,2023-03-21,,ONEW
"""Lighthouse""",249000.0,ONEW,Life goes on,,,,2022-06-28,,ONEW
O (Circle),197000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
鱗(うろこ),317741.0,ONEW,Uroko,,,,2022-05-24,,ONEW
Jacket photo shoot behind the scenes,,ONEW,Life Goes On,,,JP,2022-07-06,,ONEW
Mind Warning,229986.0,ONEW,"Forecasting Love and Weather (Original Television Soundtrack), Pt. 2",,,XW,2022-02-27,,ONEW
"""Life Is...""",186000.0,ONEW,Life goes on,,,,2022-06-28,,ONEW
レイニーブルー,368000.0,"ONEW, TAEMIN",SHINee World 2014 ~ I’m Your Boy ~ Special Edition In Tokyo Dome,,,JP,2015-07-01,,ONEW
Rain On Me,228000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
Nessun Dorma (공주는 잠 못 이루고),167000.0,ONEW,SHINee World (The 1st Asia Tour Concert Album),,,KR,2012-02-01,,ONEW
In Your Eyes,268000.0,ONEW,아름다운 그대에게 OST - 나야 (It's Me),,,KR,2012-08-22,,ONEW
Dear my spring,280301.0,ONEW,You Are My Spring OST Part 7,,,XW,2021-08-03,,ONEW
거리마다 (Your Scent),204000.0,ONEW,VOICE,,,KR,2018-12-05,,ONEW
Blue,231365.0,"ONEW, 일레인","High Class, Pt. 3 (Original Television Soundtrack)",,,XW,2021-10-05,,ONEW
No Parachute,168000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
그림자,230308.0,ONEW,"이별유예, 일주일 OST Part 3",,,XW,2021-02-04,,ONEW
Yeowoobi,214000.0,ONEW,DICE,,,KR,2022-04-11,,ONEW
수면제 (Lullaby),200000.0,"ONEW, Rocoberry",Lullaby,,,XW,2017-05-04,,ONEW
INSPIRATION,210680.0,ONEW,INSPIRATION,,,,2023-03-21,,ONEW
Mind Warning (instrumental),230000.0,ONEW,"Forecasting Love and Weather (Original Television Soundtrack), Pt. 2",,,XW,2022-02-27,,ONEW
내가 사랑했던 이름,274000.0,"ONEW, 김연우","2009, Year of Us",,,XW,2009-10-19,,ONEW
Walk With You,194000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
밤과 별의 노래 Starry Night,240000.0,"ONEW, 이진아",밤과 별의 노래 Starry Night,,,XW,2016-08-12,,ONEW
On the way,238000.0,ONEW,DICE,,,KR,2022-04-11,,ONEW
Sunshine,229000.0,ONEW,DICE,,,KR,2022-04-11,,ONEW
Love Phobia,190000.0,ONEW,DICE,,,KR,2022-04-11,,ONEW
DICE,186000.0,ONEW,DICE,,,KR,2022-04-11,,ONEW
Blue,210000.0,ONEW,VOICE,,,KR,2018-12-05,,ONEW
Expectations,192000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
Blue (instrumental),231365.0,"ONEW, 일레인","High Class, Pt. 3 (Original Television Soundtrack)",,,XW,2021-10-05,,ONEW
I Won't Give Up,134000.0,ONEW,The 2nd Concert Album 'SHINee WORLD Ⅱ In SEOUL',,,KR,2014-04-02,,ONEW
동네 (Under The Starlight),247000.0,ONEW,VOICE,,,KR,2018-12-05,,ONEW
やさしいキスをして,207746.0,ONEW,Who sings? Vol.1,,,,2022-05-31,,ONEW
Music Video,,ONEW,Life Goes On,,,JP,2022-07-06,,ONEW
In the whale,199000.0,ONEW,DICE,,,KR,2022-04-11,,ONEW
사랑이었을까 (Illusion),253000.0,ONEW,VOICE,,,KR,2018-12-05,,ONEW
Live Video,,ONEW,Life Goes On,,,JP,2022-07-06,,ONEW
キラキラ,293735.0,ONEW,Kirakira,,,,2022-05-17,,ONEW
그림자 (inst.),230308.0,ONEW,"이별유예, 일주일 OST Part 3",,,XW,2021-02-04,,ONEW
밤과 별의 노래 Starry Night (Instrumental),240000.0,"ONEW, 이진아",밤과 별의 노래 Starry Night,,,XW,2016-08-12,,ONEW
Good‐Bye Days,234952.0,"ONEW, Kei","Meet Me When The Sun Goes Down (From “Midnight Sun” Original Musical Soundtrack, Pt. 4)",,,XW,2021-05-24,,ONEW
별 하나 (Way),238000.0,"ONEW, Punch",Way (SM STATION),,,XW,2021-12-06,,ONEW
Moonlight,225000.0,ONEW,미스코리아 OST 'Moonlight',,,KR,2014-01-03,,ONEW
"""Life Goes On""",200000.0,ONEW,Life goes on,,,,2022-06-21,,ONEW
遅く起きた朝に,357000.0,ONEW,Life goes on,,,,2022-06-28,,ONEW
Cough,184000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
온유하게 해요 (Shine On You),174000.0,ONEW,VOICE,,,KR,2018-12-05,,ONEW
Dear my spring (inst.),280301.0,ONEW,You Are My Spring OST Part 7,,,XW,2021-08-03,,ONEW
Meet Me When The Sun Goes Down,205422.0,ONEW,"Meet Me When The Sun Goes Down (From “Midnight Sun” Original Musical Soundtrack, Pt. 4)",,,XW,2021-05-24,,ONEW
어떤 사이 (Sign),188000.0,ONEW,VOICE,,,KR,2018-12-05,,ONEW
Anywhere,182000.0,ONEW,Circle,,,XW,2023-03-06,,ONEW
또각또각 (Timepiece),298000.0,ONEW,VOICE,,,KR,2018-12-05,,ONEW
Live Video behind the scenes,,ONEW,Life Goes On,,,JP,2022-07-06,,ONEW
수면제 (Lullaby) (inst.),200000.0,"ONEW, Rocoberry",Lullaby,,,XW,2017-05-04,,ONEW
Dance Whole Day,210413.0,ONEW,Dance Whole Day,,,,2022-09-08,,ONEW
