title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Dream,243000,Paul Kim,더 킹 : 영원의 군주 OST Part 8,,,KR,2020-05-10,,Paul Kim
Game,205000,Paul Kim,the Road,,,XW,2017-09-27,,Paul Kim
만나볼래요,206000,Paul Kim,"마음, 하나",,,KR,2019-10-30,,Paul Kim
If Only,228000,"JOY, Paul Kim",안녕 (Hello),,,KR,2021-05-31,,Paul Kim
휴가,211000,Paul Kim,Need a Break,,,US,2018-08-09,,Paul Kim
좋은 사람,212000,Paul Kim,the Road,,,XW,2017-09-27,,Paul Kim
Hero,231000,Paul Kim,"마음, 둘",,,KR,2020-04-22,,Paul Kim
허전해,233000,Paul Kim,"마음, 하나",,,KR,2019-10-30,,Paul Kim
안녕,225000,Paul Kim,Hotel Del Luna OST,,,KR,2019-08-31,,Paul Kim
Something Special,245000,Paul Kim,Star,,,KR,2022-06-04,,Paul Kim
사랑은 타이밍,257000,Paul Kim,터널,,,KR,2018-01-31,,Paul Kim
눈,245725,Paul Kim,Traffic Light,,,XW,2019-01-17,,Paul Kim
"모든 날, 모든 순간 (Instrumental)",210493,Paul Kim,"키스 먼저 할까요? (Original Television Soundtrack), Pt. 3",,,,2018-03-20,,Paul Kim
돛단배,193000,Paul Kim,Star,,,KR,2022-06-04,,Paul Kim
Dream (Inst.),243000,Paul Kim,더 킹 : 영원의 군주 OST Part 8,,,KR,2020-05-10,,Paul Kim
느낌,269000,Paul Kim,터널,,,KR,2018-01-31,,Paul Kim
길,246000,Paul Kim,the Road,,,XW,2017-09-27,,Paul Kim
One More Time,244000,Paul Kim,Star,,,KR,2022-06-04,,Paul Kim
Loveship,259000,"Paul Kim, CHUNG HA",Loveship,,,KR,2020-01-21,,Paul Kim
재수 좋은 날,145000,Paul Kim,Star,,,KR,2022-06-04,,Paul Kim
Miracle,243000,"Stella Jang, Paul Kim",Miracle,,,,2019-11-08,,Paul Kim
2cm,194000,"민서, Paul Kim",The Diary of Youth,,,KR,2019-01-29,,Paul Kim
Star,200000,Paul Kim,Star,,,KR,2022-06-04,,Paul Kim
너에 대하여,198000,Paul Kim,나쁜엄마 OST,,,KR,2023-06-08,,Paul Kim
나를 사랑하지 않는 나에게,280790,Paul Kim,"마음, 하나",,,KR,2019-10-30,,Paul Kim
New Day,242000,Paul Kim,"마음, 하나",,,KR,2019-10-30,,Paul Kim
오늘 밤,231000,Paul Kim,터널,,,KR,2018-01-31,,Paul Kim
나의 봄의 이유,200000,Paul Kim,"마음, 둘",,,KR,2020-04-22,,Paul Kim
우리 만남이,249000,Paul Kim,"마음, 둘",,,KR,2020-04-22,,Paul Kim
터널,246000,"Paul Kim, 박준형",터널,,,KR,2018-01-31,,Paul Kim
"모든 날, 모든 순간",210493,Paul Kim,"키스 먼저 할까요? (Original Television Soundtrack), Pt. 3",,,,2018-03-20,,Paul Kim
너를 만나,280000,Paul Kim,Me After You,,,XW,2018-10-29,,Paul Kim
카톡,234000,Paul Kim,"마음, 둘",,,KR,2020-04-22,,Paul Kim
Stranger,212000,Paul Kim,the Road,,,XW,2017-09-27,,Paul Kim
둘이,297000,Paul Kim,the Road,,,XW,2017-09-27,,Paul Kim
Young Selfish,227840,Paul Kim,"마음, 하나",,,KR,2019-10-30,,Paul Kim
HOLIDAY,202000,Paul Kim,"마음, 둘",,,KR,2020-04-22,,Paul Kim
Goodbye Days,257000,Paul Kim,터널,,,KR,2018-01-31,,Paul Kim
초록빛,225995,Paul Kim,Traffic Light,,,XW,2019-01-17,,Paul Kim
