title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
We Are the One,235107.0,"Raina, Sera Ryu, 달수빈, 가영, 소율, NADA, 유진","MBN Miss Back, Pt. 9",,,XW,2021-01-27,,Raina
달고나,199554.0,"San E, Raina",Sugar & Me,,,XW,2016-06-17,,Raina
Finale,212283.0,"Raina, Sera Ryu, 달수빈, 가영, 소율, NADA, 유진","MBN Miss Back, Pt. 9",,,XW,2021-01-27,,Raina
장난인거 알아 (Feat. 칸토 Of 트로이),221000.0,Raina,Reset,,,KR,2014-10-08,,Raina
맡겨줘,178000.0,Raina,밥 영화 카페,,,KR,2017-07-31,,Raina
We Are the One (Instrumental),235120.0,"Raina, Sera Ryu, 달수빈, 가영, 소율, NADA, 유진","MBN Miss Back, Pt. 9",,,XW,2021-01-27,,Raina
자체발광 (feat. 만성),199000.0,Raina,자체발광 그녀 Part 2,,,KR,2012-02-29,,Raina
Winter Fantasy,,"Raina, Sera Ryu, 달수빈, 가영, 소율, NADA, 유진",MBN 미쓰백 Part.5,,,KR,2020-12-23,,Raina
레파토리,192000.0,Raina,Reset,,,KR,2014-10-08,,Raina
모르겠다,219000.0,Raina,모르겠다,,,KR,2015-11-24,,Raina
I Miss You,204239.0,"Ulzzang Pistol, Raina",I MISS YOU MINI EP,,,XW,2014-09-16,,Raina
한여름밤의 꿀,233000.0,"San E, Raina",한여름밤의 꿀,,,KR,2014-06-12,,Raina
한 때,,"BUMZU, Raina",많지도 + 적지도 : 스물일곱,,,KR,2017-12-27,,Raina
볼래 (Allday Allnight),,"야콥, Raina, 우태운, Dayday",XXX,,,KR,2015-08-18,,Raina
BROKEN HEART,201000.0,"After School, 정아, Raina, 나나, 이영",PLAYGIRLZ,,,JP,2012-03-14,,Raina
밥 영화 카페,231000.0,"Raina, ARON",밥 영화 카페,,,KR,2017-07-31,,Raina
Finale (Instrumental),212283.0,"Raina, Sera Ryu, 달수빈, 가영, 소율, NADA, 유진","MBN Miss Back, Pt. 9",,,XW,2021-01-27,,Raina
이상하자,238000.0,"Raina, 한해, Verbal Jint",이상하자,,,KR,2015-04-24,,Raina
이상하자 (Inst.),238000.0,"Raina, 한해",이상하자,,,KR,2015-04-24,,Raina
流星とピアス,294106.0,Raina,ORANGE CARAMEL,,,JP,2013-03-13,,Raina
Winter Fantasy (Inst.),,"Raina, Sera Ryu, 달수빈, 가영, 소율, NADA, 유진",MBN 미쓰백 Part.5,,,KR,2020-12-23,,Raina
같이 있고 싶어,169000.0,Raina,밥 영화 카페,,,KR,2017-07-31,,Raina
