recording_id,title,release_date,query_artist_name,retrieved_artist_name
02b74ccb-11fd-4bdb-a33c-29b14849ac31,Butterfly,2014-07-14,SEULGI,SEULGI
040c416a-542f-4d7e-b362-d0c4b38b90dd,Who Are You,2021-12-28,SEULGI,SEULGI
0a5fbebd-ec78-4b58-84aa-686858b4e784,Heart Stop,2017-10-16,SEULGI,SEULGI
132219c9-e709-45f7-965c-d978f49da67e,추억의 책장을 넘기면 (주말의 명화 시네마 천국),2016-10-02,SEULGI,SEULGI
1719c5a8-d709-440f-9d78-a4b40355caea,밀지마 (Ballad ver.),2016-07-22,SEULGI,SEULGI
18a340df-2457-4ad9-8646-3384ffb2bce8,"Bad Boy, Sad Girl",2022-10-04,SEULGI,SEULGI
2cd7a162-391d-42ec-a270-065a9bc2dc6f,밀지마 (Ballad ver.) (inst.),2016-07-22,SEULGI,SEULGI
36c9fab5-0684-4464-9790-a7079418d07b,SELFISH,2018-05-23,SEULGI,SEULGI
39a7ac34-259c-4e92-b819-b398f047c7db,우리 하나되어 2021 (inst.),2021-05-17,SEULGI,SEULGI
4ed93f7c-8bc0-4599-97a4-fafd3d46b405,Dead Man Runnin’,2022-10-04,SEULGI,SEULGI
58d861ed-2f9a-40d8-b626-8984be622ef4,그대는 그렇게,2017-09-30,SEULGI,SEULGI
5e64b292-558b-4b24-b760-e8342cb99fbe,인형 (Doll) (inst.),2017-10-27,SEULGI,SEULGI
6585a3c3-adaa-4900-b771-db7750c0ee65,Darling U (inst.),2017-01-22,SEULGI,SEULGI
67b238e2-c355-417c-859b-c293339780e8,28 Reasons (CIFIKA Remix),2023-03-17,SEULGI,SEULGI
6a1d3ab8-dcc3-415c-902b-c32099b77555,Los Angeles (Moksi remix),2023-03-17,SEULGI,SEULGI
78190f9b-a08c-4bbe-8239-95c0aebaedc5,Los Angeles (Moksi Remix),2023-03-17,SEULGI,SEULGI
7aa6b610-46b2-4d48-bf4c-1fab9eb2260e,남녀의 온도차 (Our Story) (Feat. 케이시),2017-02-21,SEULGI,SEULGI
7b08ae52-2d79-458b-8d04-2941e08e724f,멋지게 인사하는 법,2018-10-15,SEULGI,SEULGI
7cf866e4-19ab-404d-b2a7-516663ae9f7f,Always (Inst.),2019-02-12,SEULGI,SEULGI
7ef341a4-b1ef-4e86-82db-fac6e489617c,Crown,2022-10-04,SEULGI,SEULGI
81423c52-3a59-4ec0-be64-b50087cc79b9,28 Reasons (LOOZBONE Remix),2023-03-17,SEULGI,SEULGI
842f8615-4acd-4521-9f8f-450046a1223f,28 Reasons (LOOZBONE remix),2023-03-17,SEULGI,SEULGI
866bfdaa-1d39-4ce6-9bf0-965783884264,Always,2019-02-12,SEULGI,SEULGI
909279f6-5686-4400-a0ec-eda32e68b002,Los Angeles,2022-10-04,SEULGI,SEULGI
995ab367-d103-499a-9bea-d43abecba84a,Hot & Cold (온도차),2022-12-26,SEULGI,SEULGI
9b8a8c66-0acf-4788-9882-e3271186f831,Best Friend,2021-04-05,SEULGI,SEULGI
a345924b-75ae-47f9-9836-51197b43ded8,Rose,2021-06-06,SEULGI,SEULGI
ab28f683-1d67-4974-87cc-c5eec26f71e7,28 Reasons (CIFIKA remix),2023-03-17,SEULGI,SEULGI
afa72c00-2139-403e-888b-5c3ec87b9bcd,Selfish,2020-03-11,SEULGI,SEULGI
b7e28c62-e06b-4fc4-aae8-444558bfed9a,28 Reasons,2022-10-04,SEULGI,SEULGI
baa47fca-f547-4b15-94fe-f3b1d2acfc1e,밀지마 (Original ver.),2016-07-22,SEULGI,SEULGI
c869fee9-6878-4b33-b69f-eca35dcf6816,Wow Thing (inst.),2018-09-28,SEULGI,SEULGI
ca5dada7-33a1-42eb-93ae-e85837d818cd,밀지마 (Original ver.) (inst.),2016-07-22,SEULGI,SEULGI
cb573389-6b2d-4138-9fa3-79eff63f0176,우리 하나되어 2021,2021-05-17,SEULGI,SEULGI
f08f057f-b888-4389-91dc-e150ed707012,우리 하나되어 2021 (3D SOUND),2021-05-17,SEULGI,SEULGI
f257cbe5-1354-4a87-af97-8e55fb0b826a,Wow Thing,2018-09-28,SEULGI,SEULGI
f69a93c0-4de7-48ab-b330-b2eb64cf9608,Darling U,2017-01-22,SEULGI,SEULGI
f9130718-1ac7-42cd-80c9-af0abba176c8,Anywhere but Home,2022-10-04,SEULGI,SEULGI
fd1414a3-9cac-4ba8-bee1-04bbab0121dc,인형 (Doll),2017-10-27,SEULGI,SEULGI
