title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Drop the Beat,69000,"SISTAR, B2K",Shady Girl,,,XW,2010-08-25,,SISTAR
Girls on Top,215849,SISTAR,ALONE,,,KR,2012-04-12,,SISTAR
일주일 (A Week),217000,SISTAR,Give It to Me,,,KR,2013-06-11,,SISTAR
Summer Time,214000,SISTAR,Give It to Me,,,KR,2013-06-11,,SISTAR
No Mercy,199000,SISTAR,ALONE,,,KR,2012-04-12,,SISTAR
나쁜놈,234000,"SISTAR, Mad Clown",SHAKE IT,,,KR,2015-06-22,,SISTAR
Ma Boy,197000,SISTAR,So Cool,,,KR,2011-08-09,,SISTAR
Crying,204000,SISTAR,Give It to Me,,,KR,2013-06-11,,SISTAR
FOR YOU,232000,SISTAR,LONELY,,,KR,2017-05-31,,SISTAR
해볼래,189000,SISTAR,INSANE LOVE,,,XW,2016-06-21,,SISTAR
Push Push (푸시 푸시),187000,SISTAR,Push Push,,,KR,2010-06-03,,SISTAR
LONELY,208000,SISTAR,LONELY,,,KR,2017-05-31,,SISTAR
Lead Me,221000,SISTAR,ALONE,,,KR,2012-04-12,,SISTAR
OK GO!,193000,SISTAR,TOUCH N MOVE,,,KR,2014-07-21,,SISTAR
Come Closer,58000,SISTAR,ALONE,,,KR,2012-04-12,,SISTAR
가식걸 (inst.),194000,SISTAR,Shady Girl,,,XW,2010-08-25,,SISTAR
위 네버 고 얼론 (We Never Go Alone),155000,SISTAR,박지성 공식 응원가 (We Never Go Alone),,,KR,2010-06-16,,SISTAR
One More Day (TAK remix inst.),220000,"SISTAR, Giorgio Moroder",One More Day,,,KR,2016-11-22,,SISTAR
가식걸,194000,SISTAR,So Cool,,,KR,2011-08-09,,SISTAR
Give It to Me (inst.),202000,SISTAR,Give It to Me,,,KR,2013-06-11,,SISTAR
Follow Me,196000,SISTAR,So Cool,,,KR,2011-08-09,,SISTAR
Loving U (러빙유),217000,SISTAR,Loving U,,,KR,2012-06-28,,SISTAR
Let's Get the Party Started,67000,SISTAR,So Cool,,,KR,2011-08-09,,SISTAR
