title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
11:11,227000.0,SIYEON,11:11,,,XW,2017-04-21,,SIYEON
Beautiful,108000.0,SIYEON,Beautiful,,,XW,2017-01-07,,SIYEON
Don't Go Back,207018.0,SIYEON,Queen of Divorce (Original Television Soundtrack) Pt.2,,,XW,2024-02-15,,SIYEON
Don't Go Back Instrumental,207018.0,SIYEON,Queen of Divorce (Original Television Soundtrack) Pt.2,,,XW,2024-02-15,,SIYEON
Eraser,97000.0,SIYEON,Eraser,,,XW,2019-08-29,,SIYEON
"Every Day, Every Moment",184000.0,"SIYEON, HANDONG, GAHYEON","Every Day, Every Moment",,,XW,2019-07-24,,SIYEON
Faded,203000.0,SIYEON,Faded,,,XW,2018-02-04,,SIYEON
Good Sera,210760.0,SIYEON,INTO THE RING (Original Television Soundtrack) Pt. 1,,,XW,2020-07-08,,SIYEON
Good Sera Instrumental,210746.0,SIYEON,INTO THE RING (Original Television Soundtrack) Pt. 1,,,XW,2020-07-08,,SIYEON
Paradise,243000.0,SIYEON,Paradise,,,,2020-01-29,,SIYEON
Paradise,,SIYEON,Into the Night & Dystopia Concert,,,XW,2020-07-04,,SIYEON
Paradise (Inst.),244000.0,SIYEON,Paradise,,,,2020-01-29,,SIYEON
Paradise (Piano ver.),174000.0,SIYEON,Paradise (Piano ver.),,,XW,2020-02-10,,SIYEON
Paradise Lost,,SIYEON,Dystopia: Seven Spirits Live Band Set,,,XW,2020-11-07,,SIYEON
PING PONG,136000.0,"SIYEON, DAMI",PING PONG,,,XW,2021-12-08,,SIYEON
pporappippam,,SIYEON,Halloween Midnight Circus,,,KR,2021-10-30,,SIYEON
Shadow,212000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,SIYEON
Shadow (inst),212000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,SIYEON
Shadow (Slow ver.),213000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,SIYEON
Shadow (Slow ver.) (inst),213000.0,"SIYEON, DAMI",Dark Hole OST Part.2,,,AF,2021-05-14,,SIYEON
Speechless,205000.0,SIYEON,Speechless,,,XW,2019-06-21,,SIYEON
We All Lie,133000.0,SIYEON,We All Lie,,,XW,2019-02-02,,SIYEON
되돌리다,187000.0,SIYEON,되돌리다,,,XW,2021-03-16,,SIYEON
시작,217000.0,SIYEON,시작,,,KR,2023-12-31,,SIYEON
시작 (inst.),217000.0,SIYEON,시작,,,KR,2023-12-31,,SIYEON
정신이 하나 없어,238000.0,SIYEON,"Take Revenge: Original Television Soundtrack, Pt. 1",,,AF,2020-11-21,,SIYEON
정신이 하나 없어 (Inst.),238000.0,SIYEON,"Take Revenge: Original Television Soundtrack, Pt. 1",,,AF,2020-11-21,,SIYEON
황홀경 (极夜),212786.0,SIYEON,[Apocalypse : Save us],,,KR,2022-04-12,,SIYEON
황홀경 (极夜),220000.0,SIYEON,황홀경 (极夜),,,XW,2022-06-30,,SIYEON
