title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Angel Eyes,237000.0,SMTOWN,Winter Vacation in SMTOWN.com: Angel Eyes,,,KR,2001-12-04,,SMTOWN
Dear My Family,327533.0,SMTOWN,...之愛,,,KR,2001-11-06,,SMTOWN
Hello! Summer!,,SMTOWN,2003 Summer Vacation in SMTown.com,,,KR,2003-06-18,,SMTOWN
Hot Mail,238000.0,SMTOWN,'04 Summer Vacation in SMTOWN.com,,,KR,2004-07-02,,SMTOWN
Jingle Bell,215000.0,SMTOWN,Christmas in SMTOWN.com,,,KR,1999-12-14,,SMTOWN
My Angel My Light,212000.0,SMTOWN,2002 Winter Vacation in SMTOWN.com,,,XW,2002-12-01,,SMTOWN
Prologue For SMTOWN,,SMTOWN,2007 Summer SMTOWN,,,KR,2007-07-05,,SMTOWN
Snow Dream,224000.0,SMTOWN,06 WINTER SMTOWN,,,XW,2006-12-12,,SMTOWN
Snowflake,218000.0,SMTOWN,2003 Winter Vacation in SMTOWN.com,,,KR,2003-12-04,,SMTOWN
Summer Vacation,249106.0,SMTOWN,'02 Summer Vacation in SMTOWN.com,,,KR,2002-06-01,,SMTOWN
"This is Your Day (for every child, UNICEF)",244253.0,SMTOWN,STATION X 4 LOVEs for Winter Part.1,,,XW,2019-11-20,,SMTOWN
너의 목소리 (Sound of Your Heart),241000.0,"SMTOWN, Steve Barakatt",너의 목소리 (Sound of Your Heart),,,KR,2016-12-30,,SMTOWN
빛 (Hope from KWANGYA),333399.0,SMTOWN,2021 Winter SMTOWN : SMCU EXPRESS,,,KR,2021-12-27,,SMTOWN
사랑 하나죠 (Only Love),269000.0,SMTOWN,07 WINTER SMTOWN,,,XW,2007-12-07,,SMTOWN
여행을 떠나요,,SMTOWN,2007 Summer SMTOWN,,,KR,2007-07-05,,SMTOWN
창밖을 봐요 (Waiting for White Christmas),268000.0,SMTOWN,Winter Vacation in SMTOWN.com,,,KR,2000-12-08,,SMTOWN
태양은 가득히 (Red Sun),,SMTOWN,'06 SUMMER SMTOWN,,,KR,2006-06-21,,SMTOWN
