title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
C'MON,181026.0,SUPER JUNIOR‐L.S.S.,C'MON,,,XW,2024-02-03,,SUPER JUNIOR‐L.S.S.
CEREMONY,193906.0,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2014-01-17,,SUPER JUNIOR‐L.S.S.
Dorothy,,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2024-01-17,,SUPER JUNIOR‐L.S.S.
Hairspray,,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2024-01-17,,SUPER JUNIOR‐L.S.S.
LA-TTE,,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2024-01-17,,SUPER JUNIOR‐L.S.S.
Memories ～ Andante ～ One More Chance,,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2024-01-17,,SUPER JUNIOR‐L.S.S.
Miracle,,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2024-01-17,,SUPER JUNIOR‐L.S.S.
NEW ROAD,208626.0,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2014-01-17,,SUPER JUNIOR‐L.S.S.
Old Skool,192000.0,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2014-01-17,,SUPER JUNIOR‐L.S.S.
Suit Up,182360.0,SUPER JUNIOR‐L.S.S.,Suit Up,,,XW,2024-01-22,,SUPER JUNIOR‐L.S.S.
SUPERMAN,,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2024-01-17,,SUPER JUNIOR‐L.S.S.
シャッター閉めろ,148533.0,SUPER JUNIOR‐L.S.S.,Let's Standing Show,,,JP,2014-01-17,,SUPER JUNIOR‐L.S.S.
조크든요 (JOKE),154000.0,SUPER JUNIOR‐L.S.S.,JOKE,,,,2024-02-08,,SUPER JUNIOR‐L.S.S.
