recording_id,title,release_date,query_artist_name,retrieved_artist_name
010288a5-c0f1-4e2c-8500-51e9927b7564,Mess,2018-07-14,Silly Silky,Silly Silky
06206576-eb6e-4fb6-a497-e51c606fb0aa,Text Me Back (inst.),2022-10-09,Silly Silky,Silly Silky
0dc5f07a-5c93-41d3-a2d1-6a9e56d331fc,Damn,2018-07-14,Silly Silky,Silly Silky
112b62f7-edda-41f5-8f8f-a15e89a5f243,Happy Accident,2024-01-04,Silly Silky,Silly Silky
1655fa2c-1c4f-41f9-9c9c-3a8724cfc36d,AROMA (acapella.),2023-09-01,Silly Silky,Silly Silky
1d6d9647-8f23-4ec8-919b-cbfdd001d699,You know I won’t cry,2024-01-04,Silly Silky,Silly Silky
2fc0fce7-0f8d-49a0-804f-55a7a09926b1,Bounce Back,2022-10-09,Silly Silky,Silly Silky
32778c09-546d-479b-84c5-a87531e4e209,Rude,2017-07-30,Silly Silky,Silly Silky
3375c224-db29-4fdb-a8fc-fe169c60ed3f,CYNICAL (inst.),2023-04-21,Silly Silky,Silly Silky
38d97381-fbbe-4256-967a-8c94bf9e25fe,SuperStar Glow,2024-01-04,Silly Silky,Silly Silky
3a45df3a-2c61-4349-8053-d11e6e94438e,Melodrama Eyes,2024-01-04,Silly Silky,Silly Silky
3b3ff68d-b6ec-422f-a30a-c0f7a32e1cc1,Let It All Go (acapella),2016-07-26,Silly Silky,Silly Silky
3d9c6b86-71f6-4aa8-8ded-e2b737dee2bc,Blar Blar,2022-10-22,Silly Silky,Silly Silky
3ff73931-8ea5-4287-8bc8-5c0038c88e66,BB New Attitude (inst.),2023-07-24,Silly Silky,Silly Silky
41285e5b-b326-49aa-b208-5b66d0c7a571,Million Things,2017-07-30,Silly Silky,Silly Silky
4364bb70-1de6-46db-b52b-33dc5e16acfd,Cigarette Light,2018-07-14,Silly Silky,Silly Silky
476eb1da-5064-4501-af99-131dd93d0a93,Bud (IMLAY remix),2016-12-08,Silly Silky,Silly Silky
4a6c5ade-4d59-4032-bb88-a4eb5d6761de,HOT HAND,2019-07-15,Silly Silky,Silly Silky
4e08e184-3cb4-4de4-a530-d846cbe6069a,Free Up (inst.),2021-09-21,Silly Silky,Silly Silky
4fd05d39-7784-406b-810c-12fa46502100,CYNICAL (acapella.),2023-04-21,Silly Silky,Silly Silky
50d838a3-523a-4830-9a65-e8bea7c0ad36,"Honey, Don’t Kill My Vibe",2018-07-14,Silly Silky,Silly Silky
53ee740d-6b5e-414b-a46d-b709e157e657,Drama Queen (inst.),2022-10-09,Silly Silky,Silly Silky
5ae6e0ca-609e-473f-93bb-e6365f41931a,HOT HAND (inst.),2019-07-15,Silly Silky,Silly Silky
5aff77dc-d9ad-42dd-a203-ab78918e98a8,Privacy,2018-03-16,Silly Silky,Silly Silky
5b4f78db-d32d-438e-9802-6f7f1f3f1a82,Completely Blown Me Away (acapella.),2023-06-02,Silly Silky,Silly Silky
5d352e3f-0081-4b5e-a064-e44ae9dbaa85,Broken Water,2020-09-21,Silly Silky,Silly Silky
5d4096dd-705f-4a61-91e9-f413c56b8b8a,Do It Like Me,2018-07-14,Silly Silky,Silly Silky
5e4be4fc-6863-48f3-a94f-0335e57bcceb,Youthful Kids,2021-09-21,Silly Silky,Silly Silky
6028525c-e50b-4a6b-8e73-dc2329e29150,Strawberry Cake,2022-10-22,Silly Silky,Silly Silky
65285a36-94db-49f2-b16d-cfab065c417a,Fill my holes,2017-02-24,Silly Silky,Silly Silky
6901ecdd-b745-40cc-b453-767f6b3ab50c,Blar Blar (inst.),2022-10-22,Silly Silky,Silly Silky
6a1dbd7f-cccc-4741-b66b-c34bcbe5b889,Let It All Go (inst.),2016-07-26,Silly Silky,Silly Silky
6d5d63ff-bc31-4a5a-9d08-822c3072ef82,No City For Love,2017-02-24,Silly Silky,Silly Silky
701a1a07-e1bf-4d50-8199-5387e27a2e6f,Heroine (inst.),2022-10-22,Silly Silky,Silly Silky
72010143-715a-49f2-b307-a5bd5fb5c6cb,What Is a Yogic Flying?,2018-07-14,Silly Silky,Silly Silky
722f219e-bb60-4d34-b8ce-d4552e56ab8c,Deeper Than Love,2017-07-30,Silly Silky,Silly Silky
7604f6d1-45ec-4954-870e-bcfb3edf0d3e,Completely Blown Me Away (inst.),2023-06-02,Silly Silky,Silly Silky
77bde44f-aeb4-426a-b70b-93650ad3dc30,Free Up,2021-09-21,Silly Silky,Silly Silky
78a06c29-8c16-4fa6-8377-37f02307dcac,Youthful Kids (inst.),2021-09-21,Silly Silky,Silly Silky
78c88ba4-fbe5-40e2-9d52-b2105bc9eadc,공중에 (Lazy Mary Jane),2017-07-30,Silly Silky,Silly Silky
80350bd8-1ce7-4dae-94ca-2528805b551e,MEANT 2 BE,2024-01-04,Silly Silky,Silly Silky
809e659b-4115-4498-a879-5d76ceba940c,Better Me,2020-09-21,Silly Silky,Silly Silky
81153365-3918-4b30-831c-759dc9e5e84b,Band‐Aid,2024-01-04,Silly Silky,Silly Silky
888488a8-d30e-440a-be0f-0df5e8303b33,STEP,2022-11-16,Silly Silky,Silly Silky
8b405056-2206-4c67-ac8b-cf6bd0ba34af,Privacy (inst.),2018-03-16,Silly Silky,Silly Silky
8c74c276-e592-41cf-9629-f7b0751011a9,Save The World,2021-02-24,Silly Silky,Silly Silky
8d9a84db-4597-409c-b443-c5dc69c910f2,AROMA,2023-09-01,Silly Silky,Silly Silky
8f55a522-dae0-4ce7-89a4-495c2b500fd2,Scuba‐Diving,2024-01-04,Silly Silky,Silly Silky
91ca3dd7-9862-4f17-bcca-74e59675d9c5,Long Distance,2019-06-21,Silly Silky,Silly Silky
98da8a92-28f0-4946-a69b-6a229181e24f,Heroine,2022-10-22,Silly Silky,Silly Silky
9931db08-cfda-4ab8-8586-4149a77074bb,Bird’s Flight,2020-09-21,Silly Silky,Silly Silky
9ae0454d-dc35-4071-b79a-60c61d458501,No City For Love (inst.),2017-02-24,Silly Silky,Silly Silky
9b525459-39ac-4a8a-bdb8-ff4eb6a14517,Beautiful Creature,2020-09-21,Silly Silky,Silly Silky
9c59c441-bff3-48c4-bca9-efa993db08db,Let It All Go,2016-07-26,Silly Silky,Silly Silky
a475f771-1a44-4872-b55e-7dc7d533534d,I Don’t Give A,2018-07-14,Silly Silky,Silly Silky
a5d37f27-af8b-455e-a949-d7f1bd40fa47,Try! (intro),2021-09-21,Silly Silky,Silly Silky
a76750b0-9296-45cc-831c-9a4f33ecf39d,Brain Sex,2018-07-14,Silly Silky,Silly Silky
a9ac75dd-a79e-4dda-94cc-82c9b67124ef,Strawberry Cake (inst.),2022-10-22,Silly Silky,Silly Silky
aa3038c9-056e-4499-b909-e1ff6ee13306,Blood Stream,2020-09-21,Silly Silky,Silly Silky
