title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Catacombs Under My Bed,257000.0,Skull,Poison in the Bones,,,PE,2009,,Skull
Cut Throat,278000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
Lonely Wolf,185000.0,Skull,Armado Hasta Los Huesos,,,CL,2009-02,,Skull
Demential Force,234000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Skull (live),239000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Zombie Soldier,289000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
New Age of Total Warfare,129000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Lonely Wolf (live),199000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Triangle of Evil,,Skull,Metal to the Bone,,,CO,2015,,Skull
Metal to the Bone,,Skull,Metal to the Bone,,,CO,2015,,Skull
Techno-Chaotic Drama,,Skull,Metal to the Bone,,,CO,2015,,Skull
Metal to the bone,,Skull,Suramérica Hasta El Hueso,,,CO,2006-03-01,,Skull
Road Warrior,,Skull,Metal to the Bone,,,CO,2015,,Skull
Skull [El Vivo],,Skull,Suramérica Hasta El Hueso,,,CO,2006-03-01,,Skull
Metal to the Bone,330000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
Covered by the Night,,Skull,Metal to the Bone,,,CO,2015,,Skull
Thrasher [Or What?],,Skull,Suramérica Hasta El Hueso,,,CO,2006-03-01,,Skull
A Night of the Battle City,271000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
Betrayal,,Skull,Suramérica Hasta El Hueso,,,CO,2006-03-01,,Skull
Thrasher (Or What?),292000.0,Skull,Armado Hasta Los Huesos,,,CL,2009-02,,Skull
Absolutely Paranoiac,201000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
A Night of the Battle City,271000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Speed Metal,172000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
On the Rocks,240000.0,Skull,Poison in the Bones,,,PE,2009,,Skull
Chronium,362000.0,Skull,Poison in the Bones,,,PE,2009,,Skull
Insurrector,289000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
Catacombs Under My Bed,259000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Demential Force,,Skull,Suramérica Hasta El Hueso,,,CO,2006-03-01,,Skull
Evil Hordes (demo version),300000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Pinning the Bone (intro),,Skull,Metal to the Bone,,,CO,2015,,Skull
Terrible Ace,265000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Catacombs Under My Bed,262000.0,Skull,Armado Hasta Los Huesos,,,CL,2009-02,,Skull
Absolutely Paranoiac,202000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Skull,227000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Lonely Wolf,190000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
Obsidian Mirror,,Skull,Metal to the Bone,,,CO,2015,,Skull
Metal to the Bone,331000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Pripyat's Twilight,,Skull,Metal to the Bone,,,CO,2015,,Skull
Evil Hordes,292000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Iron Heads,219000.0,Skull,Poison in the Bones,,,PE,2009,,Skull
Betrayer,194000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Ferro,372000.0,Skull,A Night of the Battle City,,,CO,2009,,Skull
Mig 25 (Foxbat),,Skull,Metal to the Bone,,,CO,2015,,Skull
Insurrector,,Skull,Suramérica Hasta El Hueso,,,CO,2006-03-01,,Skull
Thrasher (Or What?),283000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Born to Be Drunk,,Skull,Metal to the Bone,,,CO,2015,,Skull
Road Warrior,268000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Insurrector,241000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Cut Throat,,Skull,Suramérica Hasta El Hueso,,,CO,2006-03-01,,Skull
Speed Metal,172000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Demential Force (live),235000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Zombie Soldier,286000.0,Skull,Armado Hasta Los Huesos,,,CL,2009-02,,Skull
Armoured Division,367000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Demential Force,234000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Machine Gun,267000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Skull (live),239000.0,Skull,"Beer, Metal, Spikes",,,US,2005-06,,Skull
Menace From the Third World,,Skull,Metal to the Bone,,,CO,2015,,Skull
Betrayer,194000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
Master of Disaster,194000.0,Skull,Collection of Craniums - The Worst of Skull,,,CO,2013-04-08,,Skull
