title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
2 KIDS,213000.0,TAEMIN,Never Gonna Dance Again : Act 1,,,KR,2020-09-07,,TAEMIN
Ace,238000.0,TAEMIN,ACE,,,KR,2014-08-18,,TAEMIN
Advice,191000.0,TAEMIN,Advice,,,XW,2021-05-18,,TAEMIN
Artistic Groove,217000.0,TAEMIN,WANT,,,KR,2019-02-11,,TAEMIN
Back to You,217000.0,TAEMIN,MOVE,,,KR,2017-10-16,,TAEMIN
Be Your Enemy,215000.0,"TAEMIN, WENDY",Never Gonna Dance Again : Act 2,,,KR,2020-11-09,,TAEMIN
Behind the scenes of Visual Makings,,TAEMIN,FAMOUS,,,JP,2019-08-28,,TAEMIN
Better Man,,TAEMIN,TAEMIN,,,JP,2018-11-28,,TAEMIN
Blue,198746.0,TAEMIN,Guilty,,,XW,2023-10-30,,TAEMIN
Clockwork,227000.0,TAEMIN,Never Gonna Dance Again : Act 1,,,KR,2020-09-07,,TAEMIN
Colours,200000.0,TAEMIN,FAMOUS,,,XW,2019-08-04,,TAEMIN
Crazy 4 U,215000.0,TAEMIN,MOVE,,,KR,2017-10-16,,TAEMIN
Criminal,211000.0,TAEMIN,Never Gonna Dance Again : Act 1,,,KR,2020-09-07,,TAEMIN
Danger,,TAEMIN,TAEMIN,,,JP,2018-11-28,,TAEMIN
Do It Baby,162000.0,TAEMIN,Flame of Love,,,JP,2017-07-18,,TAEMIN
DOOR,237000.0,TAEMIN,Flame of Love,,,JP,2017-07-18,,TAEMIN
Draw,243000.0,TAEMIN,Draw (No Office Romance! X TAEMIN) (Original Webtoon Soundtrack),,,XW,2023-11-28,,TAEMIN
Drip Drop,205000.0,TAEMIN,Press It,,,KR,2016-02-23,,TAEMIN
ECLIPSE,208987.0,TAEMIN,ECLIPSE,,,XW,2018-09-26,,TAEMIN
Exclusive,203000.0,TAEMIN,FAMOUS,,,XW,2019-08-04,,TAEMIN
Experience,193000.0,TAEMIN,ACE,,,KR,2014-08-18,,TAEMIN
Famous,180000.0,TAEMIN,Famous,,,GB,2019-07-27,,TAEMIN
FINAL DRAGON,279000.0,TAEMIN,さよならひとり,,,JP,2016-07-27,,TAEMIN
Flame of Love,234000.0,TAEMIN,Flame of Love,,,JP,2017-07-18,,TAEMIN
Goodbye (さよならひとり) (Korean Ver.),210000.0,TAEMIN,Goodbye (さよならひとり),,,KR,2016-08-03,,TAEMIN
Guess Who,207000.0,TAEMIN,Press It,,,KR,2016-02-23,,TAEMIN
Guilty,190173.0,TAEMIN,Guilty,,,XW,2023-10-30,,TAEMIN
Heart Stop,175000.0,"TAEMIN, SEULGI",MOVE,,,KR,2017-10-16,,TAEMIN
Heaven,182000.0,TAEMIN,Never Gonna Dance Again : Act 2,,,KR,2020-11-09,,TAEMIN
HOLY WATER,,TAEMIN,TAEMIN,,,JP,2018-11-28,,TAEMIN
I'm Crying,345000.0,TAEMIN,Flame of Love,,,JP,2017-07-18,,TAEMIN
Identity,182000.0,TAEMIN,Never Gonna Dance Again : Act 2,,,KR,2020-11-09,,TAEMIN
If I could tell you,197000.0,"TAEMIN, TAEYEON",Advice,,,XW,2021-05-18,,TAEMIN
Inside of 「さよならひとり」,1058000.0,TAEMIN,さよならひとり,,,JP,2016-07-27,,TAEMIN
Into The Rhythm,,TAEMIN,TAEMIN,,,JP,2018-11-28,,TAEMIN
It's you,243000.0,TAEMIN,FAMOUS,,,XW,2019-08-04,,TAEMIN
Jacket & Music Video Shooting Sketch,,TAEMIN,Flame of Love,,,JP,2017-07-18,,TAEMIN
Just Me And You,214000.0,TAEMIN,Never Gonna Dance Again : Act 1,,,KR,2020-09-07,,TAEMIN
Light,199000.0,TAEMIN,Advice,,,XW,2021-05-18,,TAEMIN
Love,229000.0,TAEMIN,MOVE,,,KR,2017-10-16,,TAEMIN
MARS,232000.0,TAEMIN,MARS,,,XW,2018-10-14,,TAEMIN
MOVE,211000.0,TAEMIN,MOVE,,,KR,2017-10-16,,TAEMIN
My Day,186000.0,TAEMIN,"Navillera (Original Television Soundtrack), Pt. 1",,,XW,2021-03-30,,TAEMIN
Never Forever,168000.0,TAEMIN,WANT,,,KR,2019-02-11,,TAEMIN
Night Away,176666.0,TAEMIN,Guilty,,,XW,2023-10-30,,TAEMIN
Not Over You,213733.0,TAEMIN,Guilty,,,XW,2023-10-30,,TAEMIN
One By One,239000.0,TAEMIN,Press It,,,KR,2016-02-23,,TAEMIN
Pansy,230000.0,TAEMIN,Never Gonna Dance Again : Act 2,,,KR,2020-11-09,,TAEMIN
Press Your Number,226000.0,TAEMIN,Press It,,,KR,2016-02-23,,TAEMIN
Pretty Boy,223000.0,"TAEMIN, KAI",ACE,,,KR,2014-08-18,,TAEMIN
Rise (이카루스),211000.0,TAEMIN,MOVE,,,KR,2017-10-16,,TAEMIN
SAD KIDS,201000.0,TAEMIN,Advice,,,XW,2021-05-18,,TAEMIN
Sexuality,220000.0,TAEMIN,Press It,,,KR,2016-02-23,,TAEMIN
Shadow,189000.0,TAEMIN,WANT,,,KR,2019-02-11,,TAEMIN
Slave,209000.0,TAEMIN,FAMOUS,,,XW,2019-08-04,,TAEMIN
