title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
AROUND (inst.),140000,"Hitchhiker, TAEYONG",AROUND,,,KR,2017-05-12,,TAEYONG
TAP,157906,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Back to the Past,195000,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
LIT,195000,"TAEYONG, MARK",Street Man Fighter Original Vol.4,,,XW,2022-09-20,,TAEYONG
夜話 (City Lights) (Sung by U-Know),204000,"東方神起, TAEYONG",New Chapter #2 : The Truth of Love,,,KR,2018-12-26,,TAEYONG
Long Flight (inst.),198000,TAEYONG,Long Flight,,,KR,2019-07-18,,TAEYONG
The Cure,220000,"강타, BoA, 유노윤호, TAEYEON, 이특, ONEW, SUHO, IRENE, TAEYONG, MARK, 乾坤, 카리나",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,TAEYONG
夜話 (City Lights),203684,"東方神起, TAEYONG",New Chapter #2 : The Truth of Love,,,KR,2018-12-26,,TAEYONG
Run Away,178640,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
APE,193253,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Jet,208000,"은혁, HYO, TAEYONG, 재민, 성찬, 윈터, 지젤",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,TAEYONG
샤랄라 (SHALALA),201107,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
함께 (Cure),265000,"유영진, TAEYONG",함께 (Cure),,,KR,2017-08-05,,TAEYONG
Move Mood Mode,174360,"TAEYONG, WENDY",SHALALA,,,KR,2023-06-05,,TAEYONG
ZOO,177413,"TAEYONG, JENO, 黄冠亨, 刘扬扬, 지젤",2021 Winter SMTOWN : SMCU EXPRESS,,,KR,2021-12-27,,TAEYONG
Long Flight,198000,TAEYONG,Long Flight,,,KR,2019-07-18,,TAEYONG
Be Natural,221000,"Red Velvet, TAEYONG",Be Natural,,,,2014-10-09,,TAEYONG
관둬 (GWANDO),217280,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
Time,184000,"Hitchhiker, SUNNY, HYO, TAEYONG",Time,,,XW,2018-08-29,,TAEYONG
AROUND,140000,"Hitchhiker, TAEYONG",AROUND,,,KR,2017-05-12,,TAEYONG
Rose,230504,"TAEYONG, SEULGI",Rose - Single,,,KR,2021-06-06,,TAEYONG
404 Loading,244293,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
RUBY,198267,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
함께 (Cure) (inst.),265000,"유영진, TAEYONG",함께 (Cure),,,KR,2017-08-05,,TAEYONG
DIAMONDS,191000,"SURAN, TAEYONG",FLYIN' PART 1,,,KR,2022-03-30,,TAEYONG
Swipe,186400,"TAEYONG, TEN",Street Woman Fighter2 (SWF2) Class Mission,,,XW,2023-09-05,,TAEYONG
Moon Tour,191186,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
Love Theory (Instrumental),199000,"TAEYONG, Wonstein",Love Theory - SM STATION,,,XW,2022-04-14,,TAEYONG
Virtual Insanity,179093,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
Love Theory,199000,"TAEYONG, Wonstein",Love Theory - SM STATION,,,XW,2022-04-14,,TAEYONG
Ups & Downs,198786,TAEYONG,TAP,,,XW,2024-02-26,,TAEYONG
404 File Not Found,244027,TAEYONG,SHALALA,,,KR,2023-06-05,,TAEYONG
Mood,168111,"Marteen, TAEYONG",8,,,US,2019-11-08,,TAEYONG
Be Natural,278000,"Red Velvet, TAEYONG",Be Natural,,,KR,2014-10-09,,TAEYONG
Skip,174000,"강타, TAEYONG",Eyes on You,,,KR,2022-09-07,,TAEYONG
러브 델루나,268000,"TAEYONG, Punch",Hotel Del Luna OST,,,KR,2019-08-31,,TAEYONG
