title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
- --- -- --- .-. .-. --- .--,8000.0,TOMORROW X TOGETHER,minisode 3: TOMORROW,,,KR,2024-01-14,,TOMORROW X TOGETHER
0X1=LOVESONG (I Know I Love You),202000.0,"TOMORROW X TOGETHER, Seori",The Chaos Chapter: FREEZE,,,XW,2021-05-31,,TOMORROW X TOGETHER
20cm,217000.0,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,,,XW,2019-10-21,,TOMORROW X TOGETHER
5時53分の空で見つけた君と僕 [Japanese Ver.],210000.0,TOMORROW X TOGETHER,STILL DREAMING,,,XW,2021-01-19,,TOMORROW X TOGETHER
5시 53분의 하늘에서 발견한 너와 나,209000.0,TOMORROW X TOGETHER,minisode1 : Blue Hour,,,KR,2020-10-26,,TOMORROW X TOGETHER
9 and Three Quarters (Run Away),212000.0,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,,,XW,2019-10-21,,TOMORROW X TOGETHER
9と4分の3番線で君を待つ (Run Away) [Japanese Ver.],211000.0,TOMORROW X TOGETHER,STILL DREAMING,,,XW,2021-01-19,,TOMORROW X TOGETHER
9と4分の3番線で君を待つ(Run Away) [Japanese Ver.],211000.0,TOMORROW X TOGETHER,MAGIC HOUR,,,JP,2020-01-15,,TOMORROW X TOGETHER
9와 4분의 3 승강장에서 너를 기다려 (Run Away),212000.0,TOMORROW X TOGETHER,The Dream Chapter : Magic,,,KR,2019-10-21,,TOMORROW X TOGETHER
Angel or Devil,232000.0,TOMORROW X TOGETHER,The Dream Chapter : Magic,,,KR,2019-10-21,,TOMORROW X TOGETHER
Anti‐Romantic,215000.0,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,,,XW,2021-05-31,,TOMORROW X TOGETHER
Back for More,131000.0,"TOMORROW X TOGETHER, Anitta",Back for More,,,XW,2023-09-15,,TOMORROW X TOGETHER
Blue Orangeade,186000.0,TOMORROW X TOGETHER,The Dream Chapter: STAR,,,KR,2019-03-04,,TOMORROW X TOGETHER
Blue Spring,188173.0,TOMORROW X TOGETHER,The Name Chapter: FREEFALL (GRAVITY),,,US,2023-10-13,,TOMORROW X TOGETHER
Can't We Just Leave the Monster Alive?,231000.0,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,,,XW,2019-10-21,,TOMORROW X TOGETHER
Can't You See Me?,201000.0,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,,,XW,2020-05-18,,TOMORROW X TOGETHER
