recording_id,title,release_date,query_artist_name,retrieved_artist_name
0399cfc0-0f31-4418-b6a4-c8bf0e1435ae,“CHEER UP” M/V TEASER 1,2016-09-30,TWICE,TWICE
084a576b-0f53-4b08-aec4-ed41794eb4fa,「BRAND NEW GIRL」Music Video,2018-05-16,TWICE,TWICE
09438b5d-7177-4c94-bda2-bf25962f95a3,「I CAN’T STOP ME -Japanese ver.-」Music Video,2022-03-16,TWICE,TWICE
09bd319f-99ca-4c3f-b8f4-05e6af9f93ae,「I WANT YOU BACK」Music Video,2018-09-12,TWICE,TWICE
103d440a-2514-46df-a69e-f4699f341da3,「YES or YES -Japanese ver.-」Music Video,2019-03-06,TWICE,TWICE
12e57b25-3f88-4215-83ba-eb60a429533a,「Doughnut」Music Video Other ver.,2022-07-27,TWICE,TWICE
14ddd797-963e-4697-9214-7fc148e77682,「What is Love? -Japanese ver.-」Music Video,2019-03-06,TWICE,TWICE
1923fc73-97ba-45dd-9304-c3fba2427af5,「Wonderful Day」Member Selfie Movie,2022-07-27,TWICE,TWICE
1aa71871-eac4-46d9-b5bb-995420532bcf,“CHEER UP” TEASER 4,2016-09-30,TWICE,TWICE
1c4d363d-4bfd-4e69-82c8-ab3fd3215eaa,Alcohol‐Free,2021-06-09,TWICE,TWICE
1d94596b-b8dc-4ceb-9baf-b5870a8f12b2,「HAPPY HAPPY」Music Video,2019-07-17,TWICE,TWICE
21160856-d164-4edb-ae83-f833936fc4dd,「SCIENTIST -Japanese ver.-」Music Video Making Movie,2022-03-16,TWICE,TWICE
23dad0de-d72d-4dc2-90f1-c5c71c2bba65,「MORE & MORE」Music Video,2022-03-16,TWICE,TWICE
24db4552-4130-4476-82fc-3c6803d4f4bc,“Like OOH‐AHH” MV BEHIND,2015-12-11,TWICE,TWICE
32562e3c-5ff2-43dd-9393-8a6d8d583add,「LIKEY -Japanese ver.-」Music Video Making Movie,2019-03-06,TWICE,TWICE
38d83df9-aa11-490a-964c-10474bc4cb90,「Kura Kura」Music Video,2021-07-28,TWICE,TWICE
3a584de5-a361-4122-b7b5-87b98d776d41,“THE STORY BEGINS” JACKET MAKING FILM,2015-12-11,TWICE,TWICE
3b9c8bb4-4af6-4e28-822e-172baa97cd4a,“CHEER UP” TEASER 3,2016-09-30,TWICE,TWICE
3cacb5e1-b1c1-485a-95e4-3e841e5052df,「I CAN’T STOP ME」Music Video,2022-03-16,TWICE,TWICE
3e53b9c5-9d40-48b5-9985-253ab0a6908b,「Breakthrough」Music Video Making Movie,2019-07-24,TWICE,TWICE
3fe911ad-c65c-44dc-b47f-b82cc7bf5d03,「BETTER」Music Video Lip sync ver.,2021-07-28,TWICE,TWICE
