title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Because It's You,203000.0,Tiffany Young,Love Rain,,,KR,2012-03,,Tiffany Young
Born Again,192982.0,Tiffany Young,Born Again,,,US,2019-01-25,,Tiffany Young
FOOL,208000.0,Tiffany Young,I Just Wanna Dance,,,XW,2016-05-11,,Tiffany Young
Heartbreak Hotel,264000.0,Tiffany Young,Heartbreak Hotel - SM STATION,,,XW,2016-06-09,,Tiffany Young
I Just Wanna Dance,209000.0,Tiffany Young,I Just Wanna Dance,,,XW,2016-05-11,,Tiffany Young
Lips on Lips,203000.0,Tiffany Young,Lips on Lips,,,XW,2019-02-22,,Tiffany Young
Mabinogi (It's Fantastic!),214000.0,"Tiffany Young, Jessica, 서현",마비노기 OST - It's Fantastic!,,,KR,2008-08-01,,Tiffany Young
Magnetic Moon,194000.0,Tiffany Young,Magnetic Moon,,,XW,2019-08-02,,Tiffany Young
Not Barbie,225000.0,Tiffany Young,Lips on Lips,,,XW,2019-02-22,,Tiffany Young
Once in a Lifetime,231000.0,Tiffany Young,I Just Wanna Dance,,,XW,2016-05-11,,Tiffany Young
Only One,200000.0,Tiffany Young,블러드 OST Part 1,,,KR,2015-02-24,,Tiffany Young
Over My Skin,176000.0,Tiffany Young,Over My Skin,,,US,2018-06-28,,Tiffany Young
Peppermint,205736.0,Tiffany Young,Peppermint,,,US,2018-11-30,,Tiffany Young
Remember Me,141000.0,Tiffany Young,Remember Me,,,XW,2018-03-14,,Tiffany Young
Run for Your Life,164331.0,Tiffany Young,Run for Your Life,,,XW,2019-10-11,,Tiffany Young
Runaway,165000.0,"Tiffany Young, Babyface",Lips on Lips,,,XW,2019-02-22,,Tiffany Young
TALK,214000.0,Tiffany Young,I Just Wanna Dance,,,XW,2016-05-11,,Tiffany Young
Teach You,186000.0,Tiffany Young,Teach You,,,US,2018-09-28,,Tiffany Young
The Flower,233000.0,Tiffany Young,Lips on Lips,,,XW,2019-02-22,,Tiffany Young
UMBRELLA,199080.0,Tiffany Young,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Tiffany Young
What Do I Do,183000.0,Tiffany Young,I Just Wanna Dance,,,XW,2016-05-11,,Tiffany Young
Yellow Light,202000.0,Tiffany Young,I Just Wanna Dance,,,XW,2016-05-11,,Tiffany Young
그대니까요,201000.0,Tiffany Young,사랑비 OST Third Single,,,KR,2012-04-10,,Tiffany Young
나 혼자서,254000.0,Tiffany Young,자명고 OST,,,KR,2009-03-26,,Tiffany Young
반지 (Banji),214000.0,Tiffany Young,하루 OST Part.2,,,KR,2010-10-15,,Tiffany Young
한걸음,257000.0,Tiffany Young,All about my romance OST Part 2,,,XW,2013-04-17,,Tiffany Young
