title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Why Can’t You Love Me?,168000.0,WENDY,Like Water,,,KR,2021-04-05,,WENDY
Have Yourself a Merry Little Christmas,291000.0,"WENDY, 문정재, 이나일",Have Yourself a Merry Little Christmas,,,KR,2016-12-23,,WENDY
밀지마 (Ballad ver.),204000.0,"WENDY, SEULGI",함부로 애틋하게 OST Part 7,,,KR,2016-07-22,,WENDY
Girls,276057.0,WENDY,Seoul Check‐in OST Part 1,,,XW,2022-04-09,,WENDY
What If Love,221640.0,WENDY,Touch Your Heart OST,,,KR,2019-03-28,,WENDY
공항로,247000.0,"검정치마, WENDY",Airport Goodbyes,,,XW,2021-12-01,,WENDY
밀지마 (Ballad ver.) (inst.),204000.0,"WENDY, SEULGI",함부로 애틋하게 OST Part 7,,,KR,2016-07-22,,WENDY
봄인가 봐 (Spring Love) (inst.),198000.0,"Eric Nam, WENDY",봄인가 봐 (Spring Love),,,KR,2016-03-04,,WENDY
Have Yourself a Merry Little Christmas (inst.),291000.0,"WENDY, 문정재, 이나일",Have Yourself a Merry Little Christmas,,,KR,2016-12-23,,WENDY
봄인가 봐 (Spring Love),198000.0,"Eric Nam, WENDY",봄인가 봐 (Spring Love),,,KR,2016-03-04,,WENDY
Better Judgement,169787.0,WENDY,Wish You Hell,,,KR,2024-03-12,,WENDY
Be Your Enemy,215000.0,"TAEMIN, WENDY",Never Gonna Dance Again : Act 2,,,KR,2020-11-09,,WENDY
Vente pa' ca,249048.0,"Ricky Martin, WENDY",Vente pa' ca,,,NZ,2016-12-27,,WENDY
Goodbye,193000.0,WENDY,The Beauty Inside Pt. 6 (Original Television Soundtrack),,,XW,2018-11-06,,WENDY
Like Water,261000.0,WENDY,Like Water,,,KR,2021-04-05,,WENDY
Return,228000.0,"WENDY, 육지담","Who Are You : School 2015 (Original Television Soundtrack), Pt. 7",,,XW,2015-06-08,,WENDY
인형 (Doll) (inst.),294000.0,"강타, WENDY, SEULGI",인형 (Doll),,,KR,2017-10-27,,WENDY
슬픔 속에 그댈 지워야만 해 (Because I love you),279000.0,WENDY,슬픔 속에 그댈 지워야만 해,,,KR,2014-03-14,,WENDY
초행길 (The Road),255000.0,WENDY,Like Water,,,KR,2021-04-05,,WENDY
깊어지네,231000.0,"손태진, WENDY",깊어지네,,,KR,2021-10-29,,WENDY
두 글자,239000.0,WENDY,스타트업 OST,,,KR,2020-12-12,,WENDY
Move Mood Mode,174360.0,"TAEYONG, WENDY",SHALALA,,,KR,2023-06-05,,WENDY
55,187133.0,"Code Kunst, 백예린, WENDY",Remember Archive,,,XW,2023-03-16,,WENDY
성냥팔이 소녀 (The Little Match Girl),227000.0,"백아연, WENDY",성냥팔이 소녀 (The Little Match Girl),,,KR,2017-12-01,,WENDY
When This Rain Stops,244000.0,WENDY,Like Water,,,KR,2021-04-05,,WENDY
His Car Isn’t Yours,184000.0,WENDY,Wish You Hell,,,KR,2024-03-12,,WENDY
나의 하루는 다 너로 가득해,220000.0,"ZICO, WENDY",The King: Eternal Monarch (Original Television Soundtrack),,,XW,2020-06-12,,WENDY
성냥팔이 소녀 (The Little Match Girl) (inst.),225000.0,"백아연, WENDY",성냥팔이 소녀 (The Little Match Girl),,,KR,2017-12-01,,WENDY
Return,228000.0,"WENDY, 육지담",후아유 - 학교 2015 OST,,,KR,2015-06-23,,WENDY
원 (Time After Time),183000.0,"BoA, WENDY, 宁宁",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,WENDY
Best Friend,210000.0,"WENDY, SEULGI",Like Water,,,KR,2021-04-05,,WENDY
Queen of the Party,186560.0,WENDY,Wish You Hell,,,KR,2024-03-12,,WENDY
Wish You Hell,170000.0,WENDY,Wish You Hell,,,KR,2024-03-12,,WENDY
What If Love (instrumental),221640.0,WENDY,Touch Your Heart OST,,,KR,2019-03-28,,WENDY
밀지마 (Original ver.),198000.0,"WENDY, SEULGI",함부로 애틋하게 OST Part 7,,,KR,2016-07-22,,WENDY
Return (inst.),228000.0,WENDY,"Who Are You : School 2015 (Original Television Soundtrack), Pt. 7",,,XW,2015-06-08,,WENDY
Vermilion,191000.0,WENDY,Wish You Hell,,,KR,2024-03-12,,WENDY
밀지마 (Original ver.) (inst.),198000.0,"WENDY, SEULGI",함부로 애틋하게 OST Part 7,,,KR,2016-07-22,,WENDY
What If Love (instrumental),219000.0,WENDY,Touch your heart OST Part.3,,,XW,2019-02-22,,WENDY
Written in the Stars,231000.0,"John Legend, WENDY",Written in the Stars,,,KR,2018-10-19,,WENDY
두 글자 (inst.),239000.0,WENDY,스타트업 OST,,,KR,2020-12-12,,WENDY
Goodbye (instrumental),194000.0,WENDY,The Beauty Inside Pt. 6 (Original Television Soundtrack),,,XW,2018-11-06,,WENDY
아나요 (Let You Know) (inst.),228000.0,WENDY,아나요 (Let You Know) - 디데이 OST Part 1,,,KR,2015-10-16,,WENDY
What If Love,219000.0,WENDY,Touch your heart OST Part.3,,,XW,2019-02-22,,WENDY
Best Ever,188680.0,WENDY,Wish You Hell,,,KR,2024-03-12,,WENDY
치즈,,"SUHO, WENDY",1 to 3,,,XW,2024-05-31,,WENDY
Girls (inst.),276057.0,WENDY,Seoul Check‐in OST Part 1,,,XW,2022-04-09,,WENDY
아나요 (Let You Know),228000.0,WENDY,아나요 (Let You Know) - 디데이 OST Part 1,,,KR,2015-10-16,,WENDY
안부 (Miracle) (inst.),252213.0,"WENDY, MeloMance",Miracle,,,,2023-01-26,,WENDY
인형 (Doll),294000.0,"강타, WENDY, SEULGI",인형 (Doll),,,KR,2017-10-27,,WENDY
안부 (Miracle),252213.0,"WENDY, MeloMance",Miracle,,,,2023-01-26,,WENDY
