title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
10분,215000.0,WINNER,HOLIDAY,,,KR,2022-07-05,,WINNER
AH YEAH,176000.0,WINNER,WE,,,US,2019-05-15,,WINNER
AIR,224000.0,WINNER,EVERYD4Y,,,KR,2018-04-04,,WINNER
AIR (Japanese Ver.),225237.0,WINNER,EVERYD4Y (Japanese ver.),,,,2018-09-05,,WINNER
BABY BABY,246000.0,WINNER,EXIT : E,,,KR,2016-02-01,,WINNER
BOOM,205386.0,WINNER,WE,,,US,2019-05-15,,WINNER
BUT,236000.0,WINNER,2014 S/S -Japan Collection-,,,JP,2014-09-10,,WINNER
Color Ring,235000.0,WINNER,2014 S/S,,,KR,2014-08-12,,WINNER
COLOR RING,236000.0,WINNER,2014 S/S -Japan Collection-,,,JP,2014-09-10,,WINNER
CONFESSION,249000.0,WINNER,2014 S/S -Japan Collection-,,,JP,2014-09-10,,WINNER
Different,238000.0,WINNER,2014 S/S,,,KR,2014-08-12,,WINNER
DIFFERENT,236000.0,WINNER,2014 S/S -Japan Collection-,,,JP,2014-09-10,,WINNER
Different (4 ver.),237668.0,WINNER,Remember,,,KR,2020-04-09,,WINNER
DON'T BE SHY,197000.0,WINNER,CROSS,,,US,2019-10-23,,WINNER
DON'T FLIRT,207000.0,WINNER,2014 S/S -Japan Collection-,,,JP,2014-09-10,,WINNER
DRESS UP,198000.0,WINNER,CROSS,,,US,2019-10-23,,WINNER
EMPTY,222000.0,WINNER,2014 S/S -Japan Collection-,,,JP,2014-09-10,,WINNER
Empty (Live),227000.0,WINNER,2014 YG FAMILY CONCERT IN SEOUL,,,AF,2014-11-28,,WINNER
EVERYDAY,206000.0,WINNER,EVERYD4Y,,,KR,2018-04-04,,WINNER
EVERYDAY (Japanese Ver.),206684.0,WINNER,EVERYD4Y (Japanese ver.),,,,2018-09-05,,WINNER
EVERYDAY (REMIX),200000.0,WINNER,WE,,,US,2019-05-15,,WINNER
