title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Feedback,209000,XIUMIN,Brand New,,,KR,2022-09-26,,XIUMIN
Young & Free,202000,"XIUMIN, MARK",Young & Free,,,KR,2017-07-07,,XIUMIN
You,306520,XIUMIN,You,,,XW,2019-05-09,,XIUMIN
너를 위해,196549,"CHEN, BAEKHYUN, XIUMIN",Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack),,,AF,2015-10-25,,XIUMIN
민들레 (Love Letter),254000,XIUMIN,Brand New,,,KR,2022-09-26,,XIUMIN
Young & Free (inst.),202000,"XIUMIN, MARK",Young & Free,,,KR,2017-07-07,,XIUMIN
You (Instrumental),306506,XIUMIN,You,,,XW,2019-05-09,,XIUMIN
How We Do,223000,"XIUMIN, MARK",Brand New,,,KR,2022-09-26,,XIUMIN
야 하고 싶어,217000,"지민, XIUMIN",야 하고 싶어,,,KR,2016-03-03,,XIUMIN
너를 위해 (inst.),197000,"CHEN, BAEKHYUN, XIUMIN",달의 연인 - 보보경심 려 OST Part 1,,,KR,2016-08-25,,XIUMIN
Who? (instrumental),190000,"XIUMIN, 은하",Our Spring : Who?,,,XW,2023-04-09,,XIUMIN
Who?,190000,"XIUMIN, 은하",Our Spring : Who?,,,XW,2023-04-09,,XIUMIN
Serenity,219000,XIUMIN,Brand New,,,KR,2022-09-26,,XIUMIN
To my one and only you,271000,XIUMIN,Mr. Queen (Original Television Soundtrack),,,XW,2021-02-17,,XIUMIN
Brand New,184000,XIUMIN,Brand New,,,KR,2022-09-26,,XIUMIN
