title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1TYM Attack,214573.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
Childhood skit,46533.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
Fly Gentlemen (instrumental version),,YG Family,Why be normal?,,,KR,2002-10-24,,YG Family
"Light, Camera, Action",,YG Family,Why be normal?,,,KR,2002-10-24,,YG Family
Love/Hate Prelude,18960.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
Nobody Believes (feat. Teddy),,YG Family,Why be normal?,,,KR,2002-10-24,,YG Family
Pokémon Theme,193653.0,YG Family,Hits for Kids 4,,,SE,2000,,YG Family
S T P,295560.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
Show Me Love,222000.0,"YG Family, Perry",Why be normal?,,,KR,2002-10-24,,YG Family
The Devil's Act (feat. Perry),,YG Family,Why be normal?,,,KR,2002-10-24,,YG Family
Throw Them Hands Up,,YG Family,Why be normal?,,,KR,2002-10-24,,YG Family
We Are YG Family,,YG Family,Why be normal?,,,KR,2002-10-24,,YG Family
Y.G Bounce,214933.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
Y.G Millenium Intro,12666.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
YG Family Bounce,,YG Family,Why be normal?,,,KR,2002-10-24,,YG Family
돈돈돈 - Cash It,231173.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
멋쟁이 신사 (Hip Hop Gentlemen),240000.0,YG Family,YG 10th Anniversary Special Album,,,KR,2006-07-31,,YG Family
서둘러,214306.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
세상의 축제,250226.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
우리는 Y.G Family,228400.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
우리는 YG Family,229000.0,YG Family,YG 10th Anniversary Special Album,,,KR,2006-07-31,,YG Family
전쟁과 평화,207066.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
흑과백,243560.0,YG Family,Famillenium,,,KR,1999-07-29,,YG Family
