title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Bad Blood (intro),79000.0,YUJU,[REC.],,,KR,2022-01-18,,YUJU
우연히 봄 (inst.),,YUJU,우연히 봄 (Special Edition) ft. Loco,,,,2015-05-20,,YUJU
이 노래만,252000.0,YUJU,식샤를 합시다3: 비긴즈 OST Part 3,,,KR,2018-08-07,,YUJU
우연히 봄,,YUJU,우연히 봄 (Special Edition) ft. Loco,,,,2015-05-20,,YUJU
Comfort (String ver.),227000.0,YUJU,Bossam: Steal the Fate OST Part 11,,,KR,2021-05-06,,YUJU
I'm in the Mood for Dancing (Inst.),211000.0,YUJU,True Beauty OST Part. 2,,,KR,2020-12-17,,YUJU
Tell me this is real,218000.0,YUJU,My Chilling Roommate OST Part 1,,,KR,2022-06-13,,YUJU
Falling,226000.0,YUJU,Run On OST Part. 10,,,KR,2021-01-20,,YUJU
Love Rain,209000.0,"YUJU, SURAN",Love Rain,,,KR,2018-06-29,,YUJU
Back and Forth (Inst.),232000.0,YUJU,Eccentric chef moon OST Part. 1,,,KR,2020-03-27,,YUJU
하트시그널 (inst.),235000.0,"YUJU, 지후",하트시그널,,,KR,2017-10-27,,YUJU
By Your Side (Inst.),235000.0,YUJU,CYWORLD BGM 2021,,,KR,2021-11-24,,YUJU
No Way,185000.0,"YUJU, I'min",No Way,,,KR,2023-11-12,,YUJU
Stay,230000.0,YUJU,Police University OST Part. 5,,,KR,2021-08-30,,YUJU
보일 듯 말 듯,,"YUJU, 선율",보일 듯 말 듯,,,KR,2016-03-11,,YUJU
눈꽃사랑 (inst.),219000.0,YUJU,복수가 돌아왔다 OST Part 5,,,KR,2018-12-24,,YUJU
Tell me this is real (inst.),218000.0,YUJU,My Chilling Roommate OST Part 1,,,KR,2022-06-13,,YUJU
데킬라 (The Killa),200000.0,YUJU,[REC.],,,KR,2022-01-18,,YUJU
복숭아꽃,159000.0,"YUJU, sokodomo",O,,,KR,2023-03-07,,YUJU
우연히 봄 (Acoustic ver.) (inst.),,YUJU,우연히 봄 (Special Edition) ft. Loco,,,,2015-05-20,,YUJU
"겨우, 겨울",218000.0,"YUJU, Mad Clown",[REC.],,,KR,2022-01-18,,YUJU
Rewind,207200.0,YUJU,Rewind,,,XW,2023-08-16,,YUJU
Don't Leave Me (instrumental),181000.0,YUJU,Don't Leave Me,,,KR,2018-08-13,,YUJU
Without U,217000.0,YUJU,O,,,KR,2023-03-07,,YUJU
My Whole World Is You,215000.0,YUJU,The story of Park’s marriage contract OST Part. 3,,,KR,2023-12-09,,YUJU
Secret,232926.0,"YUJU, 이삭","Alice (Original Television Soundtrack), Pt. 1",,,AL,2020-08-28,,YUJU
Comfort (String ver.) (inst.),227000.0,YUJU,Bossam: Steal the Fate OST Part 11,,,KR,2021-05-06,,YUJU
Rewind (inst.),207213.0,YUJU,Rewind,,,XW,2023-08-16,,YUJU
아메리카노 같아 넌,201000.0,YUJU,Kiss Sixth Sense OST Part 1,,,XW,2022-05-25,,YUJU
Secret (instrumental),232926.0,YUJU,"Alice (Original Television Soundtrack), Pt. 1",,,AL,2020-08-28,,YUJU
Real Love,199000.0,YUJU,Love in Contract OST Part 1,,,KR,2022-09-29,,YUJU
이브닝 (inst.),217000.0,"YUJU, BIG Naughty",Evening,,,,2022-07-28,,YUJU
By Your Side,235000.0,YUJU,CYWORLD BGM 2021,,,KR,2021-11-24,,YUJU
이 노래만 (inst.),252000.0,YUJU,식샤를 합시다3: 비긴즈 OST Part 3,,,KR,2018-08-07,,YUJU
First Day,192000.0,YUJU,Was It Love ? OST Part. 3,,,KR,2020-07-22,,YUJU
놀이 (Play),201000.0,YUJU,[REC.],,,KR,2022-01-18,,YUJU
Blue Nostalgia,208000.0,YUJU,[REC.],,,KR,2022-01-18,,YUJU
My Whole World Is You (Inst.),215000.0,YUJU,The story of Park’s marriage contract OST Part. 3,,,KR,2023-12-09,,YUJU
First Day (Inst.),192000.0,YUJU,Was It Love ? OST Part. 3,,,KR,2020-07-22,,YUJU
아메리카노 같아 넌 (inst.),201000.0,YUJU,Kiss Sixth Sense OST Part 1,,,XW,2022-05-25,,YUJU
Don't Leave Me,181000.0,YUJU,Don't Leave Me,,,KR,2018-08-13,,YUJU
눈꽃사랑,219000.0,YUJU,복수가 돌아왔다 OST Part 5,,,KR,2018-12-24,,YUJU
따라랏,189813.0,YUJU,DALALA,,,,2023-09-20,,YUJU
Full Circle,160000.0,YUJU,O,,,KR,2023-03-07,,YUJU
I'm in the Mood for Dancing,211000.0,YUJU,True Beauty OST Part. 2,,,KR,2020-12-17,,YUJU
Back and Forth,232000.0,YUJU,Eccentric chef moon OST Part. 1,,,KR,2020-03-27,,YUJU
꿈 (Dreaming),183000.0,YUJU,O,,,KR,2023-03-07,,YUJU
Stay (inst.),230000.0,YUJU,Police University OST Part. 5,,,KR,2021-08-30,,YUJU
우연히 봄 (Acoustic ver.),,YUJU,우연히 봄 (Special Edition) ft. Loco,,,,2015-05-20,,YUJU
하트시그널,235000.0,"YUJU, 지후",하트시그널,,,KR,2017-10-27,,YUJU
9 Years,178000.0,YUJU,O,,,KR,2023-03-07,,YUJU
Comfort,226000.0,YUJU,Bossam: Steal the Fate OST Part 11,,,KR,2021-05-06,,YUJU
Falling (Inst.),226000.0,YUJU,Run On OST Part. 10,,,KR,2021-01-20,,YUJU
Paradise,189000.0,YUJU,Closers OST : Paradise,,,KR,2022-07-16,,YUJU
Comfort (inst.),226000.0,YUJU,Bossam: Steal the Fate OST Part 11,,,KR,2021-05-06,,YUJU
