title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
"1,2 STEP",160000.0,"YURI, Amber Liu",Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,YURI
Always Find You,218000.0,"YURI, Raiden",Always Find You,,,KR,2018-01-26,,YURI
Butterfly,169000.0,YURI,The First Scene,,,KR,2018-10-04,,YURI
C'est la vie (That's LIFE!),237000.0,YURI,The First Scene,,,KR,2018-10-04,,YURI
Chapter 2,226000.0,YURI,The First Scene,,,KR,2018-10-04,,YURI
Ending Credit (To be continued),197000.0,YURI,The First Scene,,,KR,2018-10-04,,YURI
If,214000.0,YURI,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,YURI
Secret,229000.0,"YURI, 서현",Secret,,,US,2016-08-18,,YURI
꿈 (Illusion),227000.0,YURI,The First Scene,,,KR,2018-10-04,,YURI
빠져가 (Into You),186000.0,YURI,The First Scene,,,KR,2018-10-04,,YURI
