title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Wa,236000.0,"MINO, Zion.T",TAKE,,,XW,2020-10-30,,Zion.T
어허,112000.0,Zion.T,ZZZ,,,US,2018-10-15,,Zion.T
도도해,214000.0,Zion.T,Red Light,,,KR,2013-04-09,,Zion.T
영화관 (inst.),212000.0,Zion.T,OO,,,KR,2017-02-01,,Zion.T
눈,240000.0,"Zion.T, 이문세",SNOW,,,US,2017-12-04,,Zion.T
고생이 많아,324000.0,"Basick, 아넌딜라이트, Mudd the student, sokodomo, Zion.T",Show Me the Money 10 Final,,,XW,2021-12-04,,Zion.T
Click Me feat. 도끼,182000.0,Zion.T,Click Me,,,KR,2011-04-29,,Zion.T
Hanadoo,195000.0,"YUMDDA, Zion.T",Breathe 3,,,XW,2020-11-28,,Zion.T
모던보이,57000.0,Zion.T,Mirrorball,,,US,2013-12-19,,Zion.T
만나 Meet,243000.0,"Primary, Zion.T",Primary and the Messengers,,,KR,2012-10-31,,Zion.T
Make Love,154173.0,"GRAY, Zion.T",grayground.,,,XW,2021-08-17,,Zion.T
Nomad,204173.0,"Zion.T, 星野源",Shang-Chi and The Legend of The Ten Rings: The Album,,,JP,2021-09-03,,Zion.T
Still On My Way,237000.0,"Dok2, Zion.T",Multillionaire,,,US,2015-06-23,,Zion.T
Bond Girl,206000.0,"Rhythm Power, Zion.T",The Trio - Stage One,,,KR,2013-10-14,,Zion.T
무중력,277000.0,Zion.T,강승원 1집 만들기 프로젝트 Part 3 : 무중력,,,KR,2015-03-23,,Zion.T
V (Peace) feat. AKMU,,"Zion.T, AKMU",Zip,,,KR,2023-12-06,,Zion.T
Doop (inst.),192000.0,Zion.T,Red Light,,,KR,2013-04-09,,Zion.T
Young,193000.0,"Zion.T, Crush",Young,,,XW,2015-01-27,,Zion.T
Neon,130000.0,Zion.T,Red Light,,,KR,2013-04-09,,Zion.T
그냥 (Just),193000.0,"Zion.T, Crush",Young,,,KR,2015-02-02,,Zion.T
아무도 모르는 이야기,208000.0,Zion.T,ZZZ,,,US,2018-10-15,,Zion.T
How To Use (intro),,Zion.T,Zip,,,KR,2023-12-06,,Zion.T
DIRTY LOVE,163000.0,"SUMIN, Zion.T",DIRTY LOVE,,,,2020-02-12,,Zion.T
? (Q Mark),194000.0,"Primary, 최자, Zion.T",Primary and the Messengers,,,KR,2012-10-31,,Zion.T
내가 좋아하는 것들 feat. Benny Benack III,,"Zion.T, Benny Benack III",Zip,,,KR,2023-12-06,,Zion.T
너가 없을 때,206000.0,"INFINITE H, Zion.T",Fly High,,,KR,2013-01-11,,Zion.T
Click Me (2013),181000.0,"Zion.T, Dok2",Red Light,,,KR,2013-04-09,,Zion.T
BENCH,225000.0,"AKMU, Zion.T",NEXT EPISODE,,,KR,2021-07-26,,Zion.T
노래,216000.0,Zion.T,OO,,,KR,2017-02-01,,Zion.T
No Make Up,189000.0,Zion.T,No Make Up,,,KR,2015-10-11,,Zion.T
Walk In The Night,185601.0,"Moon Sujin, Zion.T",Walk In The Night,,,AF,2020-10-21,,Zion.T
비밀 2,250680.0,"Dok2, Zion.T",Love & Life: The Album,,,KR,2012-02-24,,Zion.T
Red Queen,212518.0,"IU, Zion.T",CHAT-SHIRE,,,XW,2015-10-23,,Zion.T
너무 좋아 (I Love It),196000.0,"G‐Dragon, Zion.T, Boys Noize",COUP D'ETAT,,,KR,2013-09-05,,Zion.T
