recording_id,title,release_date,query_artist_name,retrieved_artist_name
0296a7c0-ad67-4dbf-b8da-771e7ef27b0c,drop.,2005-09-21,大塚愛,大塚愛
042f1e6c-2488-4deb-a93f-acea168d638b,kit palette,2019-09-04,大塚愛,大塚愛
056615e3-727d-4c29-b040-153198e50dea,affair,2015-04-22,大塚愛,大塚愛
07afde85-371a-4b1e-a6a0-620babdd31c7,I ♥ ××× (instrumental),2010-09-08,大塚愛,大塚愛
08da4f1a-8830-463c-b42d-e8c6d9ce9c0a,kit palette (Instrumental),2019-09-04,大塚愛,大塚愛
0ea125f2-d8d2-4dad-8b5d-fde9b195a5f9,H₂O (Instrumental),2008-09-10,大塚愛,大塚愛
0f6711dd-ec6c-4104-a825-51c9814047ca,GIRLY(LOVE IS BORN ~12th Anniversary 2015~),2015-12-16,大塚愛,大塚愛
10155c68-6b8c-4ece-8371-bf61272a1d22,HEART BREAK,2017-04-12,大塚愛,大塚愛
14b3ad3d-5ef7-47ef-93d1-751d8c12d063,CHU×CHU,2014-07-16,大塚愛,大塚愛
199152d9-2306-4563-bdad-725de1865107,Is,2009-11-11,大塚愛,大塚愛
1dcb813a-1b05-4b5d-830e-ead3407c744a,affair (LOVE TRiCKY LIVE TOUR 2015 ~ヘルシーミュージックで体重減るしー~),2015-12-16,大塚愛,大塚愛
20891bbb-be11-4bd2-ae9f-ca66ee2c6af8,LOVE MUSiC,2007-03-28,大塚愛,大塚愛
211b424f-6928-4955-800d-79acb36ce3c9,"end and and 〜10,000 hearts〜",2015-04-22,大塚愛,大塚愛
22f59328-31c9-4444-802c-185e80c041c2,Birthday Song,2005-12-14,大塚愛,大塚愛
24be7cfb-1ab3-4a05-9770-036376222cbe,beyond of the sea,2006-08-23,大塚愛,大塚愛
25196f30-10fa-4c17-a225-3e3b55c1ce62,BABASHI no Theme,,大塚愛,大塚愛
26fa7875-157c-4d0b-b178-9372f0eaee1e,Creamy & Spicy(LOVE IS BORN ~12th Anniversary 2015~),2015-12-16,大塚愛,大塚愛
29995743-4879-40c6-a5e1-917f6999cb30,Happy Days,2007-03-28,大塚愛,大塚愛
2aae9bac-79a1-4693-b0c3-1a0fd247e349,busy lady (LOVE TRiCKY LIVE TOUR 2015 ~ヘルシーミュージックで体重減るしー~),2015-12-16,大塚愛,大塚愛
